ensembl_gene_id	logFC_RA457	PValue_RA457	entrezgene
ENSG00000088035	1.53180621174042	1.24944060366655e-08	29929
ENSG00000139112	-1.82228467227204	2.62378067234839e-08	23710
ENSG00000184908	-0.415613564169279	1.24382858066738e-07	1188
ENSG00000197943	2.0491837595692	1.33825631316248e-07	5336
ENSG00000163568	3.26243925694603	1.37819202010516e-07	9447
ENSG00000109943	1.08679332168862	1.48452809718747e-07	56253
ENSG00000105576	-0.663173560264003	1.66238600372952e-07	30000
ENSG00000140632	-0.761402294995297	2.19289883800199e-07	84656
ENSG00000182087	-1.5301575857647	4.91384390415345e-07	91304
ENSG00000136931	-0.434274256404999	5.30095589968165e-07	2516
ENSG00000100142	-0.615526165187834	5.92234061770494e-07	5435
ENSG00000021574	0.620227664994855	7.58948528624917e-07	6683
ENSG00000124508	1.11314314688112	1.0898693326389e-06	10385
ENSG00000104660	1.23158146502875	1.12212728933275e-06	23484
ENSG00000183943	1.09874489523193	1.25927253559338e-06	5613
ENSG00000137563	1.29115282309394	1.42212944778652e-06	8836
ENSG00000099812	-0.365181612571256	1.46298039696896e-06	126353
ENSG00000122779	0.859030203296756	1.53227063904516e-06	8805
ENSG00000096968	1.1475307739968	1.58039691813268e-06	3717
ENSG00000172175	1.0568230681701	1.75023448307676e-06	10892
ENSG00000038002	1.29244735337803	1.89436621029452e-06	175
ENSG00000170633	1.1492427116669	1.91825824551955e-06	80196
ENSG00000125629	1.49415814761475	2.01844396634546e-06	51141
ENSG00000254838	0.820512232246704	2.09902486528601e-06	387751
ENSG00000142875	1.04346882523458	2.23912340419404e-06	5567
ENSG00000005020	1.26576125556872	2.33176128153524e-06	8935
ENSG00000140443	-0.703107382624585	2.61769441337707e-06	3480
ENSG00000118137	-0.29696395878088	2.71336207683457e-06	335
ENSG00000244020	-0.81122239242069	2.83858906927465e-06	645745
ENSG00000128581	-0.365081910955248	3.19388012096109e-06	64792
ENSG00000124067	-0.382078109890392	3.25619807165529e-06	6560
ENSG00000105298	-0.504006783079534	3.5266713605163e-06	58509
ENSG00000132164	-0.370077590834576	3.91936228888066e-06	6538
ENSG00000142192	-0.588226079873726	4.05949175619618e-06	351
ENSG00000118242	2.02531768495293	4.47870849457262e-06	55686
ENSG00000184524	-0.321240545702049	4.53173746559734e-06	51286
ENSG00000091490	2.99100720973201	4.61680017710593e-06	23231
ENSG00000148180	-2.31932996193848	4.75973765887263e-06	2934
ENSG00000175164	-0.23199549244872	4.81987934767293e-06	28
ENSG00000101188	-0.305378143793636	5.28410197494753e-06	4923
ENSG00000138755	4.82613683800659	5.66184785348358e-06	4283
ENSG00000151292	0.876859075198102	5.94566297056001e-06	1456
ENSG00000120802	0.366092256295994	6.09023313332018e-06	7112
ENSG00000026103	1.39060834842253	6.41977660342597e-06	355
ENSG00000054118	-0.450127801120168	6.77414633133244e-06	9967
ENSG00000105370	-0.346528777921733	8.62306408915673e-06	3982
ENSG00000157693	0.796558703876025	8.68743584475514e-06	203197
ENSG00000136824	0.748716260841022	8.77616241827182e-06	10592
ENSG00000169245	4.03128681327591	9.06891553172095e-06	3627
ENSG00000211598	5.34650503503279	9.42366683842289e-06	NA
ENSG00000130816	0.703791970224645	9.42770447983444e-06	1786
ENSG00000129932	-0.870360731635158	9.49099867542689e-06	83475
ENSG00000101574	0.65750472988338	9.66272764735456e-06	64863
ENSG00000143643	0.922677120922231	1.00300217183204e-05	79573
ENSG00000158714	3.11041624579162	1.03788535397944e-05	56833
ENSG00000165125	-0.60569821696286	1.05597845931465e-05	55503
ENSG00000105221	-0.61106490650764	1.06173620880544e-05	208
ENSG00000164941	0.82171869082593	1.11411950213586e-05	55656
ENSG00000084093	-0.428257899056344	1.12135436884343e-05	5978
AFFX-r2-Hs18SrRNA-3_s_at	-0.445016750262351	1.13562464645673e-05	NA
ENSG00000054179	-0.339036739405648	1.17252519245214e-05	954
ENSG00000065882	0.845159807579178	1.22883649698264e-05	23216
ENSG00000167657	-0.66706394208409	1.23657015913008e-05	1613
ENSG00000103148	-0.398180351718068	1.24408565366882e-05	8131
ENSG00000133874	-0.449641076642563	1.24887888564801e-05	79845
ENSG00000197562	-0.322289841365947	1.26728416299306e-05	57799
ENSG00000129315	-0.529062621293841	1.33537741519527e-05	904
ENSG00000033170	1.07902397253609	1.38303875545924e-05	2530
ENSG00000115461	-1.25154126460955	1.4167552938936e-05	3488
ENSG00000123095	2.20323897723827	1.43517969962088e-05	79365
ENSG00000139197	-0.628273740349164	1.44743490630551e-05	5830
