ensembl_gene_id	logFC_ICM	PValue_ICM	hgnc_symbol	entrezgene
ENSG00000000003	-0.308913543	0.235321351	TSPAN6	7105
ENSG00000000005	1.847916347	0.019618273	TNMD	64102
ENSG00000000419	-0.077755826	0.733495876	DPM1	8813
ENSG00000000457	0.365919053	0.142646431	SCYL3	57147
ENSG00000000460	0.141913533	0.641898908	C1orf112	55732
ENSG00000000938	-0.198861168	0.590288425	FGR	2268
ENSG00000000971	-0.740636563	0.041985108	CFH	3075
ENSG00000001036	-0.318342667	0.032478206	FUCA2	2519
ENSG00000001084	-0.331635968	0.068409265	GCLC	2729
ENSG00000001167	-0.142216719	0.509549622	NFYA	4800
ENSG00000001460	0.611112093	0.015116176	STPG1	90529
ENSG00000001461	-0.165745134	0.390426075	NIPAL3	57185
ENSG00000001497	0.144047868	0.498841087	LAS1L	81887
ENSG00000001561	-1.124021635	0.000672422	ENPP4	22875
ENSG00000001617	-0.567493416	0.06010216	SEMA3F	6405
ENSG00000001626	-0.686227591	0.22031062	CFTR	1080
ENSG00000001629	-0.111565023	0.441783136	ANKIB1	54467
ENSG00000001630	-0.428843283	0.139406215	CYP51A1	1595
ENSG00000001631	-0.062228812	0.684911929	KRIT1	889
ENSG00000002016	0.878923375	0.001680036	RAD52	5893
ENSG00000002330	0.349897264	0.062635414	BAD	572
ENSG00000002586	0.322981854	0.386028519	CD99	4267
ENSG00000002587	-0.30181115	0.477695991	HS3ST1	9957
ENSG00000002726	1.265977132	0.055283196	AOC1	26
ENSG00000002746	0.287936365	0.609364288	HECW1	23072
ENSG00000002822	0.8087679	0.004296073	MAD1L1	8379
ENSG00000002834	-0.085963793	0.625165284	LASP1	3927
ENSG00000002919	0.250410475	0.28122205	SNX11	29916
ENSG00000002933	0.137513722	0.637241929	TMEM176A	55365
ENSG00000003056	-0.515351514	0.002600424	M6PR	4074
ENSG00000003096	0.319075991	0.188872097	KLHL13	90293
ENSG00000003137	0.75449128	0.108070024	CYP26B1	56603
ENSG00000003147	-0.116540732	0.619704263	ICA1	3382
ENSG00000003249	0.18334213	0.611831997	DBNDD1	79007
ENSG00000003393	-0.170370596	0.395900816	ALS2	57679
ENSG00000003400	0.11414577	0.611555965	CASP10	843
ENSG00000003402	-0.072952531	0.642751168	CFLAR	8837
ENSG00000003436	-0.43478904	0.022151265	TFPI	7035
ENSG00000003509	-0.263407189	0.119890788	NDUFAF7	55471
ENSG00000003756	0.269532078	0.070201825	RBM5	10181
ENSG00000003989	-0.360127322	0.240975417	SLC7A2	6542
ENSG00000004059	0.380481934	0.015688461	ARF5	381
ENSG00000004139	0.455355989	0.016022927	SARM1	23098
ENSG00000004399	0.201950238	0.248983061	PLXND1	23129
ENSG00000004455	-0.33186187	0.063649658	AK2	204
ENSG00000004468	-0.816568111	0.060627417	CD38	952
ENSG00000004478	0.08694535	0.638346482	FKBP4	2288
ENSG00000004487	-0.219342259	0.149489859	KDM1A	23028
ENSG00000004534	-0.156538729	0.485575691	RBM6	10180
ENSG00000004660	0.184583813	0.488683805	CAMKK1	84254
ENSG00000004700	-0.301658556	0.202105598	RECQL	5965
ENSG00000004766	-0.464178083	0.039368932	VPS50	55610
ENSG00000004776	1.134012909	0.007415018	HSPB6	126393
ENSG00000004777	0.751104	0.015877153	ARHGAP33	115703
ENSG00000004779	-0.193496042	0.513199417	NDUFAB1	4706
ENSG00000004799	0.050874549	0.922886441	PDK4	5166
ENSG00000004838	0.910979727	0.178616934	ZMYND10	51364
ENSG00000004864	0.136002502	0.519252435	SLC25A13	10165
ENSG00000004866	-0.204909089	0.21937636	ST7	7982
ENSG00000004897	-0.341021334	0.022870479	CDC27	996
ENSG00000004961	-0.083863283	0.728117386	HCCS	3052
ENSG00000004975	0.200299405	0.390259798	DVL2	1856
ENSG00000005007	0.062425063	0.713628379	UPF1	5976
ENSG00000005020	-0.125221389	0.715902861	SKAP2	8935
ENSG00000005022	-0.832983312	0.019085733	SLC25A5	292
ENSG00000005059	0.093984418	0.775181564	MCUB	55013
ENSG00000005075	0.717198543	0.016756968	POLR2J	5439
ENSG00000005100	-0.132066478	0.507050785	DHX33	56919
ENSG00000005102	0.566248226	0.036892132	MEOX1	4222
ENSG00000005108	-0.882834216	0.07282208	THSD7A	221981
ENSG00000005156	-0.31550033	0.146385486	LIG3	3980
ENSG00000005175	-0.860922446	0.009208212	RPAP3	79657
ENSG00000005187	1.02437052	0.001168474	ACSM3	6296
ENSG00000005189	0.008569207	0.978928671	REXO5	81691
ENSG00000005194	0.064995246	0.629873236	CIAPIN1	57019
ENSG00000005238	0.132685005	0.411589958	FAM214B	80256
ENSG00000005243	0.426117061	0.042717357	COPZ2	51226
ENSG00000005249	-0.455195986	0.074888277	PRKAR2B	5577
ENSG00000005302	-0.486597468	0.019747809	MSL3	10943
ENSG00000005339	-0.125964984	0.356674778	CREBBP	1387
ENSG00000005379	0.533547692	0.091540426	TSPOAP1	9256
ENSG00000005381	0.297056132	0.63926582	MPO	4353
ENSG00000005421	-0.037254339	0.960284958	PON1	5444
ENSG00000005436	0.205422852	0.248986954	GCFC2	6936
ENSG00000005448	0.715934083	0.059898047	WDR54	84058
ENSG00000005469	-0.040749074	0.873149193	CROT	54677
ENSG00000005471	-0.015573056	0.949688158	ABCB4	5244
ENSG00000005483	0.076528941	0.651537689	KMT2E	55904
ENSG00000005486	0.619726483	0.000449088	RHBDD2	57414
ENSG00000005513	0.791843701	0.029793874	SOX8	30812
ENSG00000005700	-0.228258749	0.146468579	IBTK	25998
ENSG00000005801	-2.32076525	0.00333742	ZNF195	7748
ENSG00000005810	-0.383802178	0.007219197	MYCBP2	23077
ENSG00000005812	-0.937625382	0.002127742	FBXL3	26224
ENSG00000005844	0.055890863	0.856241	ITGAL	3683
ENSG00000005882	-0.039203345	0.847373312	PDK2	5164
ENSG00000005884	-0.50476927	0.094050736	ITGA3	3675
ENSG00000005889	-0.19979663	0.254548932	ZFX	7543
ENSG00000005893	-0.410015926	0.078651694	LAMP2	3920
ENSG00000005961	0.965341752	0.067480057	ITGA2B	3674
ENSG00000005981	-0.432742388	0.35087914	ASB4	51666
ENSG00000006007	-0.064115422	0.700346736	GDE1	51573
ENSG00000006015	0.688288713	0.004919222	REX1BD	55049
ENSG00000006016	0.247757351	0.593953053	CRLF1	9244
ENSG00000006025	0.778990314	0.003737579		114881
ENSG00000006042	0.277542759	0.306910731	TMEM98	26022
ENSG00000006047	1.532931229	0.012089649	YBX2	51087
ENSG00000006071	0.12975762	0.707490867	ABCC8	6833
ENSG00000006118	0.139478508	0.619781078	TMEM132A	54972
ENSG00000006125	-0.266307771	0.160248322	AP2B1	163
ENSG00000006194	-0.1786887	0.398865818	ZNF263	10127
ENSG00000006210	-0.346070276	0.286880917	CX3CL1	6376
ENSG00000006282	0.458771209	0.007870096	SPATA20	64847
ENSG00000006283	0.276536788	0.523538417	CACNA1G	8913
ENSG00000006327	0.63253645	0.237468297	TNFRSF12A	51330
ENSG00000006432	0.937597832	0.011294296	MAP3K9	4293
ENSG00000006451	0.266329092	0.136486622	RALA	5898
ENSG00000006453	0.223974577	0.447239706	BAIAP2L1	55971
ENSG00000006459	-0.319844751	0.082739414	KDM7A	80853
ENSG00000006468	0.107212752	0.59982766	ETV1	2115
ENSG00000006530	-0.198465529	0.319511715	AGK	55750
ENSG00000006555	-0.054875247	0.923729274	TTC22	55001
ENSG00000006576	-0.586490036	0.012291716	PHTF2	57157
ENSG00000006606	-0.265101816	0.712635949	CCL26	10344
ENSG00000006607	-0.186459075	0.323752928	FARP2	9855
ENSG00000006611	-0.370896875	0.612751986	USH1C	10083
ENSG00000006625	-0.085555863	0.742771581	GGCT	79017
ENSG00000006634	-0.290014595	0.481782746	DBF4	10926
ENSG00000006638	0.210366219	0.537427529	TBXA2R	6915
ENSG00000006652	-0.14854476	0.664758516	IFRD1	3475
ENSG00000006695	-0.202722801	0.34046885	COX10	1352
ENSG00000006704	0.083330409	0.752026057	GTF2IRD1	9569
ENSG00000006712	0.291804553	0.098683695	PAF1	54623
ENSG00000006715	0.085149737	0.621543532	VPS41	27072
ENSG00000006740	-0.625404722	0.009244568	ARHGAP44	9912
ENSG00000006744	0.034330612	0.824679725	ELAC2	60528
ENSG00000006756	0.730936939	0.002222731	ARSD	414
ENSG00000006757	-0.1912236	0.386788635	PNPLA4	8228
ENSG00000006788	0.173146858	0.703181297	MYH13	8735
ENSG00000006831	0.054753463	0.686250866	ADIPOR2	79602
ENSG00000006837	0.271132558	0.304872492	CDKL3	51265
ENSG00000007047	0.275479775	0.243918962	MARK4	57787
ENSG00000007062	0.67921061	0.054283587	PROM1	8842
ENSG00000007080	0.308759707	0.118749017	CCDC124	115098
ENSG00000007129	0.727735677	0.286485134	CEACAM21	90273
ENSG00000007168	-0.221399941	0.233863587	PAFAH1B1	5048
ENSG00000007171	-0.533448601	0.411076764	NOS2	4843
ENSG00000007174	-0.072546008	0.885573027	DNAH9	1770
ENSG00000007202	-0.365085392	0.029990076	KIAA0100	9703
ENSG00000007237	0.125169017	0.489959566	GAS7	8522
ENSG00000007255	0.416113578	0.186644614	TRAPPC6A	79090
ENSG00000007264	-0.467692572	0.547757234	MATK	4145
ENSG00000007312	0.452428274	0.050043261	CD79B	974
ENSG00000007314	0.957560404	0.035338201	SCN4A	6329
ENSG00000007341	-0.146168533	0.442663046	ST7L	54879
ENSG00000007350	-1.031783466	0.004270042	TKTL1	8277
ENSG00000007372	-0.207604915	0.702640423	PAX6	5080
ENSG00000007376	0.310934893	0.182481594	RPUSD1	113000
ENSG00000007384	0.59248451	0.025174808	RHBDF1	64285
ENSG00000007392	0.240892613	0.4686718	LUC7L	55692
ENSG00000007402	-0.211638473	0.525107777	CACNA2D2	9254
ENSG00000007516	1.045230113	0.005273103	BAIAP3	8938
ENSG00000007520	0.205094282	0.293161089	TSR3	115939
ENSG00000007541	0.511627119	0.018528597	PIGQ	9091
ENSG00000007545	-0.269526232	0.204342588	CRAMP1	57585
ENSG00000007866	0.185633865	0.315216262	TEAD3	7005
ENSG00000007908	-2.669299519	4.74e-05	SELE	6401
ENSG00000007923	0.36980354	0.016663366	DNAJC11	55735
ENSG00000007933	0.245571653	0.624403274	FMO3	2328
ENSG00000007944	0.141817622	0.4690575	MYLIP	29116
ENSG00000007968	-0.061820194	0.913369652	E2F2	1870
ENSG00000008018	0.103438255	0.561574811	PSMB1	5689
ENSG00000008056	0.424975305	0.059243145	SYN1	6853
ENSG00000008083	-0.129335601	0.66279701	JARID2	3720
ENSG00000008086	0.200594793	0.512925933	CDKL5	6792
ENSG00000008128	0.310644998	0.180029402	CDK11A	728642
ENSG00000008130	0.0041857	0.983710516	NADK	65220
ENSG00000008196	0.329091593	0.617505703	TFAP2B	7021
ENSG00000008226	0.109799144	0.867341438	DLEC1	9940
ENSG00000008256	-0.201189243	0.211817612	CYTH3	9265
ENSG00000008277	-0.323362917	0.22838497	ADAM22	53616
ENSG00000008282	-0.787737515	0.009936883	SYPL1	6856
ENSG00000008283	-0.075683866	0.751916373	CYB561	1534
ENSG00000008294	-0.314477356	0.025886322	SPAG9	9043
ENSG00000008300	0.077461076	0.851595103	CELSR3	1951
ENSG00000008311	-1.060228873	3.72e-05	AASS	10157
ENSG00000008323	0.647391428	0.417301318	PLEKHG6	55200
ENSG00000008324	0.256417715	0.24955673	SS18L2	51188
ENSG00000008382	0.293112585	0.160314805	MPND	84954
ENSG00000008394	-0.43863096	0.368967709	MGST1	4257
ENSG00000008405	0.028468341	0.92844386	CRY1	1407
ENSG00000008441	0.127394317	0.411870826	NFIX	4784
ENSG00000008513	-0.194257344	0.243487044	ST3GAL1	6482
ENSG00000008516	-0.453246583	0.299627117	MMP25	64386
ENSG00000008517	-0.12362629	0.660345819	IL32	9235
ENSG00000008710	0.3664244	0.064934253	PKD1	5310
ENSG00000008735	0.289981903	0.602347721	MAPK8IP2	23542
ENSG00000008838	0.186544951	0.219316073	MED24	9862
ENSG00000008853	-0.081930343	0.655770236	RHOBTB2	23221
ENSG00000008869	-0.497048536	0.013525594	HEATR5B	54497
ENSG00000008952	0.03320133	0.811647673	SEC62	7095
ENSG00000008988	-0.160217216	0.520052544	RPS20	6224
ENSG00000009307	-0.327720255	0.05828669	CSDE1	7812
ENSG00000009335	-0.593198283	0.00704247	UBE3C	9690
ENSG00000009413	0.191363567	0.18174687	REV3L	5980
ENSG00000009694	0.489985337	0.188772195	TENM1	10178
ENSG00000009709	-0.625993399	0.392654242	PAX7	5081
ENSG00000009765	0.115567274	0.81676504	IYD	389434
ENSG00000009780	-0.506327985	0.04779373	FAM76A	199870
ENSG00000009790	0.109621991	0.82251865	TRAF3IP3	80342
ENSG00000009830	-0.080369638	0.670747882	POMT2	29954
ENSG00000009844	-0.227217975	0.35713993	VTA1	51534
ENSG00000009950	0.312658367	0.461949143	MLXIPL	51085
ENSG00000009954	-0.018264591	0.883163318	BAZ1B	9031
ENSG00000010017	-0.082451303	0.708937837	RANBP9	10048
ENSG00000010030	-1.451426635	0.045657974	ETV7	51513
ENSG00000010072	-0.292479812	0.217403986	SPRTN	83932
ENSG00000010165	-0.408832238	0.04499545	EEF1AKNMT	51603
ENSG00000010219	0.544627148	0.001896469	DYRK4	8798
ENSG00000010244	-0.484976894	0.01591185	ZNF207	7756
ENSG00000010256	0.287616046	0.067407158	UQCRC1	7384
ENSG00000010270	-0.723869335	0.007392475	STARD3NL	83930
ENSG00000010278	-0.560878121	0.150404349	CD9	928
ENSG00000010282	0.206797714	0.387513558	HHATL	57467
ENSG00000010292	-0.038655527	0.820678543	NCAPD2	9918
ENSG00000010295	0.24579875	0.216945608	IFFO1	25900
ENSG00000010310	0.56293178	0.092283112	GIPR	2696
ENSG00000010318	-0.285652514	0.380606233	PHF7	51533
ENSG00000010319	0.112382049	0.520495895	SEMA3G	56920
ENSG00000010322	0.496515808	0.019110115	NISCH	11188
ENSG00000010327	-0.046180734	0.904979672	STAB1	23166
ENSG00000010361	-0.521412659	0.244130736	FUZ	80199
ENSG00000010379	0.904636597	0.024725358	SLC6A13	6540
ENSG00000010404	-0.012519741	0.929834192	IDS	3423
ENSG00000010539	0.391497437	0.079393845	ZNF200	7752
ENSG00000010610	0.167594211	0.625165206	CD4	920
ENSG00000010626	0.339121409	0.050736365	LRRC23	10233
ENSG00000010671	-1.019679608	0.035869632	BTK	695
ENSG00000010704	-0.142630718	0.616197467	HFE	3077
