hgnc_symbol	logFC_MUO	PValue_MUO	entrezgene
PLA2G7	3.656215124	7.99e-12	7941
ETFA	-0.677089148	4.31e-11	2108
LYZ	2.311593191	5.25e-11	4069
ALPK3	-2.306736537	5.93e-11	57538
HLA-DMB	0.67039272	1.07e-10	3109
ARRB2	1.301130023	1.3e-10	409
PTPRC	1.430611746	1.37e-10	5788
GSDMB	-1.86214774	1.46e-10	55876
PALLD	1.022391183	2.2e-10	23022
CHKA	-0.892857142	2.25e-10	1119
LCP1	1.68814523	3.02e-10	3936
EGFL6	4.264195036	3.23e-10	25975
ADNP2	-0.424368721	3.51e-10	22850
RASSF2	1.44606236	3.56e-10	9770
TM7SF2	-0.678222656	4.24e-10	7108
CECR2	-0.425205774	4.75e-10	27443
PTPRJ	1.365862164	5.17e-10	5795
PDK2	-0.580845424	8.31e-10	5164
SKIV2L2	-0.544346398	1.04e-09	NA
KIAA0368	-0.478288923	1.29e-09	NA
SLC16A7	-0.736275809	1.31e-09	9194
PLEK	1.804425921	1.36e-09	5341
RORB	-2.535792762	1.69e-09	6096
CD68	1.249128076	1.98e-09	968
IGSF6	2.653355188	2.18e-09	10261
SPX	-2.875095915	2.36e-09	80763
AZGP1	-1.189322334	2.73e-09	563
FMNL1	0.942923409	2.97e-09	752
SLIT2	1.412580216	2.99e-09	9353
GLIPR1	1.797816685	3.21e-09	11010
UQCRC2	-0.536516461	3.44e-09	7385
MPDZ	-0.828508648	3.48e-09	8777
MPDZ	-0.828508648	3.48e-09	8777
UCHL1	0.819405694	3.57e-09	7345
LETMD1	-0.57700893	3.6e-09	25875
GPD1L	-1.565795899	3.64e-09	23171
SLC27A2	-3.362949918	3.84e-09	11001
LRPPRC	-0.546456476	4.59e-09	10128
FYB	1.31352888	4.72e-09	NA
CD74	0.659633092	4.84e-09	972
AASS	-1.367518835	5.21e-09	10157
ORMDL3	-1.29699707	5.37e-09	94103
SHTN1	1.110299246	5.8e-09	57698
PSAP	0.446777338	5.88e-09	5660
RASL10B	-1.1668178	5.91e-09	91608
GPR146	-0.725341795	6.49e-09	115330
FXYD5 /// LOC100127972	0.500383648	7.42e-09	NA
CXCL16	1.690813338	7.93e-09	58191
ALDH6A1	-1.119942799	9.57e-09	4329
LRRC75A-AS1	-0.348406111	1.1e-08	NA
CTH	-0.595328194	1.1e-08	1491
MVP	0.704084125	1.1e-08	9961
PTPN6	0.817940848	1.18e-08	5777
IL2RG	0.721801759	1.2e-08	3561
CD53	2.032366071	1.21e-08	963
TYROBP	1.950910299	1.27e-08	7305
EIF3A	-0.300118581	1.32e-08	8661
THYN1	-0.515799387	1.33e-08	29087
ACER2	-1.036743166	1.67e-08	340485
DAB2 /// C9	0.890345981	1.73e-08	NA
PRDX6	-0.697440026	1.75e-08	9588
LRRK1	0.65084403	1.82e-08	79705
PTPRE	0.697422573	1.9e-08	5791
LINC01612	-0.669049944	1.96e-08	NA
CMAHP	0.610822407	2e-08	NA
NCKAP1L	1.652692525	2.01e-08	3071
RHOT1	-0.69768415	2.11e-08	55288
MSN	0.503801604	2.17e-08	4478
MSN	0.503801604	2.17e-08	4478
LAPTM5	1.310860766	2.19e-08	7805
TNFAIP3	1.152500698	2.21e-08	7128
MYO1F	0.873639787	2.29e-08	4542
SMYD2	0.456054687	2.44e-08	56950
LOXL2 /// ENTPD4	0.77205985	2.64e-08	NA
VEGFA	-0.915631976	2.73e-08	7422
SCP2	-0.511980327	2.76e-08	6342
ITGAX	2.222464424	2.78e-08	3687
BCKDHB	-0.621233258	2.89e-08	594
CD163	1.916817801	3.25e-08	9332
IKZF1	0.395961217	3.36e-08	10320
COL12A1	1.082868321	3.41e-08	1303
SH2B3	0.425118581	3.47e-08	10019
MKNK2	-0.720458982	3.55e-08	2872
CD14	1.227155414	4.09e-08	929
LAMB3	1.404017856	4.09e-08	3914
BCL2L13	-0.527744838	4.45e-08	23786
DMD	-0.839163645	5.08e-08	1756
