hgnc_symbol	entrezgene	logFC_NAFLD	PValue_NAFLD
H2AFY2	55506	-0.930043447817461	2.17654000736718e-08
GALNT18	374378	-0.625928108738094	3.65647304879818e-07
PIEZO2	63895	-0.568847756650797	9.43126514117858e-07
TSPAN3	10099	-0.512343188936507	1.38584188002808e-06
APOF	319	0.91868388186508	3.78244492145926e-06
DNAJC12	56521	0.679713833579365	6.19827729742523e-06
TMEM154	201799	-1.55482525652381	8.40306932059271e-06
GRID1	2894	-1.20322625654762	9.63435420697774e-06
C8B	732	0.449363011126984	9.82748346043679e-06
CAMK1D	57118	-0.611384777126987	1.0417654755563e-05
PCLO	27445	-0.401344328261903	1.76790242253644e-05
SULF2	55959	-0.959281553904767	2.10006379904127e-05
HSD17B11	51170	0.608078202095241	2.10711468672922e-05
CENPV	201161	0.48955953649206	3.03472088779389e-05
CPN1	1369	0.574925912222218	3.15774250432387e-05
P4HA1	5033	1.38376472366667	3.29250756842707e-05
PIEZO2	63895	-0.525820442507935	3.61963354515054e-05
LINC00885	401109	-1.08288770307143	3.8445654133685e-05
SNAP25	6616	-0.602217817420634	4.09188193755714e-05
RPS6KA1	6195	-0.641712277349206	4.31864694886685e-05
MRPL21	219927	0.450392408174606	4.35578428733391e-05
SATB2	23314	-0.516211533666662	4.51517811963793e-05
KSR1	8844	-0.434960523357145	5.36002695823565e-05
ME1	4199	-1.11179699988095	5.37490003938907e-05
RPL21	6144	0.469934753150793	5.60321554049062e-05
TRHDE	29953	-1.19050200292064	6.64099468768385e-05
CCDC82	79780	-0.479099366396826	6.7659462289791e-05
TMEM63A	9725	-0.569237682134919	6.82510599352151e-05
GOT1	2805	0.413837584444448	7.02516210360606e-05
PEG10	23089	-1.93726582671429	7.18587500090763e-05
CDH23	64072	0.697050570166666	7.58120900338148e-05
TP53I3	9540	-0.788868514769841	7.95992150647073e-05
ALDH6A1	4329	0.846119833230161	7.9953177774939e-05
AMDHD1	144193	0.629071896603175	8.23013083727638e-05
TFPI	7035	0.460860881658737	8.25008452701931e-05
RPL21	6144	0.356660760960313	8.27421431207387e-05
CFHR4	10877	0.944454191238099	8.48314526907802e-05
PON3	5446	0.46009654928571	8.67556850636427e-05
IGF1	3479	0.988485537269842	8.87992879318783e-05
ABCB11	8647	0.632960000396826	9.32523737562502e-05
GRIA3	2892	-0.693942105055553	9.45662917293184e-05
SLC35D2	11046	0.30240062972222	9.85805078937975e-05
RPL21	6144	0.350623590634921	9.94598327646703e-05
COX5B	1329	0.344628593031747	0.000101059146665466
GADD45A	1647	-0.431038928682544	0.000107330612037011
GNA12	2768	-0.401157753222225	0.000113991031281056
ITIH3	3699	0.545719527896823	0.000116282748023904
RPL21	6144	0.339433285777776	0.000126347307719987
ISM1	140862	-0.973061116150792	0.000137673591272839
SDHAF2	54949	0.232886224888886	0.000152477968184601
PLSCR4	57088	0.516281322809522	0.000156609403400973
NEBL	10529	-0.606602916785715	0.000166802678575819
MTCL1	23255	-0.44217499520635	0.000167912056726243
SOWAHC	65124	0.391079868238095	0.000168930903627327
C6orf120	387263	0.360014829492061	0.000173608013095199
EFNA1	1942	0.500842776976191	0.000186562675523673
SLC16A1	6566	0.605691206936511	0.000187415801566853
MSN	4478	-0.581655245984129	0.000194638470784713
TAS2R41	259287	-0.469968292658729	0.000202322166867408
STXBP1	6812	-0.506795078976193	0.000207564408185121
MEP1B	4225	-1.33458488734921	0.000212891409830143
SERPINA11	256394	0.429322731111109	0.000214266104112738
PC	5091	0.485069772325401	0.000224250453597639
SIRT1	23411	0.381650837825402	0.000224952062533217
IGFBP2	3485	1.3480584717619	0.000232709476342416
