ensembl_gene_id	logFC_RA235	PValue_RA235	entrezgene
ENSG00000223865	2.43257238975182	9.64617614029608e-17	3115
ENSG00000211952	7.95507211613103	1.87575215301828e-15	NA
ENSG00000132465	8.39055411383031	1.98937956097466e-15	3512
ENSG00000111801	2.76184656261319	2.23800534360189e-15	10384
ENSG00000110777	6.00936056756654	2.5919244978712e-15	5450
ENSG00000242574	3.6580377011339	3.44760577765665e-15	3109
ENSG00000231389	3.15788229237708	1.0039843375162e-14	3113
ENSG00000091490	3.36446238265111	1.76752589158168e-14	23231
ENSG00000211899	7.00183438659415	2.59308329370824e-14	NA
ENSG00000081237	3.92977082352388	3.32484279599356e-14	5788
ENSG00000211598	7.82738788862122	1.06911660369205e-13	NA
ENSG00000112297	2.75535394970074	1.13275797035258e-13	202
ENSG00000175567	3.73040894399229	2.87420528946427e-13	7351
ENSG00000117479	-4.80051264790763	5.01866248509737e-13	10560
ENSG00000113916	-3.07083404981442	5.07605288750635e-13	604
ENSG00000128340	2.44047426810285	5.76731877077213e-13	5880
ENSG00000211947	6.99664483161962	8.0648244482147e-13	NA
ENSG00000211751	2.7586868460706	1.0308947387799e-12	NA
ENSG00000132475	-2.0525236597203	1.31193191892025e-12	3021
ENSG00000026950	1.20204778492741	1.35030388775515e-12	11119
ENSG00000103653	1.95136782577165	1.52110499975505e-12	1445
ENSG00000131042	2.74619555247949	3.03061209148983e-12	10288
ENSG00000087074	-3.53513437908293	4.0242202757222e-12	23645
ENSG00000182866	1.17866125518265	5.50092045510729e-12	3932
ENSG00000186918	-3.00612609403736	5.81431367474143e-12	55893
ENSG00000211949	6.02075014818694	6.01727747117276e-12	NA
ENSG00000073849	2.1499099649404	8.53974178115599e-12	6480
ENSG00000196126	2.75702077897517	9.23824065220102e-12	3123
ENSG00000009413	-3.16672662972808	1.16986174896598e-11	5980
ENSG00000211666	7.98272725905172	1.77788126396682e-11	NA
ENSG00000093072	3.78171418336367	2.71366634034609e-11	51816
ENSG00000187391	-1.2603494034989	2.83726640432223e-11	9863
ENSG00000163466	1.30271660602524	3.33587928303817e-11	10109
ENSG00000211653	6.0893853358173	3.48635432051534e-11	NA
ENSG00000136205	2.73207743353445	3.49697756228804e-11	64759
ENSG00000020633	1.11051051147807	3.63520849681296e-11	864
ENSG00000211445	-3.08091569914449	3.77556656609656e-11	2878
ENSG00000145416	1.81229275881978	4.23829990472009e-11	55016
ENSG00000145649	2.478260507942	4.26399937385893e-11	3001
ENSG00000116824	2.75753604412869	4.4689753796262e-11	914
ENSG00000019582	1.76458584780131	4.92290717669457e-11	972
ENSG00000005844	1.27324612120086	5.50481794568435e-11	3683
ENSG00000124762	-3.89377623893749	6.32700114022287e-11	1026
ENSG00000136826	-4.07625156836877	7.14108629694468e-11	9314
ENSG00000075426	-2.1345775646607	8.935969821439e-11	2355
ENSG00000103187	2.67498587360453	9.7810266185071e-11	23406
ENSG00000116717	-4.04898367112239	1.07941019243034e-10	1647
ENSG00000136167	2.45269391654146	1.14421558616019e-10	3936
ENSG00000012779	2.10829993563878	1.15330944768852e-10	240
ENSG00000139112	-2.59155553582564	1.34097545795642e-10	23710
ENSG00000115165	3.55879581245407	1.40470042911185e-10	9595
ENSG00000165025	1.27413770908349	1.45744865570476e-10	6850
ENSG00000160791	2.39692527307634	1.70639326246172e-10	1234
ENSG00000110934	1.17329610950533	1.73036267646369e-10	51411
ENSG00000146278	-1.59482348738159	1.94897525610284e-10	10957
ENSG00000166016	-0.969944298216338	2.37629311146548e-10	25841
ENSG00000211644	5.81347078845342	2.39746169261806e-10	NA
ENSG00000111679	2.36812314172159	2.48430585476611e-10	5777
ENSG00000167286	2.92330245373608	2.60832211986643e-10	915
ENSG00000131747	0.837159653308369	2.80091013253955e-10	7153
ENSG00000119138	-3.32400488961457	3.03392093781571e-10	687
ENSG00000101825	5.99459062044482	3.3541737931667e-10	25878
ENSG00000121807	0.749796403335633	3.53757157156492e-10	729230
ENSG00000134028	3.99109179466561	3.80898439735802e-10	27299
ENSG00000143390	1.10994134544977	3.8891313529249e-10	5993
ENSG00000117091	3.09187375979653	4.07971076349017e-10	962
ENSG00000115884	1.9588534834413	4.65886360263057e-10	6382
ENSG00000142347	2.41662502231059	4.65921602995916e-10	4542
ENSG00000231292	2.68568257908336	4.85291279152179e-10	NA
ENSG00000187764	1.84915851675067	4.91445316463673e-10	10507
ENSG00000271503	3.51348017232463	4.9194702145203e-10	6352
ENSG00000151748	-1.47389906512264	5.43053911380669e-10	60485
AFFX-HUMISGF3A/M97935_3_at	2.17993285842143	5.71480294694048e-10	NA
ENSG00000115963	-2.79969979184931	5.74157730977726e-10	390
ENSG00000148737	-2.17265334638565	6.05978955875419e-10	6934
ENSG00000162772	-5.61432895733503	6.82635511375132e-10	467
ENSG00000153234	-4.12216412242	7.10725556542295e-10	4929
ENSG00000165030	-5.48091716791356	7.56452850941556e-10	4783
ENSG00000059378	1.82638726994608	8.18087041145854e-10	64761
ENSG00000110031	2.14444338662555	8.30560718359615e-10	9404
ENSG00000121316	2.6795976334509	8.53449123030252e-10	79887
ENSG00000135905	1.04102086201157	8.79876450085157e-10	55619
ENSG00000069702	-3.65866448129825	9.15679431684383e-10	7049
ENSG00000169442	3.74088897985745	9.21216194850509e-10	1043
ENSG00000163694	2.57754617151733	1.05860102292874e-09	54502
ENSG00000137628	1.42914714453843	1.10005070447757e-09	55601
ENSG00000198951	1.27597525897977	1.1372599685988e-09	4668
ENSG00000197943	1.54873289434533	1.26022869000903e-09	5336
ENSG00000176390	2.5847478466084	1.2754983062338e-09	51379
ENSG00000102879	1.97747299433642	1.27721927577818e-09	11151
ENSG00000139910	-1.7445866134756	1.37710979525429e-09	4857
ENSG00000172575	1.54023640284979	1.3943407536266e-09	10125
ENSG00000060138	-1.33786148997247	1.76882061382363e-09	8531
ENSG00000154734	-3.45516709943345	1.89932945905925e-09	9510
ENSG00000118242	1.35098787923003	1.91923285624e-09	55686
ENSG00000166949	-0.95225112390498	1.94375718324757e-09	4088
ENSG00000115415	2.34788296677985	1.96173750839913e-09	6772
ENSG00000240065	3.02815684365235	1.98425516480313e-09	5698
ENSG00000151929	-2.24253308018402	2.00470172861387e-09	9531
ENSG00000006652	-2.52351542829542	2.26066774129789e-09	3475
ENSG00000186470	2.33941350434032	2.30763846793325e-09	11118
