ensembl_gene_id	hgnc_symbol	logFC_RETT_FC	PValue_RETT_FC	entrezgene
ENSG00000184254	ALDH1A3	1.480899266	5.82e-06	220
ENSG00000184828	ZBTB7C	0.993957496	8.11e-06	201501
ENSG00000112799	LY86	-0.764778859	1.16e-05	9450
ENSG00000168329	CX3CR1	-1.576575706	1.56e-05	1524
ENSG00000119535	CSF3R	-0.847597549	1.88e-05	1441
ENSG00000232859	LYRM9	1.086854252	1.88e-05	201229
ENSG00000151276	MAGI1	0.596452281	5.07e-05	9223
ENSG00000242574	HLA-DMB	-1.035098647	7.55e-05	3109
ENSG00000180353	HCLS1	-0.714135016	8.1e-05	3059
ENSG00000275395	FCGBP	-0.86930775	9.87e-05	8857
ENSG00000097021	ACOT7	-0.868746561	0.000103167	11332
ENSG00000147576	ADHFE1	0.802151715	0.000103429	137872
ENSG00000106648	GALNTL5	-0.854067326	0.000105621	168391
ENSG00000128335	APOL2	1.007910239	0.000110561	23780
ENSG00000148110	MFSD14B	-0.553745352	0.000114617	84641
ENSG00000132854	KANK4	1.192222235	0.000117446	163782
ENSG00000011201	ANOS1	1.145295044	0.000122041	3730
ENSG00000197943	PLCG2	-0.584773026	0.000124494	5336
ENSG00000198223	CSF2RA	-0.620563792	0.000165694	1438
ENSG00000141750	STAC2	0.812923697	0.000176361	342667
ENSG00000082074	FYB1	-0.524811318	0.000183855	2533
ENSG00000157502	MUM1L1	-1.007281058	0.000213517	139221
ENSG00000165025	SYK	-0.544888695	0.000228946	6850
ENSG00000016391	CHDH	0.719001012	0.000234717	55349
ENSG00000242732	RTL5	0.744333219	0.000236503	340526
ENSG00000171502	COL24A1	-0.97624413	0.000244664	255631
ENSG00000181631	P2RY13	-0.832139935	0.000264632	53829
ENSG00000256616		0.583627673	0.000280782	NA
ENSG00000066185	ZMYND12	0.525361345	0.000287959	84217
ENSG00000169213	RAB3B	-0.974244595	0.000305576	5865
ENSG00000239719		0.528833862	0.000310106	NA
ENSG00000132965	ALOX5AP	-1.335238301	0.000318477	241
ENSG00000103811	CTSH	0.867872576	0.000321683	1512
ENSG00000228432	DHFRP2	-0.493050369	0.000325589	NA
ENSG00000196664	TLR7	-0.488357955	0.000327657	51284
