ensembl_gene_id	hgnc_symbol	logFC_RETT_TC	PValue_RETT_TC	entrezgene
ENSG00000168329	CX3CR1	-2.063534019	7.22e-07	1524
ENSG00000141750	STAC2	1.263978101	1.6e-06	342667
ENSG00000165025	SYK	-0.843039155	2.35e-06	6850
ENSG00000112799	LY86	-0.845750398	3.78e-06	9450
ENSG00000197943	PLCG2	-0.796665831	4.83e-06	5336
ENSG00000242574	HLA-DMB	-1.23663688	1.18e-05	3109
ENSG00000097021	ACOT7	-1.026298692	1.87e-05	11332
ENSG00000132854	KANK4	1.379038069	2.7e-05	163782
ENSG00000181631	P2RY13	-1.047907385	2.74e-05	53829
ENSG00000198223	CSF2RA	-0.769298118	3.27e-05	1438
ENSG00000011600	TYROBP	-1.57272428	3.36e-05	7305
ENSG00000169313	P2RY12	-1.544285102	4.64e-05	64805
ENSG00000123496	IL13RA2	-0.545254722	4.7e-05	3598
ENSG00000184709	LRRC26	0.622811696	5.65e-05	389816
ENSG00000059377	TBXAS1	-0.805539105	5.71e-05	6916
ENSG00000121005	CRISPLD1	0.510905153	6.89e-05	83690
ENSG00000204472	AIF1	-1.219149542	8.03e-05	199
ENSG00000168096	ANKS3	0.642136693	9.1e-05	124401
ENSG00000082074	FYB1	-0.552619061	0.000112313	2533
ENSG00000196664	TLR7	-0.546843556	0.000113856	51284
ENSG00000169129	AFAP1L2	-0.649828606	0.000119277	84632
ENSG00000178175	ZNF366	-0.501303545	0.00012197	167465
ENSG00000174123	TLR10	-0.519491807	0.000122761	81793
ENSG00000153113	CAST	0.568230044	0.00012979	831
ENSG00000139874	SSTR1	-0.739737608	0.00013047	6751
ENSG00000205609	EIF3CL	-0.608981939	0.000132317	728689
ENSG00000054277	OPN3	-0.747291486	0.000134575	23596
ENSG00000104059	FAM189A1	0.723819135	0.000140079	23359
ENSG00000162511	LAPTM5	-0.966720583	0.000141333	7805
ENSG00000134283	PPHLN1	-0.72743455	0.0001498	51535
ENSG00000163359	COL6A3	0.381994042	0.000176677	1293
ENSG00000101958	GLRA2	-0.637521772	0.000177554	2742
ENSG00000225308	ASS1P11	-0.570142554	0.000198778	NA
ENSG00000127951	FGL2	-0.529469279	0.00020119	10875
ENSG00000068028	RASSF1	-0.513865161	0.000217304	11186
ENSG00000006704	GTF2IRD1	0.410070116	0.00021749	9569
ENSG00000119535	CSF3R	-0.663272628	0.000219086	1441
ENSG00000087494	PTHLH	-0.56639952	0.000226058	5744
ENSG00000124205	EDN3	-0.735857014	0.000228079	1908
ENSG00000030582	GRN	-0.449177327	0.000241949	2896
ENSG00000184060	ADAP2	-0.856097324	0.000243149	55803
ENSG00000165617	DACT1	-0.801950664	0.000250656	51339
ENSG00000148908	RGS10	-1.151933049	0.000257369	6001
ENSG00000145808	ADAMTS19	0.420450564	0.00028693	171019
ENSG00000181404	WASHC1	0.627775209	0.000287631	100287171
ENSG00000115459	ELMOD3	0.454325291	0.000298788	84173
ENSG00000224161	RPS26P54	0.552839168	0.000309749	NA
ENSG00000105409	ATP1A3	0.665725165	0.00031945	478
ENSG00000132965	ALOX5AP	-1.329737358	0.000330524	241
ENSG00000105122	RASAL3	-0.714854011	0.000331659	64926
ENSG00000139679	LPAR6	-0.737740703	0.000331852	10161
ENSG00000137198	GMPR	0.488705454	0.000335972	2766
ENSG00000213316	LTC4S	-0.623450805	0.000339045	4056
ENSG00000128335	APOL2	0.889593965	0.00035431	23780
ENSG00000073737	DHRS9	-0.837164787	0.000366354	10170
ENSG00000114013	CD86	-0.623657606	0.000377526	942
ENSG00000026036	RTEL1-TNFRSF6B	0.689482261	0.000384424	NA
ENSG00000171476	HOPX	-0.510616221	0.000384472	84525
ENSG00000076344	RGS11	0.619185685	0.000402467	8786
ENSG00000116774	OLFML3	-0.601315751	0.000406267	56944
ENSG00000226091	LINC00937	0.469502825	0.000409055	389634
ENSG00000179632	MAF1	0.455730612	0.000418261	84232
ENSG00000235034	C19orf81	0.614919519	0.000418274	342918
ENSG00000051523	CYBA	-1.059671153	0.000421324	1535
ENSG00000174996	KLC2	0.604771066	0.000430096	64837
ENSG00000166927	MS4A7	-0.485302498	0.000459545	58475
ENSG00000156299	TIAM1	-0.562864504	0.000478001	7074
ENSG00000103064	SLC7A6	0.590555761	0.000483433	9057
ENSG00000139910	NOVA1	-0.590987458	0.000497343	4857
ENSG00000169413	RNASE6	-0.50656649	0.000514224	6039
ENSG00000137460	FHDC1	0.518136681	0.000521707	85462
ENSG00000138698	RAP1GDS1	-0.956765832	0.000523505	5910
ENSG00000231389	HLA-DPA1	-0.920135205	0.000538233	3113
ENSG00000074964	ARHGEF10L	0.380405055	0.000555032	55160
ENSG00000078237	TIGAR	-0.608721362	0.000564465	57103
ENSG00000159261	CLDN14	0.338390884	0.000567639	23562
ENSG00000213160	KLHL23	-0.693027939	0.000604351	100526832
ENSG00000213160	KLHL23	-0.693027939	0.000604351	151230
ENSG00000104756	KCTD9	0.638414456	0.000614333	54793
ENSG00000133315	MACROD1	0.590308251	0.000618033	28992
ENSG00000250546		-0.372528044	0.000643349	101928978
ENSG00000173272	MZT2A	0.531463793	0.000645547	653784
ENSG00000112183	RBM24	-0.629903781	0.000708033	221662
ENSG00000282608	ADORA3	-0.530082254	0.0007147	140
ENSG00000145681	HAPLN1	-0.809861651	0.000731448	1404
ENSG00000100982	PCIF1	0.476007898	0.000733581	63935
ENSG00000212932	RPL23AP4	0.876078337	0.000771157	NA
ENSG00000228432	DHFRP2	-0.446119472	0.000774572	NA
ENSG00000032219	ARID4A	-0.361069152	0.000777762	5926
ENSG00000174197	MGA	0.512932477	0.000797393	23269
