ensembl_gene_id	logFC_BC	PValue_BC	entrezgene
ENSG00000000003	-0.196774723	0.733608386	7105
ENSG00000000005	-8.222427261	1.14e-05	64102
ENSG00000000419	0.068483939	0.833040252	8813
ENSG00000000457	0.887680395	0.055529182	57147
ENSG00000000460	1.271758902	0.019866978	55732
ENSG00000000938	-3.093053359	0.000177035	2268
ENSG00000000971	-4.502833152	4.46e-07	3075
ENSG00000001036	-0.075380131	0.808097254	2519
ENSG00000001084	-0.857113389	0.044074749	2729
ENSG00000001167	1.075849852	0.007181866	4800
ENSG00000001460	0.110193259	0.74158918	90529
ENSG00000001461	0.697348427	0.238836555	57185
ENSG00000001497	0.994097401	0.006702209	81887
ENSG00000001561	-1.385012109	0.045725763	22875
ENSG00000001617	1.678875565	0.001938955	6405
ENSG00000001626	-3.27638822	0.015118093	1080
ENSG00000001629	0.156158926	0.719795159	54467
ENSG00000001630	1.552357724	0.056173564	1595
ENSG00000001631	-0.241514271	0.433915973	889
ENSG00000002016	0.769808046	0.19025716	5893
ENSG00000002079	1.429842741	0.063260139	NA
ENSG00000002330	1.300126572	0.011579067	572
ENSG00000002549	-0.759806842	0.077536121	51056
ENSG00000002586	-1.572878029	0.005696975	4267
ENSG00000002587	-1.421587074	0.009531653	9957
ENSG00000002726	-0.545088826	0.526344993	26
ENSG00000002745	-0.38281797	0.753646284	51384
ENSG00000002746	0.485017195	0.548671404	23072
ENSG00000002822	0.67880634	0.076775889	8379
ENSG00000002834	0.318800764	0.375169532	3927
ENSG00000002919	-0.36249839	0.250357305	29916
ENSG00000002933	-0.647875688	0.381268298	55365
ENSG00000003056	-0.245437115	0.564441376	4074
ENSG00000003096	-2.323336775	0.037671036	90293
ENSG00000003137	-4.77308002	2.94e-07	56603
ENSG00000003147	1.065002968	0.009717431	3382
ENSG00000003249	3.630688735	0.00010456	79007
ENSG00000003393	-0.354283255	0.165742293	57679
ENSG00000003400	-2.46773046	0.002205917	843
ENSG00000003402	-2.363410684	0.000189463	8837
ENSG00000003436	-0.584377024	0.628926993	7035
ENSG00000003509	0.217254447	0.510006464	55471
ENSG00000003756	-0.58674755	0.087859632	10181
ENSG00000003987	0.732407958	0.204190158	9108
ENSG00000003989	1.1365956	0.395404524	6542
ENSG00000004059	1.38651703	0.008408209	381
ENSG00000004139	1.344847842	0.107326603	23098
ENSG00000004142	0.807362225	0.006289921	26073
ENSG00000004399	-0.577290375	0.220240196	23129
ENSG00000004455	0.441797723	0.15349802	204
ENSG00000004468	-2.753071585	0.002840031	952
ENSG00000004478	2.677692619	2.43e-05	2288
ENSG00000004487	0.824752306	0.044923657	23028
ENSG00000004534	-0.429896421	0.261058535	10180
ENSG00000004660	0.563292186	0.33146323	84254
ENSG00000004700	-1.231199679	0.01052549	5965
ENSG00000004766	-0.049047122	0.907109819	55610
ENSG00000004776	-5.139159383	0.000747705	126393
ENSG00000004777	1.517393515	0.020914521	115703
ENSG00000004779	0.957197388	0.010097406	4706
ENSG00000004799	-4.829399456	0.000196811	5166
ENSG00000004809	1.181845975	0.24890917	85413
ENSG00000004838	3.529843825	0.006965676	51364
ENSG00000004846	-5.939854322	0.000214196	340273
ENSG00000004848	4.874820809	0.023990023	170302
ENSG00000004864	0.164105246	0.514269099	10165
ENSG00000004866	-0.370531985	0.281441643	93655
ENSG00000004866	-0.370531985	0.281441643	7982
ENSG00000004897	-0.25356885	0.473741046	996
ENSG00000004939	-4.337365457	0.002115408	6521
ENSG00000004948	-2.143159392	0.101871776	799
