GeneID	logFC	Fold.Change	P.Value	adj.P.val	hgnc_symbol
17019728	3.656215124	12.60754198	7.99e-12	3.86e-07	PLA2G7
16811906	-0.677089148	-1.598910458	4.31e-11	5.72e-07	ETFA
16753914	2.311593191	4.964309941	5.25e-11	5.72e-07	LYZ
17042506	0.743774413	1.674551114	5.56e-11	5.72e-07	---
16804251	-2.306736537	-4.947626303	5.93e-11	5.72e-07	ALPK3
17037290	0.709402902	1.635127236	7.76e-11	6.24e-07	---
17017998	0.67039272	1.591506137	1.07e-10	7.04e-07	HLA-DMB
16829835	1.301130023	2.464218225	1.3e-10	7.04e-07	ARRB2
16675578	1.430611746	2.695609932	1.37e-10	7.04e-07	PTPRC
16844218	-1.86214774	-3.63548474	1.46e-10	7.04e-07	GSDMB
16972249	1.022391183	2.031282904	2.2e-10	9.04e-07	PALLD
16741201	-0.892857142	-1.856849828	2.25e-10	9.04e-07	CHKA
16778849	1.68814523	3.222421535	3.02e-10	1.07e-06	LCP1
17101587	4.264195036	19.21545237	3.23e-10	1.07e-06	EGFL6
16853345	-0.424368721	-1.341985163	3.51e-10	1.07e-06	ADNP2
16916901	1.44606236	2.724633838	3.56e-10	1.07e-06	RASSF2
16726680	-0.678222656	-1.600167197	4.24e-10	1.2e-06	TM7SF2
16926849	-0.425205774	-1.34276401	4.75e-10	1.27e-06	CECR2
16724633	1.365862164	2.577303013	5.17e-10	1.31e-06	PTPRJ
16835711	-0.580845424	-1.495725492	8.31e-10	2e-06	PDK2
16984829	-0.544346398	-1.458359495	1.04e-09	2.39e-06	SKIV2L2
17097152	-0.478288923	-1.393090441	1.29e-09	2.74e-06	KIAA0368
16753270	-0.736275809	-1.665869986	1.31e-09	2.74e-06	SLC16A7
16880942	1.804425921	3.492901407	1.36e-09	2.74e-06	PLEK
17085951	-2.535792762	-5.798954273	1.69e-09	3.27e-06	RORB
16830577	1.249128076	2.376977218	1.98e-09	3.68e-06	CD68
16824907	2.653355188	6.291287044	2.18e-09	3.9e-06	IGSF6
16749139	-2.875095915	-7.336520083	2.36e-09	4.07e-06	SPX
17060380	-1.189322334	-2.280456	2.73e-09	4.54e-06	AZGP1
16834931	0.942923409	1.922419796	2.97e-09	4.65e-06	FMNL1
16965377	1.412580216	2.662128509	2.99e-09	4.65e-06	SLIT2
16754373	1.797816685	3.476936417	3.21e-09	4.74e-06	GLIPR1
16816739	-0.536516461	-1.450465983	3.44e-09	4.74e-06	UQCRC2
17092421	-0.828508648	-1.775848672	3.48e-09	4.74e-06	MPDZ
16966285	0.819405694	1.764678898	3.57e-09	4.74e-06	UCHL1
16751209	-0.57700893	-1.491753261	3.6e-09	4.74e-06	LETMD1
16938630	-1.565795899	-2.960407751	3.64e-09	4.74e-06	GPD1L
16800962	-3.362949918	-10.28842271	3.84e-09	4.87e-06	SLC27A2
16897056	-0.546456476	-1.460494045	4.59e-09	5.68e-06	LRPPRC
16995601	1.31352888	2.485487555	4.72e-09	5.69e-06	FYB
17001654	0.659633092	1.579680826	4.84e-09	5.69e-06	CD74
17062280	-1.367518835	-2.580264273	5.21e-09	5.89e-06	AASS
17121622	1.489292691	2.807512977	5.26e-09	5.89e-06	---
16844239	-1.29699707	-2.45716897	5.37e-09	5.89e-06	ORMDL3
16718719	1.110299246	2.158904229	5.8e-09	6.06e-06	SHTN1
16715241	0.446777338	1.36299223	5.88e-09	6.06e-06	PSAP
16833373	-1.1668178	-2.245159282	5.91e-09	6.06e-06	RASL10B
17042844	-0.725341795	-1.653292279	6.49e-09	6.53e-06	GPR146
16860920	0.500383648	1.414589686	7.42e-09	7.31e-06	FXYD5 /// LOC100127972
16840113	1.690813338	3.228386569	7.93e-09	7.65e-06	CXCL16
16794632	-1.119942799	-2.173383551	9.57e-09	9.05e-06	ALDH6A1
17105280	-0.630310058	-1.547897626	1.03e-08	9.57e-06	---
16831464	-0.348406111	-1.273153271	1.1e-08	9.66e-06	LRRC75A-AS1
16666055	-0.595328194	-1.510816237	1.1e-08	9.66e-06	CTH
16817692	0.704084125	1.629110118	1.1e-08	9.66e-06	MVP
16747623	0.817940848	1.762888035	1.18e-08	1.01e-05	PTPN6
17111895	0.721801759	1.649240459	1.2e-08	1.01e-05	IL2RG
16668582	2.032366071	4.090751981	1.21e-08	1.01e-05	CD53
16871546	1.950910299	3.866183996	1.27e-08	1.04e-05	TYROBP
16718870	-0.300118581	-1.23124561	1.32e-08	1.05e-05	EIF3A
16746437	-0.515799387	-1.429786155	1.33e-08	1.05e-05	THYN1
17121624	1.399030411	2.63724282	1.6e-08	1.25e-05	---
17083900	-1.036743166	-2.051591027	1.67e-08	1.28e-05	ACER2
16995645	0.890345981	1.853620598	1.73e-08	1.3e-05	DAB2 /// C9
16673945	-0.697440026	-1.621624764	1.75e-08	1.3e-05	PRDX6
16805719	0.65084403	1.570086485	1.82e-08	1.33e-05	LRRK1
16710548	0.697422573	1.621605147	1.9e-08	1.37e-05	PTPRE
16972346	-0.669049944	-1.590025545	1.96e-08	1.39e-05	LINC01612
17016263	0.610822407	1.527129499	2e-08	1.39e-05	CMAHP
16752061	1.652692525	3.144198988	2.01e-08	1.39e-05	NCKAP1L
16833082	-0.69768415	-1.621899189	2.11e-08	1.43e-05	RHOT1
17104259	0.503801604	1.41794503	2.17e-08	1.44e-05	MSN
16684310	1.310860766	2.480895154	2.19e-08	1.44e-05	LAPTM5
17012946	1.152500698	2.222988829	2.21e-08	1.44e-05	TNFAIP3
