Ensembl_ID	HGNC_symbol	logFC	Fold.Change	P.Value	adj.P.Val
ENSG00000184254	ALDH1A3	1.480899266	2.791226629	5.82E-06	0.118462816
ENSG00000184828	ZBTB7C	0.993957496	1.991640829	8.11E-06	0.118462816
ENSG00000112799	LY86	-0.764778859	-1.699109533	1.16E-05	0.118462816
ENSG00000168329	CX3CR1	-1.576575706	-2.982610744	1.56E-05	0.118462816
ENSG00000119535	CSF3R	-0.847597549	-1.799501805	1.88E-05	0.118462816
ENSG00000232859	LYRM9	1.086854252	2.124103775	1.88E-05	0.118462816
ENSG00000151276	MAGI1	0.596452281	1.51199386	5.07E-05	0.247068809
ENSG00000242574	HLA-DMB	-1.035098647	-2.049253764	7.55E-05	0.247068809
ENSG00000180353	HCLS1	-0.714135016	-1.640499342	8.10E-05	0.247068809
ENSG00000275395	FCGBP	-0.86930775	-1.826786141	9.87E-05	0.247068809
ENSG00000097021	ACOT7	-0.868746561	-1.826075684	0.000103167	0.247068809
ENSG00000147576	ADHFE1	0.802151715	1.743699838	0.000103429	0.247068809
ENSG00000106648	GALNTL5	-0.854067326	-1.807589806	0.000105621	0.247068809
ENSG00000128335	APOL2	1.007910239	2.010996038	0.000110561	0.247068809
ENSG00000148110	MFSD14B	-0.553745352	-1.467891518	0.000114617	0.247068809
ENSG00000132854	KANK4	1.192222235	2.285044458	0.000117446	0.247068809
ENSG00000011201	ANOS1	1.145295044	2.211913617	0.000122041	0.247068809
ENSG00000197943	PLCG2	-0.584773026	-1.499803012	0.000124494	0.247068809
ENSG00000198223	CSF2RA	-0.620563792	-1.537475895	0.000165694	0.30887421
ENSG00000141750	STAC2	0.812923697	1.75676802	0.000176361	0.30887421
ENSG00000082074	FYB1	-0.524811318	-1.438745402	0.000183855	0.30887421
ENSG00000157502	MUM1L1	-1.007281058	-2.010119203	0.000213517	0.30887421
ENSG00000165025	SYK	-0.544888695	-1.458907784	0.000228946	0.30887421
ENSG00000016391	CHDH	0.719001012	1.646041845	0.000234717	0.30887421
ENSG00000242732	RTL5	0.744333219	1.675199851	0.000236503	0.30887421
ENSG00000171502	COL24A1	-0.97624413	-1.967337028	0.000244664	0.30887421
ENSG00000181631	P2RY13	-0.832139935	-1.780324141	0.000264632	0.30887421
ENSG00000256616		0.583627673	1.498612794	0.000280782	0.30887421
ENSG00000066185	ZMYND12	0.525361345	1.439294028	0.000287959	0.30887421
ENSG00000169213	RAB3B	-0.974244595	-1.964612244	0.000305576	0.30887421
ENSG00000239719		0.528833862	1.442762531	0.000310106	0.30887421
ENSG00000132965	ALOX5AP	-1.335238301	-2.523171555	0.000318477	0.30887421
ENSG00000103811	CTSH	0.867872576	1.824969783	0.000321683	0.30887421
ENSG00000228432	DHFRP2	-0.493050369	-1.407417512	0.000325589	0.30887421
ENSG00000196664	TLR7	-0.488357955	-1.402847275	0.000327657	0.30887421
ENSG00000164828	SUN1	-0.497574428	-1.411837873	0.000358111	0.321507244
ENSG00000107984	DKK1	0.408672576	1.327463853	0.000391331	0.333907342
ENSG00000101958	GLRA2	-0.58147748	-1.496380925	0.00041087	0.333907342
ENSG00000231389	HLA-DPA1	-0.948127288	-1.929366588	0.000414489	0.333907342
ENSG00000110367	DDX6	0.428525092	1.345856966	0.000415212	0.333907342
ENSG00000170275	CRTAP	0.416465385	1.334653634	0.000417981	0.333907342
ENSG00000241697	TMEFF1	-0.488840697	-1.403316762	0.000431072	0.333907342
ENSG00000270861		-0.498578853	-1.412821157	0.00043391	0.333907342
ENSG00000133315	MACROD1	0.612113367	1.528496625	0.000451888	0.333965382
ENSG00000140678	ITGAX	-0.486139292	-1.400691551	0.000453526	0.333965382
ENSG00000091436	MAP3K20	0.797606167	1.73821455	0.000465004	0.333965382
ENSG00000164794	KCNV1	-0.601512238	-1.517306178	0.00047138	0.333965382
ENSG00000168393	DTYMK	-0.497205534	-1.411476915	0.000496035	0.333965382
ENSG00000106483	SFRP4	-0.434053317	-1.351024013	0.000499665	0.333965382
ENSG00000081985	IL12RB2	-0.471400754	-1.386454963	0.00050394	0.333965382
ENSG00000117697	NSL1	0.411379298	1.32995672	0.000507624	0.333965382
ENSG00000114013	CD86	-0.602134642	-1.517960912	0.000513698	0.333965382
ENSG00000153551	CMTM7	-0.709933684	-1.635728926	0.00054621	0.348302648
ENSG00000127084	FGD3	-0.557944145	-1.472169865	0.000554225	0.348302648
ENSG00000243414	TICAM2	0.451351516	1.367320563	0.000577467	0.356959515
ENSG00000187122	SLIT1	-0.474289533	-1.389233912	0.000616989	0.3752387
ENSG00000177302	TOP3A	0.447356823	1.363539811	0.000665665	0.394727535
ENSG00000168066	SF1	-0.586509037	-1.501608828	0.00066997	0.394727535
ENSG00000139874	SSTR1	-0.610387626	-1.526669343	0.000735953	0.403936907
ENSG00000118960	HS1BP3	-0.445219937	-1.361521663	0.000740875	0.403936907
ENSG00000100226	GTPBP1	0.485021555	1.399606776	0.000767768	0.403936907
ENSG00000188155	KRTAP10-6	0.38110752	1.302341246	0.000768937	0.403936907
ENSG00000072858	SIDT1	-0.518301655	-1.432268184	0.000780617	0.403936907
ENSG00000270074		-0.327692582	-1.255004539	0.00079543	0.403936907
ENSG00000006704	GTF2IRD1	0.353085039	1.277289046	0.000810251	0.403936907
ENSG00000196935	SRGAP1	0.617123025	1.533813449	0.00082017	0.403936907
ENSG00000235118	FAM237A	-0.416042689	-1.33426265	0.000824864	0.403936907
ENSG00000151702	FLI1	-0.447242514	-1.363431778	0.000859433	0.406430604
ENSG00000171860	C3AR1	-0.449946215	-1.365989331	0.000865459	0.406430604
ENSG00000208005	MIR503	-0.459333036	-1.374906046	0.000872945	0.406430604
ENSG00000167785	ZNF558	0.46857217	1.383739309	0.000873071	0.406430604
ENSG00000105982	RNF32	-0.449020953	-1.365113544	0.000925034	0.414910612
ENSG00000160211	G6PD	0.7251355	1.653055887	0.00092652	0.414910612
ENSG00000187091	PLCD1	0.647279029	1.566211482	0.000995442	0.414910612
ENSG00000078237	TIGAR	-0.568762468	-1.483250705	0.000995533	0.414910612
ENSG00000169313	P2RY12	-1.104834024	-2.150741333	0.001010587	0.414910612
ENSG00000124535	WRNIP1	-0.736414294	-1.666029901	0.00101513	0.414910612
ENSG00000173905	GOLIM4	0.558112565	1.472341736	0.001022011	0.414910612
ENSG00000132470	ITGB4	0.95620688	1.940202022	0.001044202	0.414910612
ENSG00000265354	TIMM23	-0.620912239	-1.537847279	0.001052049	0.414910612
ENSG00000030582	GRN	-0.378653893	-1.300128204	0.001059133	0.414910612
ENSG00000106683	LIMK1	0.829643857	1.777246578	0.001067105	0.414910612
ENSG00000143603	KCNN3	1.243324413	2.36743434	0.001071127	0.414910612
ENSG00000175470	PPP2R2D	-0.847379827	-1.799230256	0.001121784	0.414910612
ENSG00000279675		0.568981288	1.483475693	0.001124001	0.414910612
ENSG00000204648	SSX9	0.3603024	1.283694942	0.001127018	0.414910612
ENSG00000196646	ZNF136	0.581764453	1.496678606	0.001137476	0.414910612
ENSG00000099840	IZUMO4	0.374646551	1.296521878	0.001146348	0.414910612
ENSG00000140968	IRF8	-0.514783016	-1.428779233	0.001147463	0.414910612
ENSG00000276085	CCL3L3	-0.822797035	-1.768832006	0.00116254	0.414910612
ENSG00000103490	PYCARD	-0.551615729	-1.4657263	0.001169097	0.414910612
ENSG00000279382		-0.351038399	-1.27547834	0.001188476	0.414910612
ENSG00000162511	LAPTM5	-0.757768257	-1.690872945	0.001198713	0.414910612
ENSG00000116774	OLFML3	-0.527703697	-1.441632757	0.001216507	0.414910612
