Ensembl_ID	HGNC_symbol	logFC	Fold.Change	P.Value	adj.P.Val
ENSG00000168329	CX3CR1	-2.063534019	-4.180090042	7.22E-07	0.027235844
ENSG00000141750	STAC2	1.263978101	2.4015704	1.60E-06	0.029591034
ENSG00000165025	SYK	-0.843039155	-1.793825004	2.35E-06	0.029591034
ENSG00000112799	LY86	-0.845750398	-1.797199291	3.78E-06	0.03560573
ENSG00000197943	PLCG2	-0.796665831	-1.737081967	4.83E-06	0.036391452
ENSG00000242574	HLA-DMB	-1.23663688	-2.356485624	1.18E-05	0.073983896
ENSG00000097021	ACOT7	-1.026298692	-2.036792049	1.87E-05	0.100881785
ENSG00000132854	KANK4	1.379038069	2.600948925	2.70E-05	0.114678593
ENSG00000181631	P2RY13	-1.047907385	-2.067528742	2.74E-05	0.114678593
ENSG00000198223	CSF2RA	-0.769298118	-1.704440359	3.27E-05	0.115029936
ENSG00000011600	TYROBP	-1.57272428	-2.97465897	3.36E-05	0.115029936
ENSG00000169313	P2RY12	-1.544285102	-2.916595072	4.64E-05	0.136426157
ENSG00000123496	IL13RA2	-0.545254722	-1.459277971	4.70E-05	0.136426157
ENSG00000184709	LRRC26	0.622811696	1.539873347	5.65E-05	0.143464205
ENSG00000059377	TBXAS1	-0.805539105	-1.747798786	5.71E-05	0.143464205
ENSG00000121005	CRISPLD1	0.510905153	1.424943932	6.89E-05	0.161300693
ENSG00000204472	AIF1	-1.219149542	-2.328094375	8.03E-05	0.168145729
ENSG00000168096	ANKS3	0.642136693	1.560638821	9.10E-05	0.171911559
ENSG00000082074	FYB1	-0.552619061	-1.466746003	0.000112313	0.171911559
ENSG00000196664	TLR7	-0.546843556	-1.460885953	0.000113856	0.171911559
ENSG00000169129	AFAP1L2	-0.649828606	-1.568981787	0.000119277	0.171911559
ENSG00000178175	ZNF366	-0.501303545	-1.41549195	0.00012197	0.171911559
ENSG00000174123	TLR10	-0.519491807	-1.433450222	0.000122761	0.171911559
ENSG00000153113	CAST	0.568230044	1.482703414	0.00012979	0.171911559
ENSG00000139874	SSTR1	-0.739737608	-1.669872101	0.00013047	0.171911559
ENSG00000205609	EIF3CL	-0.608981939	-1.525182559	0.000132317	0.171911559
ENSG00000054277	OPN3	-0.747291486	-1.678638397	0.000134575	0.171911559
ENSG00000104059	FAM189A1	0.723819135	1.651548269	0.000140079	0.171911559
ENSG00000162511	LAPTM5	-0.966720583	-1.954392974	0.000141333	0.171911559
ENSG00000134283	PPHLN1	-0.72743455	-1.655692263	0.0001498	0.176515469
ENSG00000163359	COL6A3	0.381994042	1.303141768	0.000176677	0.191286663
ENSG00000101958	GLRA2	-0.637521772	-1.555654596	0.000177554	0.191286663
ENSG00000225308	ASS1P11	-0.570142554	-1.484670265	0.000198778	0.194519773
