GeneID	logFC	logCPM	F	PValue	FDR	hgnc_symbol
ENSG00000000003	-0.308913543	1.696332527	1.469101397	0.235321351	0.506264736	TSPAN6
ENSG00000000005	1.847916347	-1.569125708	6.106682451	0.019618273	0.156935878	TNMD
ENSG00000000419	-0.077755826	3.717973796	0.118192961	0.733495876	0.878224325	DPM1
ENSG00000000457	0.365919053	2.235874183	2.271491338	0.142646431	0.393910428	SCYL3
ENSG00000000460	0.141913533	0.551473226	0.220886335	0.641898908	0.826128737	C1orf112
ENSG00000000938	-0.198861168	1.404566421	0.296469771	0.590288425	0.794764704	FGR
ENSG00000000971	-0.740636563	2.930664828	4.529447537	0.041985108	0.222638167	CFH
ENSG00000001036	-0.318342667	3.767235047	5.047970715	0.032478206	0.19686947	FUCA2
ENSG00000001084	-0.331635968	3.438293383	3.58399785	0.068409265	0.276029352	GCLC
ENSG00000001167	-0.142216719	2.383308319	0.445997635	0.509549622	0.74354922	NFYA
ENSG00000001460	0.611112093	1.196694851	6.674740786	0.015116176	0.140322716	STPG1
ENSG00000001461	-0.165745134	3.589663507	0.76032565	0.390426075	0.653718861	NIPAL3
ENSG00000001497	0.144047868	3.113846748	0.469159128	0.498841087	0.736070102	LAS1L
ENSG00000001561	-1.124021635	3.101823805	14.51733226	0.000672422	0.050858968	ENPP4
ENSG00000001617	-0.567493416	2.950507348	3.82937528	0.06010216	0.260821719	SEMA3F
ENSG00000001626	-0.686227591	-1.330202765	1.569704153	0.22031062	0.492164886	CFTR
ENSG00000001629	-0.111565023	3.85279779	0.60829395	0.441783136	0.696850038	ANKIB1
ENSG00000001630	-0.428843283	2.065038233	2.310279598	0.139406215	0.389595925	CYP51A1
ENSG00000001631	-0.062228812	3.293974366	0.168012801	0.684911929	0.851716024	KRIT1
ENSG00000002016	0.878923375	3.071987491	12.0048631	0.001680036	0.063790984	RAD52
ENSG00000002330	0.349897264	3.399348511	3.750696131	0.062635414	0.265223086	BAD
ENSG00000002586	0.322981854	6.118666899	0.774740003	0.386028519	0.650827042	CD99
ENSG00000002587	-0.30181115	-0.070493527	0.517503717	0.477695991	0.721224417	HS3ST1
ENSG00000002726	1.265977132	-1.27507882	3.989865505	0.055283196	0.252174149	AOC1
ENSG00000002746	0.287936365	-1.616743702	0.266888932	0.609364288	0.806080752	HECW1
ENSG00000002822	0.8087679	2.059699723	9.608245693	0.004296073	0.08648531	MAD1L1
ENSG00000002834	-0.085963793	3.776090626	0.243868072	0.625165284	0.81615405	LASP1
ENSG00000002919	0.250410475	2.776043063	1.205923738	0.28122205	0.553007602	SNX11
ENSG00000002933	0.137513722	3.884859367	0.227141196	0.637241929	0.824141896	TMEM176A
ENSG00000003056	-0.515351514	3.525173422	10.8674645	0.002600424	0.072207831	M6PR
