diseaseid	disease_name	geneid	symbol	uniprot	protein_class	gene_name	dsi	dpi	pli	score	el	ei	npmids	nsnps	year_initial	year_final
C0021368	Inflammation	3576	CXCL8	P10145	signaling molecule	C-X-C motif chemokine ligand 8	0.342	0.862		0.4	no reported evidence		13	0	2003	2015
C0021368	Inflammation	1401	CRP	P02741		C-reactive protein	0.399	0.862	0.0037357	0.4	no reported evidence		18	0	2001	2011
C0021368	Inflammation	7124	TNF	P01375	signaling molecule	tumor necrosis factor	0.263	0.966	0.8046	0.4	no reported evidence		26	0	2001	2014
C0021368	Inflammation	7040	TGFB1	P01137	signaling molecule	transforming growth factor beta 1	0.336	0.931	0.17182	0.38	no reported evidence		10	0	2002	2010
C0021368	Inflammation	3569	IL6	P05231		interleukin 6	0.287	0.966	0.33873	0.37	no reported evidence		18	0	2001	2016
C0021368	Inflammation	3553	IL1B	P01584		interleukin 1 beta	0.312	0.931	0.12568	0.37	no reported evidence		16	0	1999	2017
C0021368	Inflammation	3952	LEP	P41159		leptin	0.4	0.793	0.38947	0.37	no reported evidence		9	0	2003	2017
C0021368	Inflammation	5743	PTGS2	P35354	oxidoreductase	prostaglandin-endoperoxide synthase 2	0.338	0.897	0.99639	0.37	no reported evidence		10	0	2001	2009
C0021368	Inflammation	9370	ADIPOQ	Q15848		adiponectin, C1Q and collagen domain containing	0.485	0.724	5.01E-09	0.36	no reported evidence		7	0	2004	2008
C0021368	Inflammation	3458	IFNG	P01579		interferon gamma	0.323	0.897	0.47138	0.36	no reported evidence		9	0	2003	2013
C0021368	Inflammation	7097	TLR2	O60603		toll like receptor 2	0.407	0.897	5.60E-07	0.36	no reported evidence		7	0	2005	2012
C0021368	Inflammation	4282	MIF	P14174		macrophage migration inhibitory factor	0.457	0.862	0.011685	0.36	no reported evidence		7	0	2003	2011
C0021368	Inflammation	7099	TLR4	O00206		toll like receptor 4	0.359	0.931	5.58E-09	0.35	no reported evidence		9	0	2005	2012
C0021368	Inflammation	3162	HMOX1	P09601	oxidoreductase	heme oxygenase 1	0.403	0.862	0.0078856	0.35	no reported evidence		7	0	2003	2013
C0021368	Inflammation	3383	ICAM1	P05362		intercellular adhesion molecule 1	0.386	0.897	0.038102	0.35	no reported evidence		7	0	2002	2014
C0021368	Inflammation	3586	IL10	P22301		interleukin 10	0.32	0.931	0.0065063	0.35	no reported evidence		6	0	2001	2008
C0021368	Inflammation	3605	IL17A	Q16552		interleukin 17A	0.391	0.862	0.044037	0.35	no reported evidence		6	0	2003	2012
C0021368	Inflammation	4318	MMP9	P14780	"hydrolase; protease"	matrix metallopeptidase 9	0.339	0.862	7.03E-18	0.34	no reported evidence		6	0	2003	2015
C0021368	Inflammation	2150	F2RL1	P55085		F2R like trypsin receptor 1	0.514	0.724	0.00079765	0.34	no reported evidence		6	0	2003	2015
C0021368	Inflammation	6347	CCL2	P13500	signaling molecule	C-C motif chemokine ligand 2	0.353	0.897	0.61778	0.34	no reported evidence		7	0	2003	2011
C0021368	Inflammation	3146	HMGB1	P09429	"nucleic acid binding; signaling molecule; transcription factor"	high mobility group box 1	0.433	0.828	0.83018	0.34	no reported evidence		9	0	2002	2013
C0021368	Inflammation	627	BDNF	P23560	signaling molecule	brain derived neurotrophic factor	0.382	0.828	0.69969	0.33	no reported evidence		4	0	2003	2011
C0021368	Inflammation	7422	VEGFA	P15692	signaling molecule	vascular endothelial growth factor A	0.298	0.897	2.65E-05	0.33	no reported evidence		4	0	2004	2009
C0021368	Inflammation	4353	MPO	P05164	oxidoreductase	myeloperoxidase	0.435	0.931	6.82E-15	0.33	no reported evidence		8	0	1999	2014
C0021368	Inflammation	6647	SOD1	P00441	oxidoreductase	superoxide dismutase 1	0.406	0.931	0.12829	0.33	no reported evidence		4	0	2005	2013
C0021368	Inflammation	7442	TRPV1	Q8NER1	transporter	transient receptor potential cation channel subfamily V member 1	0.532	0.724	8.23E-17	0.32	no reported evidence		4	0	2007	2011
C0021368	Inflammation	3557	IL1RN	P18510		interleukin 1 receptor antagonist	0.398	0.897	0.033509	0.32	no reported evidence		3	0	2004	2015
C0021368	Inflammation	5468	PPARG	P37231	"nucleic acid binding; receptor; transcription factor"	peroxisome proliferator activated receptor gamma	0.388	0.828	0.1447	0.32	no reported evidence		4	0	2006	2011
C0021368	Inflammation	142	PARP1	P09874		poly(ADP-ribose) polymerase 1	0.432	0.862	0.00055174	0.32	no reported evidence		3	0	2004	2008
C0021368	Inflammation	7356	SCGB1A1	P11684	signaling molecule	secretoglobin family 1A member 1	0.592	0.552	0.00055424	0.31	no reported evidence		2	0	2005	2005
C0021368	Inflammation	4803	NGF	P01138	signaling molecule	nerve growth factor	0.426	0.862	0.76021	0.31	no reported evidence		2	0	2000	2003
C0021368	Inflammation	3596	IL13	P35225		interleukin 13	0.421	0.828	0.013298	0.31	no reported evidence		2	0	2007	2013
C0021368	Inflammation	4843	NOS2	P35228		nitric oxide synthase 2	0.385	0.931	1.46E-14	0.31	no reported evidence		3	0	2001	2014
C0021368	Inflammation	2247	FGF2	P09038	signaling molecule	fibroblast growth factor 2	0.404	0.897	0.019149	0.31	no reported evidence		2	0	2002	2011
C0021368	Inflammation	5329	PLAUR	Q03405		plasminogen activator, urokinase receptor	0.561	0.586	0.0061419	0.31	no reported evidence		2	0	2002	2012
C0021368	Inflammation	10544	PROCR	Q9UNN8	"enzyme modulator; receptor"	protein C receptor	0.598	0.552	0.0056892	0.31	no reported evidence		2	0	2005	2014
C0021368	Inflammation	2149	F2R	P25116		coagulation factor II thrombin receptor	0.478	0.759	0.0057701	0.31	no reported evidence		2	0	2007	2010
C0021368	Inflammation	3620	IDO1	P14902		indoleamine 2,3-dioxygenase 1	0.532	0.862	1.94E-06	0.31	no reported evidence		2	0	2006	2007
C0021368	Inflammation	1241	LTB4R	Q15722	receptor	leukotriene B4 receptor	0.624	0.552	0.11611	0.31	no reported evidence		2	0	2000	2005
C0021368	Inflammation	1437	CSF2	P04141	signaling molecule	colony stimulating factor 2	0.356	0.966	0.84256	0.31	no reported evidence		2	0	2007	2013
C0021368	Inflammation	85480	TSLP	Q969D9		thymic stromal lymphopoietin	0.547	0.69	0.0039143	0.31	no reported evidence		2	0	2007	2018
C0021368	Inflammation	7076	TIMP1	P01033	enzyme modulator	TIMP metallopeptidase inhibitor 1	0.418	0.759	0.48258	0.31	no reported evidence		2	0	2004	2007
C0021368	Inflammation	4982	TNFRSF11B	O00300		TNF receptor superfamily member 11b	0.467	0.69	0.21052	0.31	no reported evidence		2	0	2005	2013
C0021368	Inflammation	5465	PPARA	Q07869	"nucleic acid binding; receptor; transcription factor"	peroxisome proliferator activated receptor alpha	0.465	0.793	0.037307	0.31	no reported evidence		2	0	2005	2012
C0021368	Inflammation	54106	TLR9	Q9NR96		toll like receptor 9	0.453	0.862	1.19E-05	0.31	no reported evidence		2	0	2007	2010
C0021368	Inflammation	3934	LCN2	P80188	"isomerase; transfer/carrier protein"	lipocalin 2	0.469	0.793	1.44E-09	0.31	no reported evidence		2	0	2005	2010
C0021368	Inflammation	7349	UCN	P55089	signaling molecule	urocortin	0.557	0.655	0.45184	0.31	no reported evidence		2	0	1999	2003
