hgnc_symbol	entrezgene	dis_score	GC_score
IL22	50616	0.01	10.08
CCR7	1236	0.01	10.12
CAT	847	0.01	10.21
SOD1	6647	0.33	10.35
PLAT	5327	0.01	10.36
AQP4	361	0.01	10.38
TNFAIP6	7130	0.02	10.39
AKT1	207	0.3	10.42
TNFSF13B	10673	0.02	10.42
CDH1	999	0.01	10.53
POMC	5443	0.02	10.55
FGF2	2247	0.31	10.65
C4B	721	0.01	10.75
NPPB	4879	0.3	10.76
GATA3	2625	0.3	10.88
EDN1	1906	0.3	11.06
CTNNB1	1499	0.01	11.18
PON1	5444	0.01	11.18
PTX3	5806	0.01	11.23
C5	727	0.03	11.25
CSF1	1435	0.01	11.28
CCL20	6364	0.06	11.45
CXCL12	6387	0.01	11.49
CCL4	6351	0.3	11.54
SPP1	6696	0.03	11.66
SFTPD	6441	0.01	11.66
BPI	671	0.01	11.71
FCGR3A	2214	0.01	11.76
JAK2	3717	0.3	11.8
PTGDR2	11251	0.01	11.8
VIP	7432	0.01	11.84
IL15	3600	0.02	11.85
CALCA	796	0.3	11.91
NGF	4803	0.31	11.94
LCN2	3934	0.31	11.97
HSPD1	3329	0.01	11.98
IL33	90865	0.03	12.02
AGER	177	0.31	12.06
APOA1	335	0.31	12.09
NOD1	10392	0.03	12.11
MAPK14	1432	0.02	12.2
IL23A	51561	0.04	12.22
TBX21	30009	0.3	12.35
ABCB4	5244	0.3	12.44
MYD88	4615	0.3	12.76
PPARA	5465	0.31	12.84
S100A12	6283	0.01	12.98
HMOX1	3162	0.35	13
SCGB1A1	7356	0.31	13.03
LTF	4057	0.31	13.03
TP53	7157	0.02	13.14
TAC1	6863	0.31	13.2
TF	7018	0.3	13.21
ADA	100	0.01	13.25
F2RL1	2150	0.34	13.39
TNFRSF13C	115650	0.01	13.39
NR3C1	2908	0.01	13.39
SERPINE1	5054	0.03	13.4
RELA	5970	0.03	13.65
TRPV1	7442	0.32	13.68
IRF1	3659	0.01	13.89
TNFRSF11B	4982	0.31	13.92
MBL2	4153	0.02	13.95
TREX1	11277	0.3	14.23
IL4R	3566	0.01	14.32
TIMP1	7076	0.31	14.41
CTSG	1511	0.01	14.47
CD40	958	0.03	14.76
RETN	56729	0.03	14.76
DEFB4A	1673	0.02	14.82
ANXA1	301	0.02	14.83
MMP2	4313	0.31	15
SELP	6403	0.02	15.03
CXCL2	2920	0.3	15.1
THBD	7056	0.01	15.67
ADA2	51816	0.01	15.79
CSF2	1437	0.31	15.97
MMP3	4314	0.03	16.01
TNFAIP3	7128	0.3	16.07
VEGFA	7422	0.33	16.15
CASP1	834	0.3	16.37
VWF	7450	0.02	16.39
CHI3L1	1116	0.01	16.59
LEP	3952	0.37	16.79
TNFSF15	9966	0.31	17.09
KNG1	3827	0.02	17.21
TSLP	85480	0.31	17.31
MUC1	4582	0.01	17.34
C3	718	0.01	17.37
CXCL1	2919	0.02	17.46
CXCR3	2833	0.31	17.47
CCL3	6348	0.3	17.81
ADIPOQ	9370	0.36	17.84
PPARG	5468	0.32	18.07
CXCL10	3627	0.03	18.28
F2	2147	0.01	18.64
S100A9	6280	0.02	18.66
IL12B	3593	0.01	19.26
TLR9	54106	0.31	19.36
SAA1	6288	0.02	19.94
FCGR2A	2212	0.01	20.05
NOS2	4843	0.31	20.62
TLR3	7098	0.01	20.85
IL12A	3592	0.01	21.05
MIF	4282	0.36	21.24
IL1A	3552	0.3	21.39
C4A	720	0.01	21.65
TLR2	7097	0.36	21.71
FASLG	356	0.01	22.01
HMGB1	3146	0.34	22.08
CFTR	1080	0.02	22.39
FOXP3	50943	0.02	23.1
ABCB1	5243	0.01	23.47
IL18	3606	0.04	23.53
STAT3	6774	0.3	24.22
CCL5	6352	0.02	24.29
MMP1	4312	0.01	24.91
SERPINA1	5265	0.01	25.3
VCAM1	7412	0.01	25.37
MMP9	4318	0.34	25.38
SELE	6401	0.01	26.01
FAS	355	0.01	27.26
PTGS2	5743	0.37	27.55
NFKB1	4790	0.04	27.82
IL17A	3605	0.35	27.92
ICAM1	3383	0.35	28.54
CD40LG	959	0.02	28.6
TGFB1	7040	0.38	28.66
MPO	4353	0.33	29.01
TNFRSF1A	7132	0.02	32.17
CCL2	6347	0.34	32.79
IFNG	3458	0.36	32.83
CCL11	6356	0.3	33.54
PRTN3	5657	0.04	33.8
IL13	3596	0.31	36.23
ELANE	1991	0.04	38.16
IL1RN	3557	0.32	39.44
MEFV	4210	0.01	39.89
IL1B	3553	0.37	40.29
NLRP3	114548	0.31	43.83
CXCL8	3576	0.4	43.88
NOD2	64127	0.03	44.97
TLR4	7099	0.35	45.72
CRP	1401	0.4	50.27
IL10	3586	0.35	64.81
IL6	3569	0.37	79.59
TNF	7124	0.4	79.95
