entrezgene	hgnc_symbol	dis_score	GC_score
7124	TNF	0.4	79.95
1401	CRP	0.4	50.27
3576	CXCL8	0.4	43.88
7040	TGFB1	0.38	28.66
3569	IL6	0.37	79.59
3553	IL1B	0.37	40.29
5743	PTGS2	0.37	27.55
3952	LEP	0.37	16.79
3458	IFNG	0.36	32.83
7097	TLR2	0.36	21.71
4282	MIF	0.36	21.24
9370	ADIPOQ	0.36	17.84
3586	IL10	0.35	64.81
7099	TLR4	0.35	45.72
3383	ICAM1	0.35	28.54
3605	IL17A	0.35	27.92
3162	HMOX1	0.35	13
6347	CCL2	0.34	32.79
4318	MMP9	0.34	25.38
3146	HMGB1	0.34	22.08
2150	F2RL1	0.34	13.39
4353	MPO	0.33	29.01
7422	VEGFA	0.33	16.15
6647	SOD1	0.33	10.35
627	BDNF	0.33	8.69
3557	IL1RN	0.32	39.44
5468	PPARG	0.32	18.07
7442	TRPV1	0.32	13.68
142	PARP1	0.32	7
114548	NLRP3	0.31	43.83
3596	IL13	0.31	36.23
4843	NOS2	0.31	20.62
54106	TLR9	0.31	19.36
2833	CXCR3	0.31	17.47
85480	TSLP	0.31	17.31
9966	TNFSF15	0.31	17.09
1437	CSF2	0.31	15.97
4313	MMP2	0.31	15
7076	TIMP1	0.31	14.41
4982	TNFRSF11B	0.31	13.92
6863	TAC1	0.31	13.2
7356	SCGB1A1	0.31	13.03
4057	LTF	0.31	13.03
5465	PPARA	0.31	12.84
335	APOA1	0.31	12.09
177	AGER	0.31	12.06
3934	LCN2	0.31	11.97
4803	NGF	0.31	11.94
2247	FGF2	0.31	10.65
7349	UCN	0.31	8.74
1241	LTB4R	0.31	8.41
3620	IDO1	0.31	8.22
2149	F2R	0.31	7.86
623	BDKRB1	0.31	7.58
5329	PLAUR	0.31	6.8
9536	PTGES	0.31	5.39
10544	PROCR	0.31	5.12
196	AHR	0.31	4.44
624	BDKRB2	0.31	3.99
7161	TP73	0.3	NA
2588	GALNS	0.3	NA
8942	KYNU	0.3	NA
9373	PLAA	0.3	NA
9948	WDR1	0.3	NA
407004	MIR22	0.3	NA
540	ATP7B	0.3	NA
1947	EFNB1	0.3	NA
406999	MIR217	0.3	NA
7039	TGFA	0.3	NA
6356	CCL11	0.3	33.54
6774	STAT3	0.3	24.22
3552	IL1A	0.3	21.39
6348	CCL3	0.3	17.81
834	CASP1	0.3	16.37
7128	TNFAIP3	0.3	16.07
2920	CXCL2	0.3	15.1
11277	TREX1	0.3	14.23
7018	TF	0.3	13.21
4615	MYD88	0.3	12.76
5244	ABCB4	0.3	12.44
30009	TBX21	0.3	12.35
796	CALCA	0.3	11.91
3717	JAK2	0.3	11.8
6351	CCL4	0.3	11.54
1906	EDN1	0.3	11.06
2625	GATA3	0.3	10.88
4879	NPPB	0.3	10.76
207	AKT1	0.3	10.42
7037	TFRC	0.3	9.67
407040	MIR34A	0.3	9.36
885	CCK	0.3	8.82
9971	NR1H4	0.3	8.14
10747	MASP2	0.3	7.94
6584	SLC22A5	0.3	7.93
183	AGT	0.3	7.7
284	ANGPT1	0.3	7.45
6097	RORC	0.3	7.42
2056	EPO	0.3	7.36
282617	IFNL3	0.3	7.11
1280	COL2A1	0.3	6.41
5020	OXT	0.3	6.36
1958	EGR1	0.3	5.65
51083	GAL	0.3	5.45
8989	TRPA1	0.3	5.09
1395	CRHR2	0.3	4.77
3665	IRF7	0.3	4.62
7249	TSC2	0.3	4.52
10019	SH2B3	0.3	4.47
5734	PTGER4	0.3	4.24
55829	SELENOS	0.3	3.72
