hgnc_symbol	entrezgene	dis_score	GC_score	Type
IL22	50616	0.01	10.08	InflGene
CCR7	1236	0.01	10.12	InflGene
CAT	847	0.01	10.21	InflGene
SOD1	6647	0.33	10.35	InflGene
PLAT	5327	0.01	10.36	InflGene
AQP4	361	0.01	10.38	InflGene
TNFAIP6	7130	0.02	10.39	InflGene
AKT1	207	0.3	10.42	InflGene
TNFSF13B	10673	0.02	10.42	InflGene
CDH1	999	0.01	10.53	InflGene
POMC	5443	0.02	10.55	InflGene
FGF2	2247	0.31	10.65	InflGene
C4B	721	0.01	10.75	InflGene
NPPB	4879	0.3	10.76	InflGene
GATA3	2625	0.3	10.88	InflGene
EDN1	1906	0.3	11.06	InflGene
CTNNB1	1499	0.01	11.18	InflGene
PON1	5444	0.01	11.18	InflGene
PTX3	5806	0.01	11.23	InflGene
C5	727	0.03	11.25	InflGene
CSF1	1435	0.01	11.28	InflGene
CCL20	6364	0.06	11.45	InflGene
CXCL12	6387	0.01	11.49	InflGene
CCL4	6351	0.3	11.54	InflGene
SPP1	6696	0.03	11.66	InflGene
SFTPD	6441	0.01	11.66	InflGene
BPI	671	0.01	11.71	InflGene
FCGR3A	2214	0.01	11.76	InflGene
JAK2	3717	0.3	11.8	InflGene
PTGDR2	11251	0.01	11.8	InflGene
VIP	7432	0.01	11.84	InflGene
IL15	3600	0.02	11.85	InflGene
CALCA	796	0.3	11.91	InflGene
NGF	4803	0.31	11.94	InflGene
LCN2	3934	0.31	11.97	InflGene
HSPD1	3329	0.01	11.98	InflGene
IL33	90865	0.03	12.02	InflGene
AGER	177	0.31	12.06	InflGene
APOA1	335	0.31	12.09	InflGene
NOD1	10392	0.03	12.11	InflGene
MAPK14	1432	0.02	12.2	InflGene
IL23A	51561	0.04	12.22	InflGene
TBX21	30009	0.3	12.35	InflGene
ABCB4	5244	0.3	12.44	InflGene
MYD88	4615	0.3	12.76	InflGene
PPARA	5465	0.31	12.84	InflGene
S100A12	6283	0.01	12.98	InflGene
HMOX1	3162	0.35	13	InflGene
SCGB1A1	7356	0.31	13.03	InflGene
LTF	4057	0.31	13.03	InflGene
TP53	7157	0.02	13.14	InflGene
TAC1	6863	0.31	13.2	InflGene
TF	7018	0.3	13.21	InflGene
ADA	100	0.01	13.25	InflGene
F2RL1	2150	0.34	13.39	InflGene
TNFRSF13C	115650	0.01	13.39	InflGene
NR3C1	2908	0.01	13.39	InflGene
SERPINE1	5054	0.03	13.4	InflGene
