source	target
NFkB	TRIP6
NFkB	CASP8
NFkB	CHUK
NFkB	TAB3
NFkB	CXCL1
NFkB	RIPK2
NFkB	TNF
NFkB	BIRC3
NFkB	CCL2
NFkB	XIAP
NFkB	CCL5
NFkB	NOD1
NFkB	CARD6
NFkB	CCL13
NFkB	CCL11
NFkB	CCL8
NFkB	CARD8
NFkB	CCL7
NFkB	MEFV
NFkB	CXCL8
NFkB	MAPK9
NFkB	MAPK10
NFkB	MAPK11
NFkB	ERBIN
NFkB	MAPK13
NFkB	CASP5
NFkB	IKBKB
NFkB	NOD2
NFkB	MAP3K7
NFkB	CASP1
NFkB	CARD18
NFkB	TNFAIP3
NFkB	SUGT1
NFkB	MAPK3
NFkB	PSTPIP1
NFkB	NFKB1
NFkB	NFKBIB
NFkB	NFKBIA
NFkB	MAPK1
NFkB	IKBKG
NFkB	CARD9
NFkB	MAPK8
NFkB	MAPK14
NFkB	MAPK12
NFkB	IL18
NFkB	RELA
NFkB	PYDC1
NFkB	TRAF6
NFkB	HSP90AA1
NFkB	PYCARD
NFkB	TAB2
NFkB	NLRC4
NFkB	IL1B
NFkB	HSP90B1
NFkB	NLRP3
NFkB	NLRP1
NFkB	NAIP
NFkB	BIRC2
NFkB	CXCL2
NFkB	HSP90AB1
NFkB	TAB1
NFkB	IL6
NFkB	RIPK3
NFkB	TICAM1
NFkB	AGER
NFkB	HMGB1
NFkB	APP
NFkB	NFKB2
NFkB	S100A12
NFkB	S100B
NFkB	SAA1
NFkB	TLR3
NFkB	ZBP1
NFkB	RIPK1
NFkB	IRAK1
NFkB	IRAK2
Vitamin_B12	SHMT2
Vitamin_B12	PLG
Vitamin_B12	MMAB
Vitamin_B12	CCL5
Vitamin_B12	TNF
Vitamin_B12	F7
Vitamin_B12	HBB
Vitamin_B12	HBA1
Vitamin_B12	F2
Vitamin_B12	CBS
Vitamin_B12	IL1B
Vitamin_B12	INS
Vitamin_B12	CCL2
Vitamin_B12	MTHFR
Vitamin_B12	TCN2
Vitamin_B12	TCN1
Vitamin_B12	MIR6886
Vitamin_B12	SERPINA3
Vitamin_B12	MAT1A
Vitamin_B12	SAA2
Vitamin_B12	CUBN
Vitamin_B12	SAA1
Vitamin_B12	ABCA1
Vitamin_B12	IL6
Vitamin_B12	INSR
Vitamin_B12	NFKB1
Vitamin_B12	NFKB2
Vitamin_B12	MUT
Vitamin_B12	MPO
Vitamin_B12	MTRR
Vitamin_B12	LRP2
Vitamin_B12	GIF
Vitamin_B12	SAA3P
Vitamin_B12	ICAM1
Vitamin_B12	SAA4
Vitamin_B12	IFNG
Vitamin_B12	ALB
Vitamin_B12	APOA1
Vitamin_B12	APOB
Vitamin_B12	SOD1
Vitamin_B12	SOD3
Vitamin_B12	MTR
Vitamin_B12	SOD2
Vitamin_B12	SERPINE1
Vitamin_B12	RELA
Vitamin_B12	CTH
Vitamin_B12	LDLR
Vitamin_B12	CRP
Vitamin_B12	APOE
Vitamin_B12	MCEE
Vitamin_B12	PLAT
Vitamin_B12	SCARB1
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	TOX
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	TNF
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	GFI1
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	AHR
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	RORA
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	GATA3
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	AREG
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	HNF1A
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL25
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IFNG
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL9
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL23A
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL1B
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	TBX21
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL22
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	TSLP
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	EOMES
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	NFIL3
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	ID2
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL7
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL13
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL12B
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL12A
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL6
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	BCL11B
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL15
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL5
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL4
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL33
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	ZBTB16
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL18
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	IL17A
Vitamin_B12	SELENBP1
Vitamin_B12	PLA2G7
Vitamin_B12	NLRP3
Vitamin_B12	FCER1A
Vitamin_B12	F2R
Vitamin_B12	IL1R1
Vitamin_B12	CCR3
Vitamin_B12	IRAK1
Vitamin_B12	HBEGF
