Pathway	entrezgene	Type	Type1
NFkB	6285	Gene	Process
NFkB	7098	InflGene	Process
NFkB	4791	Gene	Process
NFkB	4792	Gene	Process
NFkB	4793	Gene	Process
NFkB	5970	InflGene	Process
NFkB	6288	InflGene	Process
NFkB	3551	Gene	Process
NFkB	6283	InflGene	Process
NFkB	148022	Gene	Process
NFkB	351	Gene	Process
NFkB	177	InflGene	Process
NFkB	1147	Gene	Process
NFkB	3146	InflGene	Process
NFkB	81030	Gene	Process
NFkB	8517	Gene	Process
NFkB	8737	Gene	Process
NFkB	11035	Gene	Process
Vitamin B12	4790	InflGene	Process
Vitamin B12	8991	Gene	Process
Vitamin B12	7941	Gene	Process
Vitamin B12	3383	InflGene	Process
Vitamin B12	114548	InflGene	Process
Vitamin B12	2205	Gene	Process
Vitamin B12	2149	Gene	Process
Vitamin B12	3458	InflGene	Process
Vitamin B12	2147	InflGene	Process
Vitamin B12	3554	Gene	Process
Vitamin B12	3553	InflGene	Process
Vitamin B12	1232	Gene	Process
Vitamin B12	6347	InflGene	Process
Vitamin B12	3654	Gene	Process
Vitamin B12	1839	Gene	Process
Vitamin B12	7077	Gene	Process
Vitamin B12	7076	InflGene	Process
Vitamin B12	100313781	Gene	Process
Vitamin B12	5290	Gene	Process
Vitamin B12	6280	InflGene	Process
Vitamin B12	7097	InflGene	Process
Vitamin B12	7096	Gene	Process
Vitamin B12	4318	InflGene	Process
Vitamin B12	3606	InflGene	Process
Vitamin B12	4615	InflGene	Process
Cytokines	7043	Gene	Process
Cytokines	4790	InflGene	Process
Cytokines	7189	Gene	Process
Cytokines	4792	Gene	Process
Cytokines	7124	InflGene	Process
Cytokines	4212	Gene	Process
Cytokines	7040	InflGene	Process
Cytokines	7042	Gene	Process
Cytokines	9020	Gene	Process
Cytokines	3439	Gene	Process
Cytokines	3557	InflGene	Process
Cytokines	54472	Gene	Process
Cytokines	3556	Gene	Process
Cytokines	3456	Gene	Process
Cytokines	1432	InflGene	Process
Cytokines	3554	Gene	Process
Cytokines	3553	InflGene	Process
Cytokines	5599	Gene	Process
Cytokines	3654	Gene	Process
Cytokines	3656	Gene	Process
Cytokines	10454	Gene	Process
Cytokines	5970	InflGene	Process
Cytokines	6885	Gene	Process
Cytokines	3552	InflGene	Process
Cytokines	3551	Gene	Process
Cytokines	5608	Gene	Process
Cytokines	3569	InflGene	Process
Cytokines	51295	Gene	Process
Cytokines	1147	Gene	Process
Cytokines	11213	Gene	Process
Cytokines	4615	InflGene	Process
Cytokines	3725	Gene	Process
Cytokines	5606	Gene	Process
Inflammation	929	Gene	Process
Inflammation	7099	InflGene	Process
Inflammation	7189	Gene	Process
Inflammation	5594	Gene	Process
Inflammation	4792	Gene	Process
Inflammation	7124	InflGene	Process
Inflammation	4057	InflGene	Process
Inflammation	3552	InflGene	Process
Inflammation	7097	InflGene	Process
Inflammation	3439	Gene	Process
Inflammation	54210	Gene	Process
Inflammation	177	InflGene	Process
Inflammation	3569	InflGene	Process
Inflammation	3456	Gene	Process
Inflammation	51135	Gene	Process
Inflammation	3576	InflGene	Process
Inflammation	3553	InflGene	Process
Inflammation	3654	Gene	Process
Inflammation	4615	InflGene	Process
Cytokines	5580	Gene	Process
Cytokines	6198	Gene	Process
Cytokines	5781	Gene	Process
Cytokines	6772	Gene	Process
Cytokines	6654	Gene	Process
Cytokines	6774	InflGene	Process
Cytokines	3065	Gene	Process
Cytokines	9021	Gene	Process
Cytokines	572	Gene	Process
Cytokines	3716	Gene	Process
Cytokines	3717	InflGene	Process
Cytokines	2885	Gene	Process
Cytokines	598	Gene	Process
Cytokines	8648	Gene	Process
Cytokines	639	Gene	Process
Cytokines	5879	Gene	Process
Cytokines	51701	Gene	Process
Cytokines	2549	Gene	Process
Cytokines	3659	InflGene	Process
Cytokines	7297	Gene	Process
Cytokines	5295	Gene	Process
Cytokines	7076	InflGene	Process
Cytokines	5296	Gene	Process
Cytokines	5594	Gene	Process
Cytokines	5595	Gene	Process
Cytokines	6464	Gene	Process
Cytokines	7432	InflGene	Process
Cytokines	6885	Gene	Process
Cytokines	3055	Gene	Process
Cytokines	3572	Gene	Process
Cytokines	3570	Gene	Process
Cytokines	2063	Gene	Process
Cytokines	183	Gene	Process
Cytokines	3726	Gene	Process
Cytokines	2932	Gene	Process
Cytokines	3569	InflGene	Process
Cytokines	1401	InflGene	Process
Cytokines	1387	Gene	Process
Cytokines	207	InflGene	Process
Cytokines	6416	Gene	Process
Cytokines	5604	Gene	Process
Cytokines	5605	Gene	Process
Cytokines	7409	Gene	Process
NFkB	7099	InflGene	Process
NFkB	7189	Gene	Process
NFkB	100313781	Gene	Process
NFkB	4790	InflGene	Process
NFkB	7100	Gene	Process
NFkB	7334	Gene	Process
NFkB	92610	Gene	Process
NFkB	7335	Gene	Process
NFkB	3552	InflGene	Process
NFkB	7097	InflGene	Process
NFkB	7096	Gene	Process
NFkB	51284	Gene	Process
NFkB	81793	Gene	Process
NFkB	51311	Gene	Process
NFkB	3654	Gene	Process
NFkB	54106	InflGene	Process
NFkB	10333	Gene	Process
NFkB	4615	InflGene	Process
NFkB	3725	Gene	Process
NFkB	6285	Gene	Process
NFkB	7189	Gene	Process
NFkB	4791	Gene	Process
NFkB	10392	InflGene	Process
NFkB	4792	Gene	Process
NFkB	4793	Gene	Process
NFkB	5970	InflGene	Process
NFkB	6288	InflGene	Process
NFkB	6885	Gene	Process
NFkB	3551	Gene	Process
NFkB	64127	InflGene	Process
NFkB	257397	Gene	Process
NFkB	6283	InflGene	Process
NFkB	23118	Gene	Process
NFkB	351	Gene	Process
NFkB	177	InflGene	Process
NFkB	1147	Gene	Process
NFkB	3146	InflGene	Process
NFkB	8517	Gene	Process
NFkB	3654	Gene	Process
NFkB	8767	Gene	Process
NFkB	3656	Gene	Process
NFkB	10454	Gene	Process
Vitamin B12	6472	Gene	Process
Vitamin B12	5340	Gene	Process
Vitamin B12	326625	Gene	Process
Vitamin B12	6352	InflGene	Process
Vitamin B12	7124	InflGene	Process
Vitamin B12	2155	Gene	Process
Vitamin B12	3043	Gene	Process
Vitamin B12	3039	Gene	Process
Vitamin B12	2147	InflGene	Process
Vitamin B12	875	Gene	Process
Vitamin B12	3553	InflGene	Process
Vitamin B12	3630	Gene	Process
Vitamin B12	6347	InflGene	Process
Vitamin B12	4524	Gene	Process
Vitamin B12	6948	Gene	Process
Vitamin B12	6947	Gene	Process
Vitamin B12	102465534	Gene	Process
Vitamin B12	12	Gene	Process
Vitamin B12	4143	Gene	Process
Vitamin B12	6289	Gene	Process
Vitamin B12	8029	Gene	Process
Vitamin B12	6288	InflGene	Process
Vitamin B12	19	Gene	Process
Vitamin B12	3569	InflGene	Process
Vitamin B12	3643	Gene	Process
Vitamin B12	4790	InflGene	Process
Vitamin B12	4791	Gene	Process
Vitamin B12	4594	Gene	Process
Vitamin B12	4353	InflGene	Process
Vitamin B12	4552	Gene	Process
Vitamin B12	4036	Gene	Process
Vitamin B12	2694	Gene	Process
Vitamin B12	6290	Gene	Process
Vitamin B12	3383	InflGene	Process
Vitamin B12	6291	Gene	Process
Vitamin B12	3458	InflGene	Process
Vitamin B12	213	Gene	Process
Vitamin B12	335	InflGene	Process
Vitamin B12	338	Gene	Process
Vitamin B12	6647	InflGene	Process
Vitamin B12	6649	Gene	Process
Vitamin B12	4548	Gene	Process
Vitamin B12	6648	Gene	Process
Vitamin B12	100129518	Gene	Process
Vitamin B12	5054	InflGene	Process
Vitamin B12	5970	InflGene	Process
Vitamin B12	1491	Gene	Process
Vitamin B12	3949	Gene	Process
Vitamin B12	1401	InflGene	Process
Vitamin B12	348	Gene	Process
Vitamin B12	84693	Gene	Process
Vitamin B12	5327	InflGene	Process
Vitamin B12	949	Gene	Process
Cytokines	7124	InflGene	Process
Cytokines	1440	Gene	Process
Cytokines	3123	Gene	Process
Cytokines	3562	Gene	Process
Cytokines	3122	Gene	Process
Cytokines	7040	InflGene	Process
Cytokines	1437	InflGene	Process
Cytokines	1435	InflGene	Process
Cytokines	3558	Gene	Process
Cytokines	2920	InflGene	Process
Cytokines	3458	InflGene	Process
Cytokines	3456	Gene	Process
Cytokines	3553	InflGene	Process
Cytokines	105369230	Gene	Process
Cytokines	5154	Gene	Process
Cytokines	3552	InflGene	Process
Cytokines	3596	InflGene	Process
Cytokines	3574	Gene	Process
Cytokines	3593	InflGene	Process
Cytokines	3569	InflGene	Process
Cytokines	3600	InflGene	Process
Cytokines	3567	Gene	Process
Cytokines	3589	Gene	Process
Cytokines	3565	Gene	Process
Cytokines	3586	InflGene	Process
Cytokines	920	Gene	Process
Cytokines	2919	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	9760	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	7124	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	2672	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	196	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	6095	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	2625	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	374	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	6927	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	64806	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3458	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3578	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	51561	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3553	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	30009	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	50616	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	85480	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	8320	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	4783	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3398	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3574	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3596	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3593	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3592	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3569	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	64919	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3600	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3567	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3565	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	90865	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	7704	Gene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3606	InflGene	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3605	InflGene	Process
NFkB	4790	InflGene	Process
NFkB	7189	Gene	Process
NFkB	4791	Gene	Process
NFkB	7422	InflGene	Process
NFkB	7124	InflGene	Process
NFkB	3383	InflGene	Process
NFkB	1437	InflGene	Process
NFkB	330	Gene	Process
NFkB	595	Gene	Process
NFkB	3558	Gene	Process
NFkB	2920	InflGene	Process
NFkB	332	Gene	Process
NFkB	597	Gene	Process
NFkB	599	Gene	Process
NFkB	3576	InflGene	Process
NFkB	3553	InflGene	Process
NFkB	959	InflGene	Process
NFkB	7132	InflGene	Process
NFkB	5970	InflGene	Process
NFkB	6401	InflGene	Process
NFkB	5971	Gene	Process
NFkB	112398	Gene	Process
NFkB	7412	InflGene	Process
NFkB	3552	InflGene	Process
NFkB	3551	Gene	Process
NFkB	3569	InflGene	Process
NFkB	1147	Gene	Process
NFkB	4312	InflGene	Process
NFkB	5743	InflGene	Process
NFkB	4313	InflGene	Process
NFkB	329	Gene	Process
NFkB	4314	InflGene	Process
NFkB	5966	Gene	Process
NFkB	8837	Gene	Process
NFkB	4318	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	929	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	5340	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7189	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4790	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	114609	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	6850	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7124	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3661	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3684	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	23643	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	148022	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	2921	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3456	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	83593	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	6347	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3654	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4843	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3656	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7099	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7098	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	100313781	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	353376	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3551	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3593	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3569	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	387	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	1147	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3929	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	51135	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7305	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	207	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	8517	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	868	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	5327	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3689	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	6714	Gene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4615	InflGene	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3627	InflGene	Process
Allograft rejection	7432	InflGene	Process
Allograft rejection	1493	Gene	Process
Allograft rejection	3592	InflGene	Process
Allograft rejection	7040	InflGene	Process
Allograft rejection	3558	Gene	Process
Allograft rejection	355	InflGene	Process
Allograft rejection	3458	InflGene	Process
Allograft rejection	3567	Gene	Process
Allograft rejection	940	Gene	Process
Allograft rejection	941	Gene	Process
Allograft rejection	3565	Gene	Process
Allograft rejection	942	Gene	Process
Allograft rejection	3586	InflGene	Process
Cytokines	7187	Gene	Process
Cytokines	132014	Gene	Process
Cytokines	7189	Gene	Process
Cytokines	112744	Gene	Process
Cytokines	4790	InflGene	Process
Cytokines	4793	Gene	Process
Cytokines	6774	InflGene	Process
Cytokines	23765	Gene	Process
Cytokines	84818	Gene	Process
Cytokines	9020	Gene	Process
Cytokines	53342	Gene	Process
Cytokines	64806	Gene	Process
Cytokines	3716	Gene	Process
Cytokines	3717	InflGene	Process
Cytokines	10758	Gene	Process
Cytokines	55540	Gene	Process
Cytokines	27189	Gene	Process
Cytokines	6667	Gene	Process
Cytokines	54756	Gene	Process
Cytokines	5594	Gene	Process
Cytokines	5595	Gene	Process
Cytokines	5970	InflGene	Process
Cytokines	6885	Gene	Process
Cytokines	3551	Gene	Process
Cytokines	1052	Gene	Process
Cytokines	1051	Gene	Process
Cytokines	2932	Gene	Process
Cytokines	27190	Gene	Process
Cytokines	8517	Gene	Process
Cytokines	207	InflGene	Process
Cytokines	3605	InflGene	Process
Inflammation	4893	Gene	Process
Inflammation	2099	Gene	Process
Inflammation	3265	Gene	Process
Inflammation	673	Gene	Process
Inflammation	51365	Gene	Process
Inflammation	5731	Gene	Process
Inflammation	5732	Gene	Process
Inflammation	5733	Gene	Process
Inflammation	5734	Gene	Process
Inflammation	80142	Gene	Process
Inflammation	1956	Gene	Process
Inflammation	5294	Gene	Process
Inflammation	5594	Gene	Process
Inflammation	5595	Gene	Process
Inflammation	5290	Gene	Process
Inflammation	5291	Gene	Process
Inflammation	5293	Gene	Process
Inflammation	1588	Gene	Process
Inflammation	4312	InflGene	Process
Inflammation	10000	Gene	Process
Inflammation	5743	InflGene	Process
Inflammation	207	InflGene	Process
Inflammation	208	Gene	Process
Inflammation	6714	Gene	Process
Inflammation	3845	Gene	Process
NFkB	6352	InflGene	Process
NFkB	59082	Gene	Process
NFkB	6355	Gene	Process
NFkB	7124	InflGene	Process
NFkB	6354	Gene	Process
NFkB	4210	InflGene	Process
NFkB	6357	Gene	Process
NFkB	6356	InflGene	Process
NFkB	3320	Gene	Process
NFkB	29108	Gene	Process
NFkB	114548	InflGene	Process
NFkB	3553	InflGene	Process
NFkB	6347	InflGene	Process
NFkB	834	InflGene	Process
NFkB	8767	Gene	Process
NFkB	838	Gene	Process
NFkB	10454	Gene	Process
NFkB	5594	Gene	Process
NFkB	5595	Gene	Process
NFkB	6885	Gene	Process
NFkB	58484	Gene	Process
NFkB	64127	InflGene	Process
NFkB	3569	InflGene	Process
NFkB	3326	Gene	Process
NFkB	1147	Gene	Process
NFkB	841	Gene	Process
NFkB	2919	InflGene	Process
NFkB	7205	Gene	Process
NFkB	7128	InflGene	Process
NFkB	84674	Gene	Process
NFkB	329	Gene	Process
NFkB	3606	InflGene	Process
NFkB	4790	InflGene	Process
NFkB	7189	Gene	Process
NFkB	10392	InflGene	Process
NFkB	4792	Gene	Process
NFkB	4671	Gene	Process
NFkB	4793	Gene	Process
NFkB	260434	Gene	Process
NFkB	7184	Gene	Process
NFkB	330	Gene	Process
NFkB	10910	Gene	Process
NFkB	331	Gene	Process
NFkB	2920	InflGene	Process
NFkB	1432	InflGene	Process
NFkB	3576	InflGene	Process
NFkB	5599	Gene	Process
NFkB	64170	Gene	Process
NFkB	22900	Gene	Process
NFkB	6300	Gene	Process
NFkB	5970	InflGene	Process
NFkB	3551	Gene	Process
NFkB	9051	Gene	Process
NFkB	257397	Gene	Process
NFkB	22861	Gene	Process
NFkB	23118	Gene	Process
NFkB	5600	Gene	Process
NFkB	8517	Gene	Process
NFkB	5601	Gene	Process
NFkB	5602	Gene	Process
NFkB	5603	Gene	Process
