source	target
Vitamin_B12	MYD88
Vitamin_B12	IL18
Vitamin_B12	MMP9
Vitamin_B12	TLR1
Vitamin_B12	TLR2
Vitamin_B12	S100A9
Vitamin_B12	PIK3CA
Vitamin_B12	MIR718
Vitamin_B12	TIMP1
Vitamin_B12	TIMP2
Vitamin_B12	HBEGF
Vitamin_B12	IRAK1
Vitamin_B12	CCR3
Vitamin_B12	IL1R1
Vitamin_B12	F2R
Vitamin_B12	FCER1A
Vitamin_B12	NLRP3
Vitamin_B12	PLA2G7
Vitamin_B12	SELENBP1
Vitamin_B12	SCARB1
Vitamin_B12	PLAT
Vitamin_B12	MCEE
Vitamin_B12	APOE
Vitamin_B12	CRP
Vitamin_B12	LDLR
Vitamin_B12	CTH
Vitamin_B12	RELA
Vitamin_B12	SERPINE1
Vitamin_B12	SOD2
Vitamin_B12	MTR
Vitamin_B12	SOD3
Vitamin_B12	SOD1
Vitamin_B12	APOB
Vitamin_B12	APOA1
Vitamin_B12	ALB
Vitamin_B12	IFNG
Vitamin_B12	SAA4
Vitamin_B12	ICAM1
Vitamin_B12	SAA3P
Vitamin_B12	GIF
Vitamin_B12	LRP2
Vitamin_B12	MTRR
Vitamin_B12	MPO
Vitamin_B12	MUT
Vitamin_B12	NFKB2
Vitamin_B12	NFKB1
Vitamin_B12	INSR
Vitamin_B12	IL6
Vitamin_B12	ABCA1
Vitamin_B12	SAA1
Vitamin_B12	CUBN
Vitamin_B12	SAA2
Vitamin_B12	MAT1A
Vitamin_B12	SERPINA3
Vitamin_B12	MIR6886
Vitamin_B12	TCN1
Vitamin_B12	TCN2
Vitamin_B12	MTHFR
Vitamin_B12	CCL2
Vitamin_B12	INS
Vitamin_B12	IL1B
Vitamin_B12	CBS
Vitamin_B12	F2
Vitamin_B12	HBA1
Vitamin_B12	HBB
Vitamin_B12	F7
Vitamin_B12	TNF
Vitamin_B12	CCL5
Vitamin_B12	MMAB
Vitamin_B12	PLG
Vitamin_B12	SHMT2
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensPTK2
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensNFRKB
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensPTGS2
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensAKT3
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensPTGS1
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensLAMA3
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensCDH3
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensCXCL8
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensCCND3
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensFN1
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensCRP
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensBCL2
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensIL6
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensPIK3CD
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensBAX
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensHMOX1
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensCOL4A1
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensTNF
Overview	ofnanoparticleeffects%WikiPathways_20181110%WP3287%HomosapiensITGAD
NFkB	MMP9
NFkB	CFLAR
NFkB	REL
NFkB	MMP3
NFkB	MMP2
NFkB	PTGS2
NFkB	MMP1
NFkB	VCAM1
NFkB	EGLN2
NFkB	RELB
NFkB	SELE
NFkB	TNFRSF1A
NFkB	CD40LG
NFkB	BCL2L2
NFkB	BCL2A1
NFkB	BIRC5
NFkB	IL2
NFkB	CCND1
NFkB	CSF2
NFkB	ICAM1
NFkB	VEGFA
NFkB	JUN
NFkB	MYD88
NFkB	TLR6
NFkB	TLR9
NFkB	TLR8
NFkB	TLR10
NFkB	TLR7
NFkB	TLR1
NFkB	TLR2
NFkB	IL1A
NFkB	UBE2V1
NFkB	TIFA
NFkB	UBE2N
NFkB	TLR5
NFkB	MIR718
NFkB	TLR4
NFkB	IRAK2
NFkB	IRAK1
NFkB	RIPK1
NFkB	ZBP1
NFkB	TLR3
NFkB	SAA1
NFkB	S100B
NFkB	S100A12
NFkB	NFKB2
NFkB	APP
NFkB	HMGB1
NFkB	AGER
NFkB	TICAM1
NFkB	RIPK3
NFkB	IL6
NFkB	TAB1
NFkB	HSP90AB1
NFkB	CXCL2
NFkB	BIRC2
NFkB	NAIP
NFkB	NLRP1
NFkB	NLRP3
NFkB	HSP90B1
NFkB	IL1B
NFkB	NLRC4
NFkB	TAB2
NFkB	PYCARD
NFkB	HSP90AA1
NFkB	TRAF6
NFkB	PYDC1
NFkB	RELA
NFkB	IL18
NFkB	MAPK12
NFkB	MAPK14
NFkB	MAPK8
NFkB	CARD9
NFkB	IKBKG
NFkB	MAPK1
NFkB	NFKBIA
NFkB	NFKBIB
NFkB	NFKB1
NFkB	PSTPIP1
NFkB	MAPK3
NFkB	SUGT1
NFkB	TNFAIP3
NFkB	CARD18
NFkB	CASP1
NFkB	MAP3K7
NFkB	NOD2
NFkB	IKBKB
NFkB	CASP5
NFkB	MAPK13
NFkB	ERBIN
NFkB	MAPK11
NFkB	MAPK10
NFkB	MAPK9
NFkB	CXCL8
NFkB	MEFV
NFkB	CCL7
NFkB	CARD8
NFkB	CCL8
NFkB	CCL11
NFkB	CCL13
NFkB	CARD6
NFkB	NOD1
NFkB	CCL5
NFkB	XIAP
NFkB	CCL2
NFkB	BIRC3
NFkB	TNF
NFkB	RIPK2
NFkB	CXCL1
NFkB	TAB3
NFkB	CHUK
NFkB	CASP8
NFkB	TRIP6
Inflammation	IFNB1
Inflammation	IFNA1
Inflammation	AGER
Inflammation	TREM1
Inflammation	TRAF6
Inflammation	TLR4
Inflammation	TLR2
Inflammation	MYD88
Inflammation	LTF
Inflammation	IRAK4
Inflammation	IRAK1
Inflammation	IL1B
Inflammation	IL1A
Inflammation	CD14
Inflammation	EGFR
Inflammation	PLA1A
Inflammation	PTGS2
Inflammation	BRAF
Inflammation	HRAS
Inflammation	NRAS
Inflammation	KRAS
Inflammation	CYP19A1
Inflammation	MMP1
Inflammation	SRC
Inflammation	ESR1
Inflammation	PTGER4
Inflammation	PTGER3
Inflammation	PTGER2
Inflammation	PTGER1
Inflammation	PTGES2
Inflammation	ITPR1
Inflammation	RELA
Inflammation	IKBKG
Inflammation	IKBKB
Inflammation	CHUK
Inflammation	IL12A
Inflammation	IL12B
Inflammation	TNF
Inflammation	CXCL8
Inflammation	IL6
Inflammation	PLCE1
Inflammation	PLCD3
Inflammation	PLCD4
Inflammation	PLCD1
Inflammation	PLCG2
Inflammation	PLCG1
Inflammation	PLCB4
Inflammation	PLCB3
Inflammation	PLCB2
Inflammation	PLCB1
Inflammation	NFKBIA
Inflammation	NFKB1
Inflammation	AKT3
Inflammation	AKT2
Inflammation	AKT1
Inflammation	PIK3CG
Inflammation	PIK3CD
Inflammation	PIK3CB
Inflammation	PIK3CA
Inflammation	MAPK14
Inflammation	MAPK1
Inflammation	MAPK3
Inflammation	RETN
Immune_cell_regulation	TGFB3
Immune_cell_regulation	TGFB2
Immune_cell_regulation	TGFB1
Immune_cell_regulation	IL5
Immune_cell_regulation	IL4R
Immune_cell_regulation	IL4
Immune_cell_regulation	IL2
Immune_cell_regulation	IL18R1
Immune_cell_regulation	IL12RB2
Immune_cell_regulation	IL12RB1
Immune_cell_regulation	IL12B
Immune_cell_regulation	IL12A
Immune_cell_regulation	IFNGR2
Immune_cell_regulation	IFNGR1
Immune_cell_regulation	IFNG
Immune_cell_regulation	CXCR4
Immune_cell_regulation	CXCR3
Immune_cell_regulation	CSF2
Immune_cell_regulation	CD4
Immune_cell_regulation	CD40LG
Immune_cell_regulation	CD28
Immune_cell_regulation	CCR7
Immune_cell_regulation	CCR5
Immune_cell_regulation	CCR4
Immune_cell_regulation	CCR3
Immune_cell_regulation	CCR2
Immune_cell_regulation	CCR1
Immune_cell_regulation	CCL4
Immune_cell_regulation	SDCBP
Immune_cell_regulation	VCAM1
Immune_cell_regulation	TNF
Immune_cell_regulation	SELPLG
Immune_cell_regulation	SELP
Immune_cell_regulation	KNG1
Immune_cell_regulation	ITGB2
Immune_cell_regulation	ITGB1
Immune_cell_regulation	ITGAL
Immune_cell_regulation	ITGA4
Immune_cell_regulation	CXCL8
Immune_cell_regulation	IL6
Immune_cell_regulation	IL1A
Immune_cell_regulation	ICAM1
Immune_cell_regulation	C7
Immune_cell_regulation	C6
Immune_cell_regulation	C5
Immune_cell_regulation	C3
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensCXCL10
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensMYD88
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensSRC
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensITGB2
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensPLAT
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensCBLB
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensIKBKG
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensAKT1
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensTYROBP
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensIRAK4
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensLBP
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensCHUK
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensRHOA
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensIL6
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensIL12B
Fibrin	ComplementReceptor3SignalingPathway%WikiPathways_20181110%WP4136%HomosapiensIKBKB
