source	target
Vitamin_B12	PPARA
Vitamin_B12	C4A
Vitamin_B12	TF
Vitamin_B12	LCN2
Vitamin_B12	ELANE
Vitamin_B12	BPI
NFkB	TP53
NFkB	CTNNB1
NFkB	NGF
NFkB	CD40
NFkB	HSPD1
NFkB	FASLG
NFkB	PPARA
NFkB	NR3C1
NFkB	CXCL12
NFkB	ELANE
NFkB	POMC
NFkB	CCL20
Inflammation	NGF
Inflammation	CXCL12
Inflammation	PPARA
Inflammation	TP53
Inflammation	NR3C1
Inflammation	BPI
Inflammation	ELANE
Inflammation	ANXA1
Inflammation	POMC
Inflammation	CD40
Immune_cell_regulation	TF
Immune_cell_regulation	C4A
Immune_cell_regulation	POMC
Immune_cell_regulation	PTGDR2
Immune_cell_regulation	CCL20
Immune_cell_regulation	ANXA1
Immune_cell_regulation	CXCL12
Immune_cell_regulation	FOXP3
Diseases	ANXA1
Diseases	CTNNB1
Diseases	TF
Diseases	CXCL12
Cytokines	PPARA
Cytokines	CXCL12
Cytokines	ANXA1
Cytokines	POMC
Cytokines	TF
Cytokines	ADIPOQ
Cytokines	CTNNB1
Cytokines	NGF
Cytokines	CD40
Cytokines	VWF
Cytokines	FOXP3
Cytokines	LEP
Cytokines	TP53
Cytokines	ELANE
Allograft_rejection	FOXP3
NFkB	TRIP6
NFkB	CASP8
NFkB	CHUK
NFkB	TAB3
NFkB	CXCL1
NFkB	RIPK2
NFkB	TNF
NFkB	BIRC3
NFkB	CCL2
NFkB	XIAP
NFkB	CCL5
NFkB	NOD1
NFkB	CARD6
NFkB	CCL13
NFkB	CCL11
NFkB	CCL8
NFkB	CARD8
NFkB	CCL7
NFkB	MEFV
NFkB	CXCL8
NFkB	MAPK9
NFkB	MAPK10
NFkB	MAPK11
NFkB	ERBIN
NFkB	MAPK13
NFkB	CASP5
NFkB	IKBKB
NFkB	NOD2
NFkB	MAP3K7
NFkB	CASP1
NFkB	CARD18
NFkB	TNFAIP3
NFkB	SUGT1
NFkB	MAPK3
NFkB	PSTPIP1
NFkB	NFKB1
NFkB	NFKBIB
NFkB	NFKBIA
NFkB	MAPK1
NFkB	IKBKG
NFkB	CARD9
NFkB	MAPK8
NFkB	MAPK14
NFkB	MAPK12
NFkB	IL18
NFkB	RELA
NFkB	PYDC1
NFkB	TRAF6
NFkB	HSP90AA1
NFkB	PYCARD
NFkB	TAB2
NFkB	NLRC4
NFkB	IL1B
NFkB	HSP90B1
NFkB	NLRP3
NFkB	NLRP1
NFkB	NAIP
NFkB	BIRC2
NFkB	CXCL2
NFkB	HSP90AB1
NFkB	TAB1
NFkB	IL6
NFkB	RIPK3
NFkB	TICAM1
NFkB	AGER
NFkB	HMGB1
NFkB	APP
NFkB	NFKB2
NFkB	S100A12
NFkB	S100B
NFkB	SAA1
NFkB	TLR3
NFkB	ZBP1
NFkB	RIPK1
NFkB	IRAK1
NFkB	IRAK2
Vitamin_B12	SHMT2
Vitamin_B12	PLG
Vitamin_B12	MMAB
Vitamin_B12	CCL5
Vitamin_B12	TNF
Vitamin_B12	F7
Vitamin_B12	HBB
Vitamin_B12	HBA1
Vitamin_B12	F2
Vitamin_B12	CBS
Vitamin_B12	IL1B
Vitamin_B12	INS
Vitamin_B12	CCL2
Vitamin_B12	MTHFR
Vitamin_B12	TCN2
Vitamin_B12	TCN1
Vitamin_B12	MIR6886
Vitamin_B12	SERPINA3
Vitamin_B12	MAT1A
Vitamin_B12	SAA2
Vitamin_B12	CUBN
Vitamin_B12	SAA1
Vitamin_B12	ABCA1
Vitamin_B12	IL6
Vitamin_B12	INSR
Vitamin_B12	NFKB1
Vitamin_B12	NFKB2
Vitamin_B12	MUT
Vitamin_B12	MPO
Vitamin_B12	MTRR
Vitamin_B12	LRP2
Vitamin_B12	GIF
Vitamin_B12	SAA3P
Vitamin_B12	ICAM1
Vitamin_B12	SAA4
Vitamin_B12	IFNG
Vitamin_B12	ALB
Vitamin_B12	APOA1
Vitamin_B12	APOB
Vitamin_B12	SOD1
Vitamin_B12	SOD3
Vitamin_B12	MTR
Vitamin_B12	SOD2
Vitamin_B12	SERPINE1
Vitamin_B12	RELA
Vitamin_B12	CTH
Vitamin_B12	LDLR
Vitamin_B12	CRP
Vitamin_B12	APOE
Vitamin_B12	MCEE
Vitamin_B12	PLAT
Vitamin_B12	SCARB1
ILC_family_development	TOX
ILC_family_development	TNF
ILC_family_development	GFI1
ILC_family_development	AHR
ILC_family_development	RORA
ILC_family_development	GATA3
ILC_family_development	AREG
ILC_family_development	HNF1A
ILC_family_development	IL25
ILC_family_development	IFNG
ILC_family_development	IL9
ILC_family_development	IL23A
ILC_family_development	IL1B
ILC_family_development	TBX21
ILC_family_development	IL22
ILC_family_development	TSLP
ILC_family_development	EOMES
ILC_family_development	NFIL3
ILC_family_development	ID2
ILC_family_development	IL7
ILC_family_development	IL13
ILC_family_development	IL12B
ILC_family_development	IL12A
ILC_family_development	IL6
ILC_family_development	BCL11B
ILC_family_development	IL15
ILC_family_development	IL5
ILC_family_development	IL4
ILC_family_development	IL33
ILC_family_development	ZBTB16
ILC_family_development	IL18
ILC_family_development	IL17A
Vitamin_B12	SELENBP1
Vitamin_B12	PLA2G7
Vitamin_B12	NLRP3
Vitamin_B12	FCER1A
Vitamin_B12	F2R
Vitamin_B12	IL1R1
Vitamin_B12	CCR3
Vitamin_B12	IRAK1
Vitamin_B12	HBEGF
