id	type
Vitamin_B12	Process
NFkB	Process
Inflammation	Process
Immune_cell_regulation	Process
Diseases	Process
Cytokines	Process
Allograft_rejection	Process
ILC_family_development	Process
Nanoparticle_effects	Process
FCR3_signaling	Process
PPARA	InflGene
C4A	InflGene
TF	InflGene
LCN2	InflGene
ELANE	InflGene
BPI	InflGene
TP53	InflGene
CTNNB1	InflGene
NGF	InflGene
CD40	InflGene
HSPD1	InflGene
FASLG	InflGene
NR3C1	InflGene
CXCL12	InflGene
POMC	InflGene
CCL20	InflGene
ANXA1	InflGene
PTGDR2	InflGene
FOXP3	InflGene
ADIPOQ	InflGene
VWF	InflGene
LEP	InflGene
TRIP6	Gene
CASP8	Gene
CHUK	Gene
TAB3	Gene
CXCL1	InflGene
RIPK2	Gene
TNF	InflGene
BIRC3	Gene
CCL2	InflGene
XIAP	Gene
CCL5	InflGene
NOD1	InflGene
CARD6	Gene
CCL13	Gene
CCL11	InflGene
CCL8	Gene
CARD8	Gene
CCL7	Gene
MEFV	InflGene
CXCL8	InflGene
MAPK9	Gene
MAPK10	Gene
MAPK11	Gene
ERBIN	Gene
MAPK13	Gene
CASP5	Gene
IKBKB	Gene
NOD2	InflGene
MAP3K7	Gene
CASP1	InflGene
CARD18	Gene
TNFAIP3	InflGene
SUGT1	Gene
MAPK3	Gene
PSTPIP1	Gene
NFKB1	InflGene
NFKBIB	Gene
NFKBIA	Gene
MAPK1	Gene
IKBKG	Gene
CARD9	Gene
MAPK8	Gene
MAPK14	InflGene
MAPK12	Gene
IL18	InflGene
RELA	InflGene
PYDC1	Gene
TRAF6	Gene
HSP90AA1	Gene
PYCARD	Gene
TAB2	Gene
NLRC4	Gene
IL1B	InflGene
HSP90B1	Gene
NLRP3	InflGene
NLRP1	Gene
NAIP	Gene
BIRC2	Gene
CXCL2	InflGene
HSP90AB1	Gene
TAB1	Gene
IL6	InflGene
RIPK3	Gene
TICAM1	Gene
AGER	InflGene
HMGB1	InflGene
APP	Gene
NFKB2	Gene
S100A12	InflGene
S100B	Gene
SAA1	InflGene
TLR3	InflGene
ZBP1	Gene
RIPK1	Gene
IRAK1	Gene
IRAK2	Gene
SHMT2	Gene
PLG	Gene
MMAB	Gene
F7	Gene
HBB	Gene
HBA1	Gene
F2	InflGene
CBS	Gene
INS	Gene
MTHFR	Gene
TCN2	Gene
TCN1	Gene
MIR6886	Gene
SERPINA3	Gene
MAT1A	Gene
SAA2	Gene
CUBN	Gene
ABCA1	Gene
INSR	Gene
MUT	Gene
MPO	InflGene
MTRR	Gene
LRP2	Gene
GIF	Gene
SAA3P	Gene
ICAM1	InflGene
SAA4	Gene
IFNG	InflGene
ALB	Gene
APOA1	InflGene
APOB	Gene
SOD1	InflGene
SOD3	Gene
MTR	Gene
SOD2	Gene
SERPINE1	InflGene
CTH	Gene
LDLR	Gene
CRP	InflGene
APOE	Gene
MCEE	Gene
PLAT	InflGene
SCARB1	Gene
TOX	Gene
GFI1	Gene
AHR	Gene
RORA	Gene
GATA3	InflGene
AREG	Gene
HNF1A	Gene
IL25	Gene
IL9	Gene
IL23A	InflGene
TBX21	InflGene
IL22	InflGene
TSLP	InflGene
EOMES	Gene
NFIL3	Gene
ID2	Gene
IL7	Gene
IL13	InflGene
IL12B	InflGene
IL12A	InflGene
BCL11B	Gene
IL15	InflGene
IL5	Gene
IL4	Gene
IL33	InflGene
ZBTB16	Gene
IL17A	InflGene
SELENBP1	Gene
PLA2G7	Gene
FCER1A	Gene
F2R	Gene
IL1R1	Gene
CCR3	Gene
HBEGF	Gene
TIMP2	Gene
TIMP1	InflGene
MIR718	Gene
PIK3CA	Gene
S100A9	InflGene
TLR2	InflGene
TLR1	Gene
MMP9	InflGene
MYD88	InflGene
ITGAD	Gene
COL4A1	Gene
HMOX1	InflGene
BAX	Gene
PIK3CD	Gene
BCL2	Gene
FN1	Gene
CCND3	Gene
CDH3	Gene
LAMA3	Gene
PTGS1	Gene
AKT3	Gene
PTGS2	InflGene
