source	target
HGF	JAK2
HGF	SRC
HGF	PLAU
HGF	NRAS
HGF	TGFB2
HGF	RAC1
HGF	FN1
HGF	CTNNB1
HGF	JAK1
HGF	PTK2
HGF	PTPN11
HGF	PDGFB
HGF	LAMA3
HGF	PLG
HGF	UBB
HGF	IGF1
HGF	ALB
HGF	APP
HGF	EGFR
HGF	RPS27A
HGF	EGF
HGF	KNG1
HGF	STAT3
HGF	FGF2
HGF	PIK3CA
HGF	IL7
HGF	MAPK3
HGF	GAB1
HGF	CDH1
HGF	VWF
HGF	KRAS
HGF	PLCG1
HGF	TGFB3
HGF	SERPINE1
IL4R	TYK2
IL4R	PIK3R1
IL4R	IL10
IL4R	SHC1
ZBP1	IKBKG
ZBP1	IRF3
ZBP1	UBC
ZBP1	IKBKB
ZBP1	UBA52
ZBP1	RELA
IL6R	VAV1
IL6R	MAP2K6
IL6R	HCK
IL6R	TYK2
IL6R	SHC1
IL6R	SOS1
IL6R	IL6
IL6R	GRB2
IL6R	JAK2
IL6R	IL6ST
IL6R	SRC
PLAU	ITGAM
PLAU	ATP11A
PLAU	ITGB2
PLAU	ITGB1
PLAU	SRC
CCND1	AKT1
CCND1	UBC
CCND1	ESR1
CCND1	UBA52
CCND1	RELA
CCND1	JAK2
CCND1	GATA3
CCND1	HDAC1
CCND1	CCND3
CCND1	JUN
CCND1	CTNNB1
CCND1	GSK3B
CCND1	UBB
CCND1	EGFR
CCND1	RPS27A
CCND1	TP53
CCND1	STAT3
CCND1	CREBBP
CCND1	HNF1A
CCND3	JAK2
CCND3	HDAC1
MPO	ELANE
MPO	CECR1
MPO	PRKCD
MPO	PTGS1
MPO	PTGES2
MPO	TOLLIP
MPO	BPI
MPO	SDCBP
MPO	PYCARD
MPO	C3
MPO	PRTN3
NR3C1	IRF3
NR3C1	PIK3R1
NR3C1	ESR1
NR3C1	TNF
NR3C1	MAPK9
NR3C1	ADIPOQ
NR3C1	NCOA1
NR3C1	RELA
NR3C1	MAPK8
NR3C1	IFNB1
NR3C1	ANXA1
NR3C1	HSP90AB1
NR3C1	JUN
NR3C1	STAT1
NR3C1	MAPK10
NR3C1	HMGB1
NR3C1	HSP90AA1
NR3C1	MAPK11
NR3C1	GSK3B
NR3C1	TP53
NR3C1	PIK3CA
NR3C1	MAPK3
NR3C1	CREBBP
NR3C1	IRF1
PLAT	ITGAM
PLAT	ITGB2
PLAT	PLG
PLAT	F2
PLAT	SERPINE1
CD80	VAV1
CD80	AKT1
CD80	ITGAM
CD80	PIK3R1
CD80	IL10
CD80	ITGB2
CD80	ITGA4
CD80	ITGB1
CD80	HLA-DRA
CD80	GRB2
CD80	AKT2
CD80	ITGAD
CD80	CD40
CD80	CD40LG
CD80	HLA-DRB1
CD80	ITGAL
CD80	RAC1
CD80	FYN
CD80	PTPN11
CD80	LCK
CD80	CD86
CD80	CD28
CD80	CTLA4
CD80	CSF2
CD80	STAT3
SCARB1	ABCA1
CD86	VAV1
CD86	AKT1
CD86	ITGAM
CD86	PIK3R1
CD86	IL10
CD86	HLA-DRA
CD86	GRB2
CD86	AKT2
CD86	CD40
CD86	HLA-DRB1
CD86	RAC1
