source_id	target_id	common_neighbors
Vitamin_B12	PPARA	4
Vitamin_B12	C4A	6
Vitamin_B12	TF	7
Vitamin_B12	ADIPOQ	3
Vitamin_B12	LEP	1
Vitamin_B12	NGF	3
Vitamin_B12	FASLG	1
Vitamin_B12	FCGR3A	1
Vitamin_B12	CTNNB1	1
Vitamin_B12	CXCL12	2
Vitamin_B12	F2RL1	1
Vitamin_B12	ANXA1	3
Vitamin_B12	TP53	1
Vitamin_B12	FCGR2A	1
Vitamin_B12	CD40	2
Vitamin_B12	TAC1	2
Vitamin_B12	LCN2	4
Vitamin_B12	HSPD1	2
Vitamin_B12	CCL20	1
Vitamin_B12	DEFB4A	1
Vitamin_B12	NR3C1	1
Vitamin_B12	ELANE	4
Vitamin_B12	BPI	4
Vitamin_B12	CHI3L1	1
Vitamin_B12	PPARG	1
Vitamin_B12	VWF	2
Vitamin_B12	PRTN3	1
Vitamin_B12	CECR1	1
Vitamin_B12	THBD	1
Vitamin_B12	POMC	1
Vitamin_B12	FOXP3	1
NFkB	TP53	5
NFkB	CTNNB1	5
NFkB	NGF	6
NFkB	CD40	8
NFkB	HSPD1	5
NFkB	FASLG	6
NFkB	PPARA	7
NFkB	NR3C1	4
NFkB	CXCL12	7
NFkB	TNFSF13B	2
NFkB	TNFRSF13C	1
NFkB	CECR1	2
NFkB	CTSG	1
NFkB	BPI	3
NFkB	PRTN3	1
NFkB	CDH1	1
NFkB	ELANE	5
NFkB	VWF	1
NFkB	LCN2	2
NFkB	POMC	4
NFkB	FOXP3	2
NFkB	PTGDR2	3
NFkB	CCL20	4
NFkB	ANXA1	3
NFkB	DEFB4A	1
NFkB	CHI3L1	1
NFkB	PPARG	2
NFkB	TF	3
NFkB	ADIPOQ	1
NFkB	C4A	3
NFkB	F2RL1	1
NFkB	TAC1	1
Inflammation	NGF	8
Inflammation	CXCL12	11
Inflammation	CCL20	3
Inflammation	DEFB4A	1
Inflammation	HSPD1	3
Inflammation	CECR1	3
Inflammation	PPARA	4
Inflammation	TP53	6
Inflammation	CTSG	1
Inflammation	NR3C1	4
Inflammation	BPI	4
Inflammation	PRTN3	2
Inflammation	CDH1	1
Inflammation	ELANE	6
Inflammation	VWF	2
Inflammation	ANXA1	6
Inflammation	POMC	4
Inflammation	PTGDR2	1
Inflammation	FASLG	2
Inflammation	FCGR3A	3
Inflammation	CTNNB1	3
Inflammation	F2RL1	3
Inflammation	FCGR2A	2
Inflammation	CD40	7
Inflammation	TAC1	3
Inflammation	ADIPOQ	2
Inflammation	LEP	1
Inflammation	LCN2	3
Inflammation	CHI3L1	3
Inflammation	TNFAIP6	1
Inflammation	PPARG	1
Inflammation	TF	2
Inflammation	C4A	1
Inflammation	MUC1	1
Immune_cell_regulation	TF	4
Immune_cell_regulation	ADIPOQ	1
Immune_cell_regulation	C4A	4
Immune_cell_regulation	POMC	10
Immune_cell_regulation	PTGDR2	9
Immune_cell_regulation	CCL20	9
Immune_cell_regulation	ANXA1	11
Immune_cell_regulation	CXCL12	10
Immune_cell_regulation	CD40	1
Immune_cell_regulation	TNFSF13B	1
Immune_cell_regulation	FOXP3	4
Immune_cell_regulation	FCGR3A	1
Immune_cell_regulation	CTNNB1	2
Immune_cell_regulation	VWF	2
Immune_cell_regulation	PPARG	1
Immune_cell_regulation	BPI	2
Immune_cell_regulation	ELANE	3
Immune_cell_regulation	CECR1	2
Immune_cell_regulation	C4B	2
Immune_cell_regulation	TAC1	1
Immune_cell_regulation	F2RL1	1
Diseases	SFTPD	1
Diseases	ANXA1	5
Diseases	FOXP3	1
Diseases	CTNNB1	6
Diseases	VWF	3
Diseases	PPARG	1
Diseases	TF	4
Diseases	ADIPOQ	2
Diseases	C4A	3
Diseases	MUC1	1
Diseases	CDH1	1
Diseases	LCN2	2
Diseases	POMC	3
Diseases	PTGDR2	2
Diseases	CCL20	3
Diseases	CXCL12	4
Diseases	CAT	1
Diseases	LEP	2
Diseases	ELANE	2
Diseases	PPARA	2
Diseases	NGF	1
Diseases	DEFB4A	1
Diseases	TAC1	1
Diseases	F2RL1	1
Cytokines	PPARA	9
Cytokines	CXCL12	12
Cytokines	ANXA1	4
Cytokines	POMC	4
Cytokines	TF	4
Cytokines	ADIPOQ	5
Cytokines	C4A	3
Cytokines	CTNNB1	6
Cytokines	NGF	9
Cytokines	CD40	4
Cytokines	VWF	4
Cytokines	FOXP3	6
Cytokines	CAT	1
Cytokines	PPARG	3
Cytokines	LCN2	3
Cytokines	LEP	4
Cytokines	MUC1	1
Cytokines	CCL20	2
Cytokines	FASLG	2
Cytokines	TP53	5
Cytokines	ABCB4	1
Cytokines	CECR1	3
Cytokines	ELANE	5
Cytokines	CTSG	1
Cytokines	NR3C1	3
Cytokines	BPI	2
Cytokines	PRTN3	1
Cytokines	CDH1	1
Cytokines	CHI3L1	1
Cytokines	FCGR3A	2
Cytokines	TAC1	1
Cytokines	FCGR2A	1
Cytokines	F2RL1	1
Cytokines	DEFB4A	1
Allograft_rejection	ANXA1	1
Allograft_rejection	FOXP3	5
Allograft_rejection	POMC	1
Allograft_rejection	FASLG	1
Allograft_rejection	CD40	2
Allograft_rejection	FCGR3A	1
Allograft_rejection	CTNNB1	1
Allograft_rejection	VWF	1
Allograft_rejection	PPARG	1
