hgnc_symbol	entrezgene	Score DisGeNET	Score GeneCards
TNF	7124	0.390062037	79.95
IL6	3569	0.379130387	79.59
IL1B	3553	0.366527186	40.29
IL10	3586	0.353840275	64.81
CRP	1401	0.269878029	50.27
TGFB1	7040	0.250747642	28.66
CXCL8	3576	0.249318265	43.88
IL1RN	3557	0.248792338	39.44
IL1A	3552	0.236105428	21.39
PTGS2	5743	0.233572558	27.55
IFNG	3458	0.233246674	32.83
TLR4	7099	0.230513762	45.72
MIF	4282	0.226025589	21.24
CCL2	6347	0.225373821	32.79
PPARG	5468	0.224722053	18.07
VEGFA	7422	0.222640909	16.15
IL13	3596	0.221989141	36.23
TLR2	7097	0.221211532	21.71
ICAM1	3383	0.220885648	28.54
MMP9	4318	0.220559764	25.38
LEP	3952	0.219130387	16.79
ADIPOQ	9370	0.218804503	17.84
IL17A	3605	0.216071591	27.92
SCGB1A1	7356	0.214768055	13.03
HMOX1	3162	0.213664562	13
MPO	4353	0.213012794	29.01
NOS2	4843	0.212361027	20.62
HMGB1	3146	0.21093165	22.08
F2RL1	2150	0.21093165	13.39
CSF2	1437	0.209953998	15.97
SOD1	6647	0.208198737	10.35
TLR9	54106	0.20754697	19.36
MMP2	4313	0.20754697	15
CCL11	6356	0.207221086	33.54
TRPV1	7442	0.205465825	13.68
TNFRSF11B	4982	0.205139941	13.92
PPARA	5465	0.205139941	12.84
APOA1	335	0.205139941	12.09
CCL3	6348	0.204814057	17.81
NLRP3	114548	0.202732912	43.83
CXCR3	2833	0.202732912	17.47
TNFSF15	9966	0.202732912	17.09
TIMP1	7076	0.202732912	14.41
TAC1	6863	0.202732912	13.2
LTF	4057	0.202732912	13.03
AGER	177	0.202732912	12.06
LCN2	3934	0.202732912	11.97
NGF	4803	0.202732912	11.94
FGF2	2247	0.202732912	10.65
ABCB4	5244	0.202407029	12.44
EDN1	1906	0.202407029	11.06
STAT3	6774	0.2	24.22
CASP1	834	0.2	16.37
CXCL2	2920	0.2	15.1
TREX1	11277	0.2	14.23
TF	7018	0.2	13.21
MYD88	4615	0.2	12.76
TBX21	30009	0.2	12.35
CALCA	796	0.2	11.91
JAK2	3717	0.2	11.8
CCL4	6351	0.2	11.54
GATA3	2625	0.2	10.88
NPPB	4879	0.2	10.76
AKT1	207	0.2	10.42
CXCL1	2919	0.085465825	17.46
ANXA1	301	0.085465825	14.83
ABCB1	5243	0.085139941	23.47
CXCR2	3579	0.082407029	12.16
SPINK1	6690	0.08	14.75
SERPINC1	462	0.08	12.84
EGFR	1956	0.08	11.76
F3	2152	0.08	10.94
IL18	3606	0.02778085	23.53
IL4	3565	0.026477314	26.54
IL4R	3566	0.024396169	14.32
CCR5	1234	0.024070285	25.35
LTA	4049	0.021663257	25.4
SELP	6403	0.019907996	15.03
HLA-DRB1	3123	0.019256228	36.25
APOE	348	0.019256228	13.62
NFKB1	4790	0.018152735	27.82
NOD2	64127	0.017826851	44.97
MMP3	4314	0.017826851	16.01
CCL5	6352	0.017500968	24.29
MBL2	4153	0.017500968	13.95
PON1	5444	0.017175084	11.18
CTLA4	1493	0.0168492	31
CD14	929	0.0168492	10.87
CCL20	6364	0.016397475	11.45
SERPINE1	5054	0.015419823	13.4
C5	727	0.015419823	11.25
ADRB2	154	0.014442171	12.39
RETN	56729	0.013012794	14.76
SELE	6401	0.012361027	26.01
MMP1	4312	0.012361027	24.91
VDR	7421	0.012361027	10.31
IL2	3558	0.012035143	21.34
ELANE	1991	0.01093165	38.16
IL23A	51561	0.01093165	12.22
TNFRSF1A	7132	0.010279882	32.17
IL15	3600	0.010279882	11.85
POMC	5443	0.010279882	10.55
MEFV	4210	0.009953998	39.89
TLR3	7098	0.009953998	20.85
F2	2147	0.009953998	18.64
C3	718	0.009953998	17.37
NR3C1	2908	0.009953998	13.39
CXCL12	6387	0.009953998	11.49
F5	2153	0.009628114	13.62
PRTN3	5657	0.008198737	33.8
CXCL10	3627	0.008198737	18.28
CD40	958	0.008198737	14.76
RELA	5970	0.008198737	13.65
NOD1	10392	0.008198737	12.11
IL33	90865	0.008198737	12.02
SPP1	6696	0.008198737	11.66
TP53	7157	0.007872853	13.14
FAS	355	0.00754697	27.26
FASLG	356	0.00754697	22.01
FCGR2A	2212	0.00754697	20.05
PLAT	5327	0.00754697	10.36
IL5	3567	0.007221086	24.48
TNFRSF1B	7133	0.007221086	21.48
PTGS1	5742	0.007221086	15.57
CCR3	1232	0.007221086	13.27
ACE	1636	0.007221086	10.51
CD40LG	959	0.005465825	28.6
FOXP3	50943	0.005465825	23.1
CFTR	1080	0.005465825	22.39
SAA1	6288	0.005465825	19.94
S100A9	6280	0.005465825	18.66
KNG1	3827	0.005465825	17.21
DEFB4A	1673	0.005465825	14.82
MAPK14	1432	0.005465825	12.2
VIP	7432	0.005465825	11.84
TNFSF13B	10673	0.005465825	10.42
TNFAIP6	7130	0.005465825	10.39
IL12A	3592	0.005139941	21.05
IL12B	3593	0.005139941	19.26
THBD	7056	0.005139941	15.67
SFTPD	6441	0.005139941	11.66
CAT	847	0.005139941	10.21
HLA-B	3106	0.004814057	35.35
IL10RA	3587	0.004814057	30.04
PTPN22	26191	0.004814057	28.52
IL10RB	3588	0.004814057	28.48
VCAM1	7412	0.004814057	25.37
IL2RA	3559	0.004814057	20.98
IL1R1	3554	0.004814057	17.89
TSLP	85480	0.004814057	17.31
COL1A1	1277	0.004814057	11.95
MMP8	4317	0.004814057	11.52
IL2RB	3560	0.004814057	10.69
PLA2G7	7941	0.004814057	10.61
IL6R	3570	0.004814057	10.31
SERPINA1	5265	0.002732912	25.3
C4A	720	0.002732912	21.65
MUC1	4582	0.002732912	17.34
CHI3L1	1116	0.002732912	16.59
VWF	7450	0.002732912	16.39
CTSG	1511	0.002732912	14.47
IRF1	3659	0.002732912	13.89
TNFRSF13C	115650	0.002732912	13.39
ADA	100	0.002732912	13.25
S100A12	6283	0.002732912	12.98
HSPD1	3329	0.002732912	11.98
PTGDR2	11251	0.002732912	11.8
FCGR3A	2214	0.002732912	11.76
BPI	671	0.002732912	11.71
CSF1	1435	0.002732912	11.28
PTX3	5806	0.002732912	11.23
CTNNB1	1499	0.002732912	11.18
C4B	721	0.002732912	10.75
CDH1	999	0.002732912	10.53
AQP4	361	0.002732912	10.38
CCR7	1236	0.002732912	10.12
IL22	50616	0.002732912	10.08
HLA-DQB1	3119	0.002407029	23.94
HLA-DQA1	3117	0.002407029	18.6
HP	3240	0.002407029	15.13
HLA-A	3105	0.002407029	11.96
NFKB2	4791	0.002407029	11.95
IL17F	112744	0.002407029	11.92
KRAS	3845	0.002407029	11.77
SAA4	6291	0.002407029	10.25
NFKBIA	4792	0.002407029	10.18
