pathway	entrezgene
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7205
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	841
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1147
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	257397
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2919
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	8767
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7124
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	330
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6347
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	331
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6352
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	10392
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	84674
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6357
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6356
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6355
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	22900
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6354
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4210
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3576
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5601
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5602
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5600
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	55914
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5603
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	838
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3551
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	64127
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6885
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	834
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	59082
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7128
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	10910
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5595
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	9051
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4790
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4793
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4792
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5594
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	8517
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	64170
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5599
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1432
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6300
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3606
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5970
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	260434
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7189
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3320
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	29108
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	23118
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	58484
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3553
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7184
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	114548
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	22861
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4671
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	329
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2920
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3326
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	10454
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3569
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3126
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	115650
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3127
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3111
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3112
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	3125
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	941
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	942
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	940
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	8741
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	10673
