entrezgene	n_Sel_Pathways
4843	1
5743	2
3162	3
3458	6
335	1
4312	1
3146	2
1432	3
207	2
2247	1
355	1
3552	7
3553	9
4790	8
5970	7
7040	5
7124	12
7132	1
1236	1
1435	1
1437	4
2833	1
2919	2
2920	4
3566	1
3569	13
3576	7
3586	3
3592	5
3593	6
3596	3
3600	2
3605	1
3606	3
3627	1
50616	1
51561	1
6347	5
6348	1
6351	2
6352	3
6356	2
7422	1
85480	1
959	2
6774	1
2147	2
5054	1
6647	1
4615	5
6696	1
3383	4
6401	1
6403	1
7412	2
3827	1
5265	1
5327	2
718	1
727	1
54106	1
7097	3
7098	2
7099	3
10392	2
114548	2
4210	1
64127	2
7128	1
834	1
90865	1
4313	2
4318	3
1906	1
177	3
6283	2
6288	3
4314	1
7076	2
4057	1
7432	1
796	1
3557	1
2625	1
1401	2
4353	1
30009	1
6280	1
5806	1
56729	1
