nodes	Type
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Process
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Process
KEGG_TYPE_I_DIABETES_MELLITUS	Process
KEGG_LEISHMANIA_INFECTION	Process
KEGG_ASTHMA	Process
KEGG_ALLOGRAFT_REJECTION	Process
KEGG_GRAFT_VERSUS_HOST_DISEASE	Process
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	Process
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	Process
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	Process
Vitamin B12 Metabolism%WikiPathways_20181110%WP1533%Homo sapiens	Process
Development and heterogeneity of the ILC family%WikiPathways_20181110%WP3893%Homo sapiens	Process
Allograft Rejection%WikiPathways_20181110%WP2328%Homo sapiens	Process
IL1 and megakaryocytes in obesity%WikiPathways_20181110%WP2865%Homo sapiens	Process
EBV LMP1 signaling%WikiPathways_20181110%WP262%Homo sapiens	Process
Overview of nanoparticle effects%WikiPathways_20181110%WP3287%Homo sapiens	Process
Lung fibrosis%WikiPathways_20181110%WP3624%Homo sapiens	Process
Simplified Depiction of MYD88 Distinct Input-Output Pathway%WikiPathways_20181110%WP3877%Homo sapiens	Process
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma%WikiPathways_20181110%WP4337%Homo sapiens	Process
Photodynamic therapy-induced NF-kB survival signaling%WikiPathways_20181110%WP3617%Homo sapiens	Process
IL17 signaling pathway%WikiPathways_20181110%WP2112%Homo sapiens	Process
Folate Metabolism%WikiPathways_20181110%WP176%Homo sapiens	Process
Inflammatory Response Pathway%WikiPathways_20181110%WP453%Homo sapiens	Process
IL-6 signaling pathway%WikiPathways_20181110%WP364%Homo sapiens	Process
Cytokines and Inflammatory Response%WikiPathways_20181110%WP530%Homo sapiens	Process
Fibrin Complement Receptor 3 Signaling Pathway%WikiPathways_20181110%WP4136%Homo sapiens	Process
Resistin as a regulator of inflammation%WP4481%Homo sapiens	Process
Vitamin D in inflammatory diseases%WP4482%Homo sapiens	Process
Relationship between inflammation, COX-2 and EGFR%WP4483%Homo sapiens	Process
LTF danger signal response pathway%WP4478%Homo sapiens	Process
Control of immune tolerance by vasoactive intestinal peptide%WP4484%Homo sapiens	Process
Cells and Molecules involved in local acute inflammatory response%WP4493%Homo sapiens	Process
Signal transduction through IL1R%WP4496%Homo sapiens	Process
Selective expression of chemokine receptors during T-cell polarization%WP4494%Homo sapiens	Process
IL-10 Anti-inflammatory Signaling Pathway%WP4495%Homo sapiens	Process
7205	Gene
841	Gene
1147	Gene
257397	Gene
2919	InflGene
8767	Gene
7124	InflGene
330	Gene
6347	InflGene
331	Gene
6352	InflGene
10392	InflGene
84674	Gene
6357	Gene
6356	InflGene
6355	Gene
22900	Gene
6354	Gene
4210	InflGene
3576	InflGene
5601	Gene
5602	Gene
5600	Gene
55914	Gene
5603	Gene
838	Gene
3551	Gene
64127	InflGene
6885	Gene
834	InflGene
59082	Gene
7128	Gene
10910	Gene
5595	Gene
9051	Gene
4790	InflGene
4793	Gene
4792	InflGene
5594	Gene
8517	Gene
64170	Gene
5599	Gene
1432	InflGene
6300	Gene
3606	InflGene
5970	InflGene
260434	Gene
7189	Gene
3320	Gene
29108	Gene
23118	Gene
58484	Gene
3553	InflGene
7184	Gene
114548	InflGene
22861	Gene
4671	Gene
329	Gene
2920	InflGene
3326	Gene
10454	Gene
3569	InflGene
3126	Gene
115650	InflGene
3127	Gene
3111	Gene
3112	Gene
3125	Gene
941	Gene
942	Gene
940	Gene
8741	Gene
10673	InflGene
10850	Gene
3601	Gene
3600	InflGene
23308	Gene
3676	Gene
7040	InflGene
29851	Gene
10803	Gene
9020	Gene
7852	Gene
6370	Gene
608	Gene
3109	Gene
3108	Gene
56477	Gene
4055	Gene
5284	Gene
3558	InflGene
959	InflGene
3113	Gene
958	InflGene
57379	Gene
3115	Gene
3117	InflGene
3118	Gene
3119	InflGene
23495	Gene
3695	Gene
6387	InflGene
2826	Gene
8174	Gene
3565	InflGene
3567	InflGene
3586	InflGene
3123	InflGene
3122	Gene
4049	InflGene
3382	Gene
3458	InflGene
652614	Gene
5799	Gene
3107	Gene
3106	InflGene
3630	Gene
5798	Gene
3134	Gene
3133	Gene
3105	InflGene
3593	InflGene
2571	Gene
3135	Gene
3592	InflGene
1363	Gene
2572	Gene
3552	InflGene
3329	InflGene
5551	Gene
355	InflGene
356	InflGene
3002	Gene
3725	Gene
5579	Gene
6772	Gene
2002	Gene
3684	Gene
4615	InflGene
9103	Gene
2209	Gene
5777	Gene
51135	Gene
4689	Gene
4688	Gene
5743	InflGene
4843	InflGene
3716	Gene
3717	InflGene
3688	Gene
3689	Gene
1378	Gene
2215	Gene
2212	InflGene
2214	InflGene
65108	Gene
3460	Gene
7042	Gene
3459	Gene
3654	Gene
7043	Gene
718	InflGene
653361	Gene
7099	InflGene
7097	InflGene
2353	Gene
1535	Gene
3562	Gene
8288	Gene
2207	Gene
2206	Gene
2205	Gene
3578	Gene
3596	InflGene
5553	Gene
6037	Gene
3802	Gene
3824	Gene
3821	Gene
3803	Gene
3804	Gene
3811	Gene
3812	Gene
57292	Gene
11035	Gene
148022	Gene
177	InflGene
3146	InflGene
351	Gene
4791	InflGene
6283	InflGene
6285	Gene
6288	InflGene
7098	InflGene
81030	Gene
8737	Gene
3656	Gene
23586	Gene
4214	Gene
57506	Gene
64135	Gene
7186	Gene
7706	Gene
84282	Gene
6472	Gene
5340	Gene
326625	Gene
2155	Gene
3043	Gene
3039	Gene
2147	InflGene
875	Gene
4524	Gene
6948	Gene
6947	Gene
102465534	Gene
12	Gene
4143	Gene
6289	Gene
8029	Gene
19	Gene
3643	Gene
4594	Gene
4353	InflGene
4552	Gene
4036	Gene
2694	Gene
6290	Gene
3383	InflGene
6291	InflGene
213	Gene
335	InflGene
338	Gene
6647	InflGene
6649	Gene
4548	Gene
6648	Gene
100129518	Gene
5054	InflGene
1491	Gene
3949	Gene
1401	InflGene
348	InflGene
84693	Gene
5327	InflGene
949	Gene
9760	Gene
2672	Gene
196	Gene
6095	Gene
2625	InflGene
374	Gene
6927	Gene
64806	Gene
51561	InflGene
30009	InflGene
50616	InflGene
85480	InflGene
8320	Gene
4783	Gene
3398	Gene
3574	Gene
64919	Gene
90865	InflGene
7704	Gene
3605	InflGene
2551	Gene
1459	Gene
2668	Gene
3559	InflGene
712	Gene
713	Gene
105369230	Gene
10376	Gene
714	Gene
836	Gene
717	Gene
10578	Gene
6363	Gene
6366	Gene
5156	Gene
5590	Gene
840	Gene
643	Gene
720	InflGene
120892	Gene
721	InflGene
842	Gene
727	InflGene
729	Gene
6373	Gene
7422	InflGene
5243	InflGene
59067	Gene
23743	Gene
730	Gene
731	Gene
732	Gene
55825	Gene
735	Gene
4283	Gene
7431	Gene
100507436	Gene
3035	Gene
1493	InflGene
185	Gene
1289	Gene
10563	Gene
50943	InflGene
1604	Gene
8991	Gene
7941	InflGene
2149	Gene
3554	InflGene
1232	InflGene
1839	Gene
7077	Gene
7076	InflGene
100313781	Gene
5290	Gene
6280	InflGene
7096	Gene
4318	InflGene
6364	InflGene
9260	Gene
7185	Gene
3456	Gene
4215	Gene
8717	Gene
3681	Gene
1282	Gene
3162	InflGene
581	Gene
5293	Gene
596	Gene
2335	Gene
896	Gene
1001	Gene
3909	Gene
5742	InflGene
10000	Gene
4798	Gene
5747	Gene
6351	InflGene
3082	Gene
653509	Gene
5265	InflGene
4092	Gene
57105	Gene
1215	Gene
796	InflGene
3479	Gene
6348	InflGene
4204	Gene
5154	Gene
4780	Gene
6440	Gene
7015	Gene
5155	Gene
729230	Gene
729238	Gene
727897	Gene
5073	Gene
23250	Gene
1906	InflGene
10144	Gene
6696	InflGene
91039	Gene
6498	Gene
1440	Gene
2252	Gene
79991	Gene
1437	InflGene
1832	Gene
2006	Gene
2247	InflGene
1950	Gene
2246	Gene
655	Gene
4502	Gene
7039	Gene
1051	Gene
1490	Gene
5806	InflGene
255520	Gene
51750	Gene
26585	Gene
4313	InflGene
5328	Gene
7100	Gene
7334	Gene
92610	Gene
7335	Gene
51284	Gene
81793	Gene
51311	Gene
54106	InflGene
10333	Gene
406984	Gene
406983	Gene
406985	Gene
6774	InflGene
3572	Gene
652995	Gene
3570	InflGene
3590	Gene
3718	Gene
3589	Gene
6935	Gene
6659	Gene
595	Gene
332	Gene
597	Gene
599	Gene
7132	InflGene
6401	InflGene
5971	Gene
112398	Gene
7412	InflGene
4312	InflGene
4314	InflGene
5966	Gene
8837	Gene
7187	Gene
132014	Gene
112744	InflGene
23765	Gene
84818	Gene
53342	Gene
10758	Gene
55540	Gene
27189	Gene
6667	Gene
54756	Gene
1052	Gene
2932	Gene
27190	Gene
207	InflGene
102466733	Gene
2352	Gene
191	Gene
2350	Gene
6470	Gene
2348	Gene
4522	Gene
4842	Gene
390243	Gene
80308	Gene
2878	Gene
2877	Gene
2876	Gene
257202	Gene
847	InflGene
2879	Gene
10588	Gene
6573	Gene
113235	Gene
1435	InflGene
1719	Gene
10797	Gene
7157	InflGene
55312	Gene
2618	Gene
3561	Gene
3560	InflGene
100616340	Gene
1281	Gene
3913	Gene
100500837	Gene
3915	Gene
3918	Gene
1278	Gene
1277	InflGene
7535	Gene
3932	Gene
3911	Gene
3912	Gene
7057	Gene
7133	InflGene
7059	Gene
102465836	Gene
3568	Gene
3566	InflGene
7448	Gene
5580	Gene
6198	Gene
5781	Gene
6654	Gene
3065	Gene
9021	Gene
572	Gene
2885	Gene
598	Gene
8648	Gene
639	Gene
5879	Gene
51701	Gene
2549	Gene
3659	InflGene
7297	Gene
5295	Gene
5296	Gene
6464	Gene
7432	InflGene
3055	Gene
2063	Gene
183	Gene
3726	Gene
1387	Gene
6416	Gene
5604	Gene
5605	Gene
7409	Gene
920	Gene
929	InflGene
114609	Gene
6850	Gene
3661	Gene
23643	Gene
2921	Gene
83593	Gene
353376	Gene
387	Gene
3929	Gene
7305	Gene
868	Gene
6714	Gene
3627	InflGene
56729	InflGene
5291	Gene
5294	Gene
208	Gene
23236	Gene
5330	Gene
5331	Gene
5332	Gene
5335	Gene
5336	Gene
5333	Gene
84812	Gene
113026	Gene
51196	Gene
3708	Gene
7421	InflGene
5606	Gene
5608	Gene
1843	Gene
9282	Gene
2908	InflGene
4772	Gene
6256	Gene
4088	Gene
4089	Gene
5530	Gene
5534	Gene
80142	Gene
5731	Gene
5732	Gene
5733	Gene
5734	Gene
2099	Gene
1588	Gene
3845	InflGene
4893	Gene
3265	Gene
673	Gene
51365	Gene
1956	InflGene
4057	InflGene
54210	Gene
3439	Gene
3683	Gene
3827	InflGene
6403	InflGene
6404	Gene
51295	Gene
3556	Gene
3557	InflGene
11213	Gene
4212	Gene
54472	Gene
6384	Gene
1230	Gene
1233	Gene
1234	InflGene
1236	InflGene
2833	InflGene
3594	Gene
3595	Gene
8809	Gene
644	Gene
645	Gene
3587	InflGene
3588	InflGene
6773	Gene
7214	Gene
