source	target
Inflammation	10000
Inflammation	10000
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	10000
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1001
Vitamin_B12	100129518
Vitamin_B12	100129518
NFkB	100313781
Vitamin_B12	100313781
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	100313781
Diseases	10144
Vitamin_B12	102465534
Vitamin_B12	102724560
NFkB	10333
NFkB	10392
NFkB	10392
NFkB	10454
NFkB	10454
Cytokines	10454
Cytokines	1051
Diseases	1051
Cytokines	1052
Cytokines	105369230
Cytokines	10758
Vitamin_B12	107986404
NFkB	10910
NFkB	11035
Vitamin_B12	110384692
Immune_cell_regulation	110384692
Cytokines	11213
NFkB	112398
Immune_cell_regulation	11251
Cytokines	112744
Inflammation	113026
NFkB	114548
Vitamin_B12	114548
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	114609
NFkB	1147
NFkB	1147
NFkB	1147
NFkB	1147
Cytokines	1147
Inflammation	1147
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	1147
Vitamin_B12	12
Diseases	1215
Immune_cell_regulation	1230
Vitamin_B12	1232
Immune_cell_regulation	1232
Diseases	1232
Immune_cell_regulation	1233
Immune_cell_regulation	1234
Immune_cell_regulation	1236
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1282
Cytokines	132014
Cytokines	1387
Vitamin_B12	1401
Cytokines	1401
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	1401
NFkB	1432
Cytokines	1432
Inflammation	1432
Cytokines	1435
NFkB	1437
Cytokines	1437
Immune_cell_regulation	1437
Diseases	1437
Cytokines	1440
Diseases	1440
NFkB	148022
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	148022
Diseases	1490
Vitamin_B12	1491
Allograft_rejection	1493
Cytokines	1499
Diseases	1499
NFkB	1499
Inflammation	1588
NFkB	177
NFkB	177
Inflammation	177
Cytokines	183
Diseases	1832
Vitamin_B12	1839
Vitamin_B12	19
Diseases	1906
Diseases	1950
Inflammation	1956
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	196
Inflammation	1991
Cytokines	1991
NFkB	1991
Vitamin_B12	1991
Diseases	2006
Cytokines	2063
Cytokines	207
Cytokines	207
Inflammation	207
Inflammation	207
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	207
Inflammation	208
Inflammation	208
Inflammation	2099
Vitamin_B12	213
Vitamin_B12	2147
Vitamin_B12	2147
Vitamin_B12	2149
Vitamin_B12	2155
Vitamin_B12	2205
Diseases	2246
Diseases	2247
Diseases	2252
NFkB	22861
NFkB	22900
NFkB	23118
NFkB	23118
Inflammation	23236
Diseases	23250
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	2335
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	23643
Cytokines	23765
Cytokines	2549
Diseases	255520
NFkB	257397
NFkB	257397
NFkB	260434
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	2625
Diseases	26585
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	2672
Vitamin_B12	2694
Cytokines	27189
Cytokines	27190
Immune_cell_regulation	2833
Cytokines	2885
Inflammation	2908
NFkB	2908
NFkB	29108
NFkB	2919
Cytokines	2919
NFkB	2920
NFkB	2920
Cytokines	2920
Diseases	2920
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	2921
Cytokines	2932
Cytokines	2932
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	30009
Immune_cell_regulation	301
Inflammation	301
Diseases	301
Cytokines	301
Vitamin_B12	3039
Vitamin_B12	3043
Cytokines	3055
Cytokines	3065
Diseases	3082
Cytokines	3122
Cytokines	3123
NFkB	3146
NFkB	3146
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3162
Diseases	3162
Inflammation	3265
Vitamin_B12	326625
NFkB	329
NFkB	329
NFkB	330
NFkB	330
NFkB	331
NFkB	332
NFkB	3320
NFkB	3326
NFkB	3329
Vitamin_B12	335
Vitamin_B12	338
NFkB	3383
Vitamin_B12	3383
Vitamin_B12	3383
Immune_cell_regulation	3383
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3398
Cytokines	3439
Inflammation	3439
Cytokines	3456
Cytokines	3456
Inflammation	3456
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3456
Vitamin_B12	3458
Vitamin_B12	3458
Cytokines	3458
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3458
Allograft_rejection	3458
Immune_cell_regulation	3458
Immune_cell_regulation	3459
Immune_cell_regulation	3460
Diseases	3479
Vitamin_B12	348
NFkB	351
NFkB	351
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	353376
Allograft_rejection	355
NFkB	3551
NFkB	3551
NFkB	3551
NFkB	3551
Cytokines	3551
Cytokines	3551
Inflammation	3551
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3551
NFkB	3552
NFkB	3552
Cytokines	3552
Cytokines	3552
Inflammation	3552
Immune_cell_regulation	3552
NFkB	3553
NFkB	3553
Vitamin_B12	3553
Vitamin_B12	3553
Cytokines	3553
Cytokines	3553
Inflammation	3553
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3553
Diseases	3553
Vitamin_B12	3554
Cytokines	3554
Cytokines	3556
Cytokines	3557
NFkB	3558
Cytokines	3558
Allograft_rejection	3558
Immune_cell_regulation	3558
NFkB	356
Cytokines	3562
Cytokines	3565
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3565
Allograft_rejection	3565
Immune_cell_regulation	3565
Diseases	3565
Immune_cell_regulation	3566
Cytokines	3567
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3567
Allograft_rejection	3567
Immune_cell_regulation	3567
Diseases	3567
NFkB	3569
NFkB	3569
Vitamin_B12	3569
Cytokines	3569
Cytokines	3569
Cytokines	3569
Inflammation	3569
Inflammation	3569
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3569
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3569
Immune_cell_regulation	3569
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3569
Diseases	3569
Cytokines	3570
Cytokines	3572
Cytokines	3574
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3574
NFkB	3576
NFkB	3576
Inflammation	3576
Inflammation	3576
Immune_cell_regulation	3576
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3576
Diseases	3576
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3578
Cytokines	3586
Allograft_rejection	3586
Cytokines	3589
Inflammation	3592
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3592
Allograft_rejection	3592
Immune_cell_regulation	3592
Cytokines	3593
Inflammation	3593
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3593
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3593
Immune_cell_regulation	3593
Diseases	3593
Immune_cell_regulation	3594
Immune_cell_regulation	3595
Cytokines	3596
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3596
Diseases	3596
Cytokines	3600
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3600
Cytokines	3605
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3605
NFkB	3606
Vitamin_B12	3606
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3606
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3627
Vitamin_B12	3630
Vitamin_B12	3643
NFkB	3654
NFkB	3654
Vitamin_B12	3654
Cytokines	3654
Inflammation	3654
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3654
NFkB	3656
Cytokines	3656
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3656
Cytokines	3659
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3661
Immune_cell_regulation	3676
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	3681
Immune_cell_regulation	3683
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3684
Immune_cell_regulation	3688
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3689
Immune_cell_regulation	3689
Inflammation	3708
Cytokines	3716
Cytokines	3716
