Pathway	entrezgene	Type	Type.1
Allograft rejection	7124	InflGene	Cluster
Allograft rejection	3002	Gene	Cluster
Allograft rejection	3123	InflGene	Cluster
Allograft rejection	3122	Gene	Cluster
Allograft rejection	7040	InflGene	Cluster
Allograft rejection	3559	InflGene	Cluster
Allograft rejection	3119	InflGene	Cluster
Allograft rejection	3558	InflGene	Cluster
Allograft rejection	3118	Gene	Cluster
Allograft rejection	355	InflGene	Cluster
Allograft rejection	3117	InflGene	Cluster
Allograft rejection	356	InflGene	Cluster
Allograft rejection	3115	Gene	Cluster
Allograft rejection	3553	InflGene	Cluster
Allograft rejection	3113	Gene	Cluster
Allograft rejection	105369230	Gene	Cluster
Allograft rejection	958	InflGene	Cluster
Allograft rejection	959	InflGene	Cluster
Allograft rejection	718	InflGene	Cluster
Allograft rejection	5551	Gene	Cluster
Allograft rejection	3134	Gene	Cluster
Allograft rejection	3133	Gene	Cluster
Allograft rejection	3567	InflGene	Cluster
Allograft rejection	3127	Gene	Cluster
Allograft rejection	720	InflGene	Cluster
Allograft rejection	841	Gene	Cluster
Allograft rejection	3565	InflGene	Cluster
Allograft rejection	721	InflGene	Cluster
Allograft rejection	727	InflGene	Cluster
Allograft rejection	729	Gene	Cluster
Allograft rejection	3605	InflGene	Cluster
Allograft rejection	7422	InflGene	Cluster
Allograft rejection	5243	InflGene	Cluster
Allograft rejection	6772	Gene	Cluster
Allograft rejection	3458	InflGene	Cluster
Allograft rejection	730	Gene	Cluster
Allograft rejection	3576	InflGene	Cluster
Allograft rejection	3135	Gene	Cluster
Allograft rejection	50616	InflGene	Cluster
Allograft rejection	6387	InflGene	Cluster
Allograft rejection	3552	InflGene	Cluster
Allograft rejection	3596	InflGene	Cluster
Allograft rejection	3112	Gene	Cluster
Allograft rejection	3111	Gene	Cluster
Allograft rejection	1493	InflGene	Cluster
Allograft rejection	3593	InflGene	Cluster
Allograft rejection	3592	InflGene	Cluster
Allograft rejection	3109	Gene	Cluster
Allograft rejection	3108	Gene	Cluster
Allograft rejection	3107	Gene	Cluster
Allograft rejection	3106	InflGene	Cluster
Allograft rejection	3105	InflGene	Cluster
Allograft rejection	940	Gene	Cluster
Allograft rejection	941	Gene	Cluster
Allograft rejection	3586	InflGene	Cluster
Allograft rejection	942	Gene	Cluster
Allograft rejection	50943	InflGene	Cluster
Allograft rejection	652614	Gene	Cluster
Allograft rejection	3126	Gene	Cluster
Allograft rejection	3125	Gene	Cluster
Diseases	7124	InflGene	Cluster
Diseases	6356	InflGene	Cluster
Diseases	3123	InflGene	Cluster
Diseases	3562	Gene	Cluster
Diseases	3122	Gene	Cluster
Diseases	3119	InflGene	Cluster
Diseases	2205	Gene	Cluster
Diseases	3118	Gene	Cluster
Diseases	3117	InflGene	Cluster
Diseases	3578	Gene	Cluster
Diseases	3115	Gene	Cluster
Diseases	3113	Gene	Cluster
Diseases	958	InflGene	Cluster
Diseases	959	InflGene	Cluster
Diseases	3112	Gene	Cluster
Diseases	3596	InflGene	Cluster
Diseases	3111	Gene	Cluster
Diseases	3109	Gene	Cluster
Diseases	3108	Gene	Cluster
Diseases	3127	Gene	Cluster
Diseases	3567	InflGene	Cluster
Diseases	3126	Gene	Cluster
Diseases	3125	Gene	Cluster
Diseases	3565	InflGene	Cluster
Diseases	3586	InflGene	Cluster
Diseases	6037	Gene	Cluster
Diseases	2207	Gene	Cluster
Diseases	2206	Gene	Cluster
Diseases	8288	Gene	Cluster
Diseases	5553	Gene	Cluster
Allograft rejection	3569	InflGene	Cluster
Allograft rejection	3811	Gene	Cluster
Allograft rejection	3812	Gene	Cluster
Allograft rejection	57292	Gene	Cluster
Allograft rejection	3803	Gene	Cluster
Allograft rejection	3804	Gene	Cluster
Allograft rejection	3821	Gene	Cluster
Allograft rejection	3802	Gene	Cluster
Allograft rejection	3824	Gene	Cluster
Diseases	7040	InflGene	Cluster
Diseases	9020	Gene	Cluster
Diseases	3558	InflGene	Cluster
Diseases	10673	InflGene	Cluster
Diseases	3676	Gene	Cluster
Diseases	6387	InflGene	Cluster
Diseases	7852	Gene	Cluster
Diseases	3569	InflGene	Cluster
Diseases	115650	InflGene	Cluster
Diseases	3600	InflGene	Cluster
Diseases	940	Gene	Cluster
Diseases	941	Gene	Cluster
Diseases	942	Gene	Cluster
Diseases	5284	Gene	Cluster
Diseases	23308	Gene	Cluster
Diseases	4055	Gene	Cluster
Diseases	8174	Gene	Cluster
Diseases	6370	Gene	Cluster
Diseases	56477	Gene	Cluster
Diseases	10850	Gene	Cluster
Diseases	2826	Gene	Cluster
Diseases	8741	Gene	Cluster
Diseases	3695	Gene	Cluster
Diseases	3601	Gene	Cluster
Diseases	10803	Gene	Cluster
Diseases	29851	Gene	Cluster
Diseases	57379	Gene	Cluster
Diseases	23495	Gene	Cluster
Diseases	608	Gene	Cluster
Immune cell regulation	7043	Gene	Cluster
Immune cell regulation	7124	InflGene	Cluster
Immune cell regulation	3684	Gene	Cluster
Immune cell regulation	3123	InflGene	Cluster
Immune cell regulation	3122	Gene	Cluster
Immune cell regulation	7040	InflGene	Cluster
Immune cell regulation	7042	Gene	Cluster
Immune cell regulation	3716	Gene	Cluster
Immune cell regulation	3119	InflGene	Cluster
Immune cell regulation	3717	InflGene	Cluster
Immune cell regulation	3118	Gene	Cluster
Immune cell regulation	3117	InflGene	Cluster
Immune cell regulation	3115	Gene	Cluster
Immune cell regulation	3553	InflGene	Cluster
Immune cell regulation	3113	Gene	Cluster
Immune cell regulation	3676	Gene	Cluster
Immune cell regulation	4843	InflGene	Cluster
Immune cell regulation	10454	Gene	Cluster
Immune cell regulation	718	InflGene	Cluster
Immune cell regulation	7099	InflGene	Cluster
Immune cell regulation	5594	Gene	Cluster
Immune cell regulation	5595	Gene	Cluster
Immune cell regulation	6885	Gene	Cluster
Immune cell regulation	7097	InflGene	Cluster
Immune cell regulation	3127	Gene	Cluster
Immune cell regulation	3126	Gene	Cluster
Immune cell regulation	51135	Gene	Cluster
Immune cell regulation	3125	Gene	Cluster
Immune cell regulation	3565	InflGene	Cluster
Immune cell regulation	5743	InflGene	Cluster
Immune cell regulation	3688	Gene	Cluster
Immune cell regulation	3689	Gene	Cluster
Immune cell regulation	4615	InflGene	Cluster
Immune cell regulation	3725	Gene	Cluster
Immune cell regulation	4790	InflGene	Cluster
Immune cell regulation	7189	Gene	Cluster
Immune cell regulation	4792	InflGene	Cluster
Immune cell regulation	6772	Gene	Cluster
Immune cell regulation	4793	Gene	Cluster
Immune cell regulation	3460	Gene	Cluster
Immune cell regulation	3459	Gene	Cluster
Immune cell regulation	3458	InflGene	Cluster
Immune cell regulation	1432	InflGene	Cluster
Immune cell regulation	3654	Gene	Cluster
Immune cell regulation	6300	Gene	Cluster
Immune cell regulation	5970	InflGene	Cluster
Immune cell regulation	3112	Gene	Cluster
Immune cell regulation	3552	InflGene	Cluster
Immune cell regulation	3111	Gene	Cluster
Immune cell regulation	3593	InflGene	Cluster
Immune cell regulation	3592	InflGene	Cluster
Immune cell regulation	23118	Gene	Cluster
Immune cell regulation	3109	Gene	Cluster
Immune cell regulation	3108	Gene	Cluster
Immune cell regulation	2214	InflGene	Cluster
Immune cell regulation	2212	InflGene	Cluster
Immune cell regulation	3586	InflGene	Cluster
Immune cell regulation	5600	Gene	Cluster
Immune cell regulation	5603	Gene	Cluster
Immune cell regulation	9103	Gene	Cluster
Immune cell regulation	2353	Gene	Cluster
Immune cell regulation	1535	Gene	Cluster
Immune cell regulation	1378	Gene	Cluster
Immune cell regulation	5579	Gene	Cluster
Immune cell regulation	5777	Gene	Cluster
Immune cell regulation	4688	Gene	Cluster
Immune cell regulation	4689	Gene	Cluster
Immune cell regulation	65108	Gene	Cluster
Immune cell regulation	2002	Gene	Cluster
Immune cell regulation	2209	Gene	Cluster
Immune cell regulation	653361	Gene	Cluster
Immune cell regulation	2215	Gene	Cluster
NFkB	6352	InflGene	Cluster
NFkB	7124	InflGene	Cluster
NFkB	4210	InflGene	Cluster
NFkB	6356	InflGene	Cluster
NFkB	3320	Gene	Cluster
NFkB	114548	InflGene	Cluster
NFkB	3553	InflGene	Cluster
NFkB	6347	InflGene	Cluster
NFkB	834	InflGene	Cluster
NFkB	8767	Gene	Cluster
NFkB	10454	Gene	Cluster
NFkB	5594	Gene	Cluster
NFkB	5595	Gene	Cluster
NFkB	6885	Gene	Cluster
NFkB	64127	InflGene	Cluster
NFkB	3569	InflGene	Cluster
NFkB	1147	Gene	Cluster
NFkB	841	Gene	Cluster
NFkB	2919	InflGene	Cluster
NFkB	329	Gene	Cluster
NFkB	3606	InflGene	Cluster
NFkB	4790	InflGene	Cluster
NFkB	7189	Gene	Cluster
NFkB	10392	InflGene	Cluster
NFkB	4792	InflGene	Cluster
NFkB	4793	Gene	Cluster
NFkB	330	Gene	Cluster
NFkB	2920	InflGene	Cluster
NFkB	1432	InflGene	Cluster
NFkB	3576	InflGene	Cluster
NFkB	5599	Gene	Cluster
NFkB	6300	Gene	Cluster
NFkB	5970	InflGene	Cluster
NFkB	3551	Gene	Cluster
NFkB	257397	Gene	Cluster
NFkB	23118	Gene	Cluster
NFkB	5600	Gene	Cluster
NFkB	8517	Gene	Cluster
NFkB	5603	Gene	Cluster
NFkB	59082	Gene	Cluster
NFkB	6355	Gene	Cluster
NFkB	6354	Gene	Cluster
NFkB	6357	Gene	Cluster
NFkB	29108	Gene	Cluster
NFkB	838	Gene	Cluster
NFkB	58484	Gene	Cluster
NFkB	3326	Gene	Cluster
NFkB	7205	Gene	Cluster
NFkB	7128	Gene	Cluster
NFkB	84674	Gene	Cluster
NFkB	4671	Gene	Cluster
NFkB	260434	Gene	Cluster
NFkB	7184	Gene	Cluster
NFkB	10910	Gene	Cluster
NFkB	331	Gene	Cluster
NFkB	64170	Gene	Cluster
NFkB	22900	Gene	Cluster
NFkB	9051	Gene	Cluster
NFkB	22861	Gene	Cluster
NFkB	5601	Gene	Cluster
NFkB	5602	Gene	Cluster
NFkB	55914	Gene	Cluster
Diseases	3002	Gene	Cluster
Diseases	652614	Gene	Cluster
Diseases	3458	InflGene	Cluster
Diseases	355	InflGene	Cluster
Diseases	356	InflGene	Cluster
Diseases	3553	InflGene	Cluster
Diseases	3135	Gene	Cluster
Diseases	3630	Gene	Cluster
Diseases	4049	InflGene	Cluster
Diseases	5551	Gene	Cluster
Diseases	3134	Gene	Cluster
Diseases	3552	InflGene	Cluster
Diseases	3133	Gene	Cluster
Diseases	3593	InflGene	Cluster
Diseases	3592	InflGene	Cluster
Diseases	3329	InflGene	Cluster
Diseases	3107	Gene	Cluster
Diseases	3106	InflGene	Cluster
Diseases	3105	InflGene	Cluster
Diseases	1363	Gene	Cluster
Diseases	2572	Gene	Cluster
Diseases	2571	Gene	Cluster
Diseases	3382	Gene	Cluster
Diseases	5798	Gene	Cluster
Diseases	5799	Gene	Cluster
NFkB	6285	Gene	Cluster
NFkB	7098	InflGene	Cluster
NFkB	4791	InflGene	Cluster
NFkB	6288	InflGene	Cluster
NFkB	6283	InflGene	Cluster
NFkB	148022	Gene	Cluster
NFkB	351	Gene	Cluster
NFkB	177	InflGene	Cluster
NFkB	3146	InflGene	Cluster
NFkB	81030	Gene	Cluster
NFkB	8737	Gene	Cluster
NFkB	11035	Gene	Cluster
NFkB	3654	Gene	Cluster
NFkB	3656	Gene	Cluster
NFkB	4214	Gene	Cluster
NFkB	7186	Gene	Cluster
NFkB	64135	Gene	Cluster
NFkB	23586	Gene	Cluster
NFkB	57506	Gene	Cluster
NFkB	84282	Gene	Cluster
NFkB	7706	Gene	Cluster
Allograft rejection	2551	Gene	Cluster
Allograft rejection	1459	Gene	Cluster
Allograft rejection	2668	Gene	Cluster
Allograft rejection	712	Gene	Cluster
Allograft rejection	713	Gene	Cluster
Allograft rejection	10376	Gene	Cluster
Allograft rejection	714	Gene	Cluster
Allograft rejection	836	Gene	Cluster
Allograft rejection	717	Gene	Cluster
Allograft rejection	10578	Gene	Cluster
Allograft rejection	6363	Gene	Cluster
Allograft rejection	6366	Gene	Cluster
Allograft rejection	5156	Gene	Cluster
Allograft rejection	5590	Gene	Cluster
Allograft rejection	840	Gene	Cluster
Allograft rejection	643	Gene	Cluster
Allograft rejection	120892	Gene	Cluster
Allograft rejection	842	Gene	Cluster
Allograft rejection	6373	Gene	Cluster
Allograft rejection	59067	Gene	Cluster
Allograft rejection	23743	Gene	Cluster
Allograft rejection	731	Gene	Cluster
Allograft rejection	732	Gene	Cluster
Allograft rejection	55825	Gene	Cluster
Allograft rejection	735	Gene	Cluster
Allograft rejection	4283	Gene	Cluster
Allograft rejection	7431	Gene	Cluster
Allograft rejection	100507436	Gene	Cluster
Allograft rejection	3035	Gene	Cluster
Allograft rejection	185	Gene	Cluster
Allograft rejection	1289	Gene	Cluster
Allograft rejection	10563	Gene	Cluster
Allograft rejection	1604	Gene	Cluster
Immune cell regulation	7412	InflGene	Cluster
Immune cell regulation	3383	InflGene	Cluster
Immune cell regulation	3827	InflGene	Cluster
Immune cell regulation	3569	InflGene	Cluster
Immune cell regulation	730	Gene	Cluster
Immune cell regulation	3576	InflGene	Cluster
Immune cell regulation	6403	InflGene	Cluster
Immune cell regulation	727	InflGene	Cluster
Immune cell regulation	729	Gene	Cluster
Immune cell regulation	3683	Gene	Cluster
Immune cell regulation	6404	Gene	Cluster
Cytokines	7124	InflGene	Cluster
Cytokines	1440	Gene	Cluster
Cytokines	3123	InflGene	Cluster
Cytokines	3562	Gene	Cluster
Cytokines	3122	Gene	Cluster
Cytokines	7040	InflGene	Cluster
Cytokines	1437	InflGene	Cluster
Cytokines	1435	InflGene	Cluster
Cytokines	3558	InflGene	Cluster
Cytokines	2920	InflGene	Cluster
Cytokines	3458	InflGene	Cluster
Cytokines	3456	Gene	Cluster
Cytokines	3553	InflGene	Cluster
Cytokines	105369230	Gene	Cluster
Cytokines	5154	Gene	Cluster
Cytokines	3552	InflGene	Cluster
Cytokines	3596	InflGene	Cluster
Cytokines	3574	Gene	Cluster
Cytokines	3593	InflGene	Cluster
Cytokines	3569	InflGene	Cluster
Cytokines	3600	InflGene	Cluster
Cytokines	3567	InflGene	Cluster
Cytokines	3589	Gene	Cluster
Cytokines	3565	InflGene	Cluster
Cytokines	3586	InflGene	Cluster
Cytokines	920	Gene	Cluster
Cytokines	2919	InflGene	Cluster
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	7124	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	2625	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	64806	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3458	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3578	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	51561	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3553	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	30009	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	50616	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	85480	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3574	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3596	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3593	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3592	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3569	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3600	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3567	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3565	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	90865	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3606	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3605	InflGene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	9760	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	2672	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	196	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	6095	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	374	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	6927	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	8320	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	4783	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	3398	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	64919	Gene	Pathway
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	7704	Gene	Pathway
NFkB	100313781	Gene	Cluster
NFkB	6364	InflGene	Cluster
NFkB	9020	Gene	Cluster
NFkB	3456	Gene	Cluster
NFkB	9260	Gene	Cluster
NFkB	7185	Gene	Cluster
NFkB	4215	Gene	Cluster
NFkB	8717	Gene	Cluster
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	929	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	5340	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7189	Gene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4790	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	7124	InflGene	Pathway
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	3684	Gene	Pathway
