Key	Type
WP_OVERVIEW_OF_NANOPARTICLE_EFFECTS	Process
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	Process
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY	Process
Vitamin_B12	Process
NFkB	Process
Inflammation	Process
Immune_cell_regulation	Process
Diseases	Process
Cytokines	Process
Allograft_rejection	Process
10000	Gene
1001	Gene
100129518	Gene
100313781	Gene
10144	Gene
102465534	Gene
102724560	Gene
10333	Gene
10392	InflGene
10454	Gene
1051	Gene
1052	Gene
105369230	Gene
10758	Gene
107986404	Gene
10910	Gene
11035	Gene
110384692	InflGene
11213	Gene
112398	Gene
11251	InflGene
112744	Gene
113026	Gene
114548	InflGene
114609	Gene
1147	Gene
12	Gene
1215	Gene
1230	Gene
1232	Gene
1233	Gene
1234	Gene
1236	InflGene
1282	Gene
132014	Gene
1387	Gene
1401	InflGene
1432	InflGene
1435	InflGene
1437	InflGene
1440	Gene
148022	Gene
1490	Gene
1491	Gene
1493	Gene
1499	InflGene
1588	Gene
177	InflGene
183	Gene
1832	Gene
1839	Gene
19	Gene
1906	InflGene
1950	Gene
1956	Gene
196	Gene
1991	InflGene
2006	Gene
2063	Gene
207	InflGene
208	Gene
2099	Gene
213	Gene
2147	InflGene
2149	Gene
2155	Gene
2205	Gene
2246	Gene
2247	InflGene
2252	Gene
22861	Gene
22900	Gene
23118	Gene
23236	Gene
23250	Gene
2335	Gene
23643	Gene
23765	Gene
2549	Gene
255520	Gene
257397	Gene
260434	Gene
2625	InflGene
26585	Gene
2672	Gene
2694	Gene
27189	Gene
27190	Gene
2833	InflGene
2885	Gene
2908	InflGene
29108	Gene
2919	InflGene
2920	InflGene
2921	Gene
2932	Gene
30009	InflGene
301	InflGene
3039	Gene
3043	Gene
3055	Gene
3065	Gene
3082	Gene
3122	Gene
3123	Gene
3146	InflGene
3162	InflGene
3265	Gene
326625	Gene
329	Gene
330	Gene
331	Gene
332	Gene
3320	Gene
3326	Gene
3329	InflGene
335	InflGene
338	Gene
3383	InflGene
3398	Gene
3439	Gene
3456	Gene
3458	InflGene
3459	Gene
3460	Gene
3479	Gene
348	Gene
351	Gene
353376	Gene
355	InflGene
3551	Gene
3552	InflGene
3553	InflGene
3554	Gene
3556	Gene
3557	InflGene
3558	Gene
356	InflGene
3562	Gene
3565	Gene
3566	InflGene
3567	Gene
3569	InflGene
3570	Gene
3572	Gene
3574	Gene
3576	InflGene
3578	Gene
3586	InflGene
3589	Gene
3592	InflGene
3593	InflGene
3594	Gene
3595	Gene
3596	InflGene
3600	InflGene
3605	InflGene
3606	InflGene
3627	InflGene
3630	Gene
3643	Gene
3654	Gene
3656	Gene
3659	InflGene
3661	Gene
3676	Gene
3681	Gene
3683	Gene
3684	Gene
3688	Gene
3689	Gene
3708	Gene
3716	Gene
3717	InflGene
3725	Gene
3726	Gene
374	Gene
3827	InflGene
3845	Gene
387	Gene
3909	Gene
3929	Gene
3934	InflGene
3949	Gene
3952	InflGene
4036	Gene
4057	InflGene
4092	Gene
4143	Gene
4204	Gene
4210	InflGene
4212	Gene
4312	InflGene
4313	InflGene
4314	InflGene
4318	InflGene
4353	InflGene
4502	Gene
4524	Gene
4548	Gene
4594	Gene
4615	InflGene
4671	Gene
4780	Gene
4783	Gene
4790	InflGene
4791	Gene
4792	Gene
4793	Gene
4798	Gene
4803	InflGene
4843	InflGene
4893	Gene
5054	InflGene
50616	InflGene
5073	Gene
50943	InflGene
51135	Gene
51196	Gene
51284	Gene
51295	Gene
51311	Gene
51365	Gene
5154	Gene
5155	Gene
51561	InflGene
51701	Gene
51750	Gene
5265	InflGene
5290	Gene
5291	Gene
5293	Gene
5294	Gene
5295	Gene
5296	Gene
5327	InflGene
5328	Gene
5330	Gene
5331	Gene
5332	Gene
5333	Gene
53342	Gene
5335	Gene
5336	Gene
5340	Gene
54106	InflGene
54210	Gene
5443	InflGene
54472	Gene
5465	InflGene
54756	Gene
55540	Gene
5580	Gene
55914	Gene
5594	Gene
5595	Gene
5599	Gene
5600	Gene
5601	Gene
5602	Gene
5603	Gene
5604	Gene
5605	Gene
5606	Gene
5608	Gene
56729	InflGene
57105	Gene
572	Gene
5731	Gene
5732	Gene
5733	Gene
5734	Gene
5742	Gene
5743	InflGene
5747	Gene
5781	Gene
5806	InflGene
581	Gene
58484	Gene
5879	Gene
59082	Gene
595	Gene
596	Gene
5966	Gene
597	Gene
5970	InflGene
5971	Gene
598	Gene
599	Gene
6095	Gene
6198	Gene
6280	InflGene
6283	InflGene
6285	Gene
6288	InflGene
6289	Gene
6290	Gene
6291	Gene
6300	Gene
6347	InflGene
6348	InflGene
6351	InflGene
6352	InflGene
6354	Gene
6355	Gene
6356	InflGene
6357	Gene
6364	InflGene
6387	InflGene
639	Gene
6401	InflGene
6403	InflGene
6404	Gene
64127	InflGene
6416	Gene
64170	Gene
6440	Gene
6464	Gene
6472	Gene
64806	Gene
64919	Gene
6498	Gene
653509	Gene
655	Gene
6647	InflGene
6649	Gene
6654	Gene
6667	Gene
6696	InflGene
671	InflGene
6714	Gene
673	Gene
6772	Gene
6774	InflGene
6850	Gene
6885	Gene
6927	Gene
6947	Gene
6948	Gene
7015	Gene
7018	InflGene
7039	Gene
7040	InflGene
7042	Gene
7043	Gene
7076	InflGene
7077	Gene
7096	Gene
7097	InflGene
7098	InflGene
7099	InflGene
7100	Gene
7124	InflGene
7128	InflGene
7132	InflGene
7157	InflGene
718	InflGene
7184	Gene
7187	Gene
7189	Gene
7205	Gene
727	InflGene
727897	Gene
729	Gene
729230	Gene
729238	Gene
7297	Gene
730	Gene
7305	Gene
7334	Gene
7335	Gene
7409	Gene
7412	InflGene
7422	InflGene
7432	InflGene
7450	InflGene
7704	Gene
7852	Gene
7941	Gene
796	InflGene
79991	Gene
80142	Gene
8029	Gene
81030	Gene
81793	Gene
8320	Gene
834	InflGene
83593	Gene
838	Gene
841	Gene
84674	Gene
84693	Gene
84812	Gene
84818	Gene
8517	Gene
85480	InflGene
8648	Gene
868	Gene
8737	Gene
8767	Gene
8809	Gene
8837	Gene
896	Gene
8991	Gene
9020	Gene
9021	Gene
9051	Gene
90865	InflGene
91039	Gene
920	Gene
92610	Gene
929	Gene
9370	InflGene
940	Gene
941	Gene
942	Gene
949	Gene
958	InflGene
959	InflGene
9672	Gene
9760	Gene
