source	target
Cytokines	JAK1
Cytokines	IL6ST
Cytokines	IL6R
Cytokines	IL6
Inflammation	MYD88
Inflammation	IRAK1
Inflammation	IL1B
Inflammation	IRAK4
Inflammation	IFNB1
Inflammation	TREM1
Inflammation	IFNA1
Inflammation	TLR2
Inflammation	IL1A
Inflammation	LTF
Inflammation	NFKB1
Inflammation	TRAF6
Inflammation	CD14
Inflammation	TLR4
Inflammation	PTK2
Inflammation	NFRKB
Inflammation	PTGS2
Inflammation	AKT3
Inflammation	PTGS1
Inflammation	LAMA3
Inflammation	CDH3
Inflammation	CXCL8
Inflammation	CCND3
Inflammation	FN1
Inflammation	CRP
Inflammation	BCL2
Inflammation	IL6
Inflammation	PIK3CD
Inflammation	BAX
Inflammation	HMOX1
Inflammation	COL4A1
Inflammation	TNF
Inflammation	ITGAD
Inflammation	PSTPIP1
Inflammation	CASP1
Inflammation	TXN
Inflammation	P2RX7
Inflammation	MEFV
Inflammation	HSP90AB1
Inflammation	PYCARD
Inflammation	PANX1
Inflammation	NLRP3
Inflammation	TXNIP
Inflammation	CAPZA2
Inflammation	CAPZA1
Inflammation	SAA1
Inflammation	S100B
Inflammation	S100A12
Inflammation	MAPK3
Inflammation	MAPK1
Inflammation	PRKCSH
Inflammation	LGALS3
Inflammation	APP
Inflammation	HMGB1
Inflammation	AGER
Inflammation	DDOST
NFkB	MAP2K1
NFkB	PLAU
NFkB	ITGAV
NFkB	MAP3K14
NFkB	SPP1
NFkB	ITGB3
NFkB	TBK1
NFkB	TICAM2
NFkB	TOLLIP
NFkB	IRF3
NFkB	TIRAP
NFkB	IKBKE
NFkB	TRAF3
NFkB	MMP9
NFkB	CFLAR
NFkB	REL
NFkB	MMP3
NFkB	MMP2
NFkB	PTGS2
NFkB	MMP1
NFkB	VCAM1
NFkB	EGLN2
NFkB	RELB
NFkB	SELE
NFkB	TNFRSF1A
NFkB	CD40LG
NFkB	BCL2L2
NFkB	BCL2A1
NFkB	BIRC5
NFkB	IL2
NFkB	CCND1
NFkB	CSF2
NFkB	ICAM1
NFkB	VEGFA
NFkB	JUN
NFkB	TLR6
NFkB	TLR10
NFkB	TLR1
NFkB	TLR2
NFkB	IL1A
NFkB	UBE2V1
NFkB	TIFA
NFkB	TLR5
NFkB	TLR4
NFkB	UBE2N
NFkB	TLR9
NFkB	TLR8
NFkB	TLR7
NFkB	IRAK4
NFkB	MYD88
NFkB	TMEM189-UBE2V1
NFkB	IRF7
NFkB	RNF135
NFkB	TRIM25
NFkB	TRAF2
NFkB	IFIH1
NFkB	MAVS
NFkB	MAP3K1
NFkB	DDX58
NFkB	IRAK2
NFkB	IRAK1
NFkB	RIPK1
NFkB	ZBP1
NFkB	TLR3
NFkB	SAA1
NFkB	S100B
NFkB	S100A12
NFkB	NFKB2
NFkB	APP
NFkB	HMGB1
NFkB	AGER
NFkB	
NFkB	RIPK3
NFkB	IL6
NFkB	TAB1
NFkB	HSP90AB1
NFkB	CXCL2
NFkB	BIRC2
NFkB	NAIP
NFkB	NLRP1
NFkB	NLRP3
NFkB	HSP90B1
NFkB	IL1B
NFkB	NLRC4
NFkB	TAB2
NFkB	PYCARD
NFkB	HSP90AA1
NFkB	TRAF6
NFkB	PYDC1
NFkB	RELA
NFkB	IL18
NFkB	MAPK12
NFkB	MAPK14
NFkB	MAPK8
NFkB	CARD9
NFkB	IKBKG
NFkB	MAPK1
NFkB	NFKBIA
NFkB	NFKBIB
NFkB	NFKB1
NFkB	PSTPIP1
NFkB	MAPK3
NFkB	SUGT1
NFkB	TNFAIP3
NFkB	CARD18
NFkB	CASP1
NFkB	MAP3K7
NFkB	NOD2
NFkB	IKBKB
NFkB	CASP5
NFkB	MAPK13
NFkB	ERBIN
NFkB	MAPK11
NFkB	MAPK10
NFkB	MAPK9
NFkB	CXCL8
NFkB	MEFV
NFkB	CCL7
NFkB	CARD8
NFkB	CCL8
NFkB	CCL11
NFkB	CCL13
NFkB	CARD6
NFkB	NOD1
NFkB	CCL5
NFkB	XIAP
NFkB	CCL2
NFkB	BIRC3
NFkB	TNF
NFkB	RIPK2
NFkB	CXCL1
NFkB	TAB3
NFkB	CHUK
NFkB	CASP8
NFkB	TRIP6
Angiogenesis	ATP6AP2
Angiogenesis	ACE
Angiogenesis	NR3C2
Angiogenesis	BDKRB2
Angiogenesis	BDKRB1
Angiogenesis	CYP11B2
Angiogenesis	CTSG
Angiogenesis	CMA1
Angiogenesis	KNG1
Angiogenesis	AGTR2
Angiogenesis	AGTR1
Angiogenesis	AGT
Angiogenesis	ACE2
Angiogenesis	
Angiogenesis	REN
Angiogenesis	MAS1
Angiogenesis	MMP9
Angiogenesis	NOS3
Angiogenesis	SRC
Angiogenesis	PTK2
Angiogenesis	AKT1
Angiogenesis	ARNT
Angiogenesis	PLCG1
Angiogenesis	FLT1
Angiogenesis	CREBBP
Angiogenesis	MAPK14
Angiogenesis	FGF2
Angiogenesis	ANGPT1
Angiogenesis	PIK3CA
Angiogenesis	FGFR2
Angiogenesis	PDGFRA
Angiogenesis	KDR
Angiogenesis	VEGFA
Angiogenesis	PDGFB
Angiogenesis	TIMP3
Angiogenesis	MAPK1
Angiogenesis	HIF1A
Angiogenesis	SMAD1
Angiogenesis	TEK
Angiogenesis	TIMP2
Development	BAX
Development	MMP9
Development	E2F1
Development	SOCS3
Development	IL6ST
Development	CDH1
Development	STAT3
Development	TP53
Development	MYC
Development	CHI3L1
Metabolism	IREB2
Metabolism	STEAP3
Metabolism	MCOLN1
Metabolism	SLC40A1
Metabolism	FTH1
Metabolism	TF
Metabolism	HAMP
Metabolism	TFR2
Metabolism	SLC11A2
Metabolism	TFRC
Metabolism	ACO1
Metabolism	HEPHL1
Metabolism	PARP1
Metabolism	FOXO1
Metabolism	FOXO3
Metabolism	NAMPT
Metabolism	SIRT1
Metabolism	SIRT3
Metabolism	PPARG
Metabolism	TFAM
Metabolism	HIF1A
Metabolism	NFKB1
Metabolism	ROS1
Immune	cellsC6
Immune	cellsC3
Immune	cellsITGB2
Immune	cellsC5
