source	target
Cytokines	GNB1
Cytokines	PTPN11
Cytokines	SHC1
Cytokines	PIK3R1
Cytokines	UBC
Cytokines	UBA52
Cytokines	GNG2
Cytokines	RPS27A
Cytokines	CD3E
Cytokines	UBB
Cytokines	CD44
Cytokines	CCL4
Cytokines	CCL3
Cytokines	STAT6
Cytokines	FOXP3
Cytokines	PTPN1
Cytokines	CXCL10
Inflammation	SHC1
Inflammation	ELANE
Inflammation	CCL4
Inflammation	UBC
Inflammation	PIK3R1
Inflammation	GNB1
Inflammation	UBA52
NFkB	RPS27A
NFkB	TNFSF14
NFkB	UBB
NFkB	UBC
NFkB	UBA52
NFkB	SHC1
NFkB	PTPN11
NFkB	PIK3R1
NFkB	CXCL10
NFkB	GNG2
NFkB	CXCR3
NFkB	CCL20
NFkB	GNB1
NFkB	CCL4
NFkB	POMC
NFkB	CD44
NFkB	DUSP10
NFkB	NGF
NFkB	EDN1
NFkB	PPARA
NFkB	ELANE
NFkB	CST3
NFkB	BDNF
NFkB	STAT6
Angiogenesis	GNB1
Angiogenesis	EDN1
Angiogenesis	GNG2
Angiogenesis	SHC1
Angiogenesis	PTPN11
Angiogenesis	VEGFC
Angiogenesis	PIK3R1
Angiogenesis	PGF
Angiogenesis	CXCR3
Angiogenesis	CCK
Angiogenesis	CNR2
Angiogenesis	ANXA1
Angiogenesis	POMC
Angiogenesis	CCL4
Angiogenesis	UBC
Angiogenesis	FGF1
Angiogenesis	NGF
Angiogenesis	F2R
Angiogenesis	LTB4R
Metabolism	UBA52
Metabolism	UBC
NFkB	TRIP6
NFkB	CASP8
NFkB	CHUK
NFkB	TAB3
NFkB	CXCL1
NFkB	RIPK2
NFkB	TNF
NFkB	BIRC3
NFkB	CCL2
NFkB	XIAP
NFkB	CCL5
NFkB	NOD1
NFkB	CARD6
NFkB	CCL13
NFkB	CCL11
NFkB	CCL8
NFkB	CARD8
NFkB	CCL7
NFkB	MEFV
NFkB	CXCL8
NFkB	MAPK9
NFkB	MAPK10
NFkB	MAPK11
NFkB	ERBIN
NFkB	MAPK13
NFkB	CASP5
NFkB	IKBKB
NFkB	NOD2
NFkB	MAP3K7
NFkB	CASP1
NFkB	CARD18
NFkB	TNFAIP3
NFkB	SUGT1
NFkB	MAPK3
NFkB	PSTPIP1
NFkB	NFKB1
NFkB	NFKBIB
NFkB	NFKBIA
NFkB	MAPK1
NFkB	IKBKG
NFkB	CARD9
NFkB	MAPK8
NFkB	MAPK14
NFkB	MAPK12
NFkB	IL18
NFkB	RELA
NFkB	PYDC1
NFkB	TRAF6
NFkB	HSP90AA1
NFkB	PYCARD
NFkB	TAB2
NFkB	NLRC4
NFkB	IL1B
NFkB	HSP90B1
NFkB	NLRP3
NFkB	NLRP1
NFkB	NAIP
NFkB	BIRC2
NFkB	CXCL2
NFkB	HSP90AB1
NFkB	TAB1
NFkB	IL6
NFkB	RIPK3
NFkB	
NFkB	AGER
NFkB	HMGB1
NFkB	APP
NFkB	NFKB2
NFkB	S100A12
NFkB	S100B
NFkB	SAA1
NFkB	TLR3
NFkB	ZBP1
NFkB	RIPK1
NFkB	IRAK1
NFkB	IRAK2
NFkB	DDX58
NFkB	MAP3K1
NFkB	MAVS
NFkB	IFIH1
NFkB	TRAF2
NFkB	TRIM25
NFkB	RNF135
NFkB	IRF7
NFkB	TMEM189-UBE2V1
NFkB	MYD88
NFkB	IRAK4
NFkB	TLR7
NFkB	TLR8
NFkB	TLR9
NFkB	UBE2N
Inflammation	DDOST
Inflammation	AGER
Inflammation	HMGB1
Inflammation	APP
Inflammation	LGALS3
Inflammation	PRKCSH
Inflammation	MAPK1
Inflammation	MAPK3
Inflammation	S100A12
Inflammation	S100B
Inflammation	SAA1
Inflammation	CAPZA1
Inflammation	CAPZA2
Cytokines	IL6
Cytokines	IL6R
Cytokines	IL6ST
Cytokines	JAK1
Cytokines	JAK2
Cytokines	STAT1
Cytokines	STAT3
Cytokines	TYK2
Cytokines	CBL
Cytokines	SOCS3
Inflammation	TXNIP
Inflammation	NLRP3
Inflammation	PANX1
Inflammation	PYCARD
Inflammation	HSP90AB1
Inflammation	MEFV
Inflammation	P2RX7
Inflammation	TXN
Inflammation	CASP1
Inflammation	PSTPIP1
Complement	MASP2
Complement	CRP
Complement	MBL2
Complement	MASP1
Complement	C1QA
Complement	C1QB
Complement	C1QC
Complement	C1S
Vitamin B12	SHMT2
Vitamin B12	PLG
Vitamin B12	MMAB
Vitamin B12	CCL5
Vitamin B12	TNF
Vitamin B12	F7
Vitamin B12	HBB
Vitamin B12	HBA1
Vitamin B12	F2
