pathway	entrezgene	hgnc_symbol
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7205	TRIP6
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	841	CASP8
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1147	CHUK
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	257397	TAB3
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	2919	CXCL1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	8767	RIPK2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	7124	TNF
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	330	BIRC3
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6347	CCL2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	331	XIAP
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6352	CCL5
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	10392	NOD1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	84674	CARD6
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6357	CCL13
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6356	CCL11
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6355	CCL8
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	22900	CARD8
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	6354	CCL7
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	4210	MEFV
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	3576	CXCL8
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5601	MAPK9
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5602	MAPK10
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5600	MAPK11
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	55914	ERBIN
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	5603	MAPK13
