entrezgene	hgnc_symbol	logFC_BC	PValue_BC	logFC_LC	PValue_LC	logFC_MUO	PValue_MUO	logFC_RA	PValue_RA	logFC_DCM	PValue_DCM	logFC_ICM	PValue_ICM
7105	TSPAN6	-0.196774723	0.733608386	1.210920331	0.030285815	-0.195399693	0.075489177	-0.30046001263284	0.0186552623452389	-0.0559002228447125	0.797758437550248	-0.308913543	0.235321351
64102	TNMD	-8.222427261	1.14e-05	1.601534394	0.171398244	1.804129476	1.62e-06	-0.0486081560450056	0.819647070036239	2.92402118763016	9.55836547991542e-05	1.847916347	0.019618273
8813	DPM1	0.068483939	0.833040252	0.467464851	0.294138	-0.403564454	0.00015691	-0.344733908827584	0.0232853607227872	-0.092804147143653	0.700769423904972	-0.077755826	0.733495876
57147	SCYL3	0.887680395	0.055529182	0.054446204	0.891635248	-0.154889786	0.170040143	0.0831167749902515	0.480304167586764	0.123441675816824	0.603937227282594	0.365919053	0.142646431
55732	C1orf112	1.271758902	0.019866978	1.437688699	0.004173094	0.086539134	0.013563482	-0.214735686176869	0.0369549376388986	-0.0769229444129798	0.81063031254211	0.141913533	0.641898908
2268	FGR	-3.093053359	0.000177035	-2.995942893	4.94e-06	0.55657959	9.11e-08	1.34143361601211	6.74917842543719e-06	-0.14915483718179	0.741070271467071	-0.198861168	0.590288425
3075	CFH	-4.502833152	4.46e-07	-0.254214495	0.609656364	1.057599747	8.37e-06	-1.80876860012788	3.02871341190641e-05	0.144275713506953	0.69902409540105	-0.740636563	0.041985108
2519	FUCA2	-0.075380131	0.808097254	-0.069719123	0.881438634	0.272687641	0.00320788	NA	NA	-0.143684970356698	0.240894065030331	-0.318342667	0.032478206
2729	GCLC	-0.857113389	0.044074749	1.779399529	0.001231812	NA	NA	-0.15697568592557	0.423217272488706	-0.304862402434146	0.127865883539767	-0.331635968	0.068409265
4800	NFYA	1.075849852	0.007181866	0.49282854	0.136903503	0.071602954	0.51169374	-0.0906929468678421	0.271478750416874	0.221582288250408	0.273183698404795	-0.142216719	0.509549622
90529	STPG1	0.110193259	0.74158918	-0.006652761	0.988682167	-0.088727679	0.058982474	NA	NA	0.170301069133165	0.470138607842504	0.611112093	0.015116176
57185	NIPAL3	0.697348427	0.238836555	-0.769729113	0.021633855	-0.064453125	0.238039419	0.00262692442694679	0.971098975054327	-0.172618126392871	0.417261429784778	-0.165745134	0.390426075
