entrezgene	number of pathways
412	11
6820	8
4843	21
4846	22
4282	4
3620	6
8942	6
2588	2
5743	19
9536	3
3162	14
1080	4
5244	7
3458	42
335	25
5465	25
5468	26
9370	15
142	15
3146	19
11221	3
1432	107
207	181
2246	33
2247	41
3552	33
3553	49
4790	101
4803	25
4908	5
5970	94
627	16
7040	71
7124	79
7132	23
7157	86
1978	35
7039	19
2149	23
623	18
624	16
10673	3
1235	16
1437	19
2056	10
282617	3
2833	14
2919	15
2920	15
3082	22
3569	57
3576	43
3586	18
3596	9
3600	5
3605	6
3606	13
3627	22
3952	22
4982	8
51561	3
6347	30
6348	15
6351	15
6352	23
6356	12
6364	12
6366	11
6376	8
64806	5
7422	37
7424	15
85480	4
8740	1
8743	9
8995	1
958	21
959	21
9966	2
3717	48
6774	76
1137	9
1141	11
1241	11
1269	9
1395	8
2150	9
5734	13
7442	2
5054	24
7057	21
7161	8
7249	51
7037	10
6647	18
5228	10
4615	31
652	17
1947	1
1280	17
6696	20
7450	19
960	14
3383	25
6403	9
6404	4
5770	21
10747	9
3827	18
4153	9
5328	14
5329	9
5624	10
727	18
3308	2
183	18
10333	10
3665	29
54106	14
7097	19
7099	31
10392	20
114548	8
64127	21
7128	11
834	17
11277	1
90865	2
916	14
4313	19
4318	24
10019	7
40	1
1906	16
5443	24
6927	10
4306	5
351	34
1958	19
1991	6
177	18
6285	15
6288	25
1673	6
4314	7
7076	10
7177	2
284	8
301	12
5020	10
51738	12
6863	8
885	8
4057	3
6097	5
7018	10
9948	4
133	7
51083	7
796	9
540	4
6564	4
6584	4
708	7
7538	6
3557	7
2625	13
4502	7
8638	5
1401	11
1471	4
4353	3
12	3
3934	2
7356	1
196	8
30009	2
55829	2
407040	2
50943	2
6280	2
9971	5
4780	16
56729	2
4879	2
57817	1
634	1
