entrezgene	number of selected pathways
4843	1
4846	2
5743	3
3162	3
3458	5
335	1
5468	1
142	2
3146	4
1432	5
207	3
2246	1
2247	2
3552	9
3553	10
4790	15
5970	12
7040	7
7124	13
7132	2
7157	2
1978	1
7039	1
2149	1
623	1
624	1
1437	3
2919	2
2920	4
3082	1
3569	15
3576	9
3586	3
3596	3
3600	2
3605	1
3606	4
51561	1
6347	5
6348	2
6351	2
6352	5
6356	2
6364	1
64806	1
7422	4
85480	1
958	1
959	2
3717	2
6774	6
5054	1
7037	1
6647	1
4615	7
6696	2
960	1
3383	6
6403	2
6404	2
10747	1
3827	2
4153	1
5328	2
727	1
183	1
10333	2
3665	3
54106	3
7097	5
7099	5
10392	2
114548	3
64127	2
7128	1
834	2
90865	1
4313	2
4318	6
1906	1
6927	2
4306	1
351	5
1991	1
177	5
6285	4
6288	5
4314	1
7076	2
284	1
4057	1
7018	1
9948	1
796	1
3557	1
2625	1
4502	1
1401	3
4353	1
12	1
3934	1
196	1
30009	1
6280	1
4780	1
57817	1
