id	type
Cytokines	Process
Inflammation	Process
NFkB	Process
Angiogenesis	Process
Metabolism	Process
Complement	Process
Vitamin B12	Process
Immune cells	Process
Development	Process
GNB1	Gene
PTPN11	Gene
SHC1	Gene
PIK3R1	Gene
UBC	Gene
UBA52	Gene
GNG2	Gene
RPS27A	Gene
CD3E	InflGene
UBB	Gene
CD44	InflGene
CCL4	InflGene
CCL3	InflGene
STAT6	Gene
FOXP3	InflGene
PTPN1	InflGene
CXCL10	InflGene
ELANE	InflGene
TNFSF14	InflGene
CXCR3	InflGene
CCL20	InflGene
POMC	InflGene
DUSP10	InflGene
NGF	InflGene
EDN1	InflGene
PPARA	InflGene
CST3	InflGene
BDNF	InflGene
VEGFC	InflGene
PGF	InflGene
CCK	InflGene
CNR2	InflGene
ANXA1	InflGene
FGF1	InflGene
F2R	InflGene
LTB4R	InflGene
TRIP6	Gene
CASP8	Gene
CHUK	Gene
TAB3	Gene
CXCL1	InflGene
RIPK2	Gene
TNF	InflGene
BIRC3	Gene
CCL2	InflGene
XIAP	Gene
CCL5	InflGene
NOD1	InflGene
CARD6	Gene
CCL13	Gene
CCL11	InflGene
CCL8	Gene
CARD8	Gene
CCL7	Gene
MEFV	Gene
CXCL8	InflGene
MAPK9	Gene
MAPK10	Gene
MAPK11	Gene
ERBIN	Gene
MAPK13	Gene
CASP5	Gene
IKBKB	Gene
NOD2	InflGene
MAP3K7	Gene
CASP1	InflGene
CARD18	Gene
TNFAIP3	InflGene
SUGT1	Gene
MAPK3	Gene
PSTPIP1	Gene
NFKB1	InflGene
NFKBIB	Gene
NFKBIA	Gene
MAPK1	Gene
IKBKG	Gene
CARD9	Gene
MAPK8	Gene
MAPK14	InflGene
MAPK12	Gene
IL18	InflGene
RELA	InflGene
PYDC1	Gene
TRAF6	Gene
HSP90AA1	Gene
PYCARD	Gene
TAB2	Gene
NLRC4	Gene
IL1B	InflGene
HSP90B1	Gene
NLRP3	InflGene
NLRP1	Gene
NAIP	Gene
BIRC2	Gene
CXCL2	InflGene
HSP90AB1	Gene
TAB1	Gene
IL6	InflGene
RIPK3	Gene
	Gene
AGER	InflGene
HMGB1	InflGene
APP	InflGene
NFKB2	Gene
S100A12	Gene
S100B	InflGene
SAA1	InflGene
TLR3	Gene
ZBP1	Gene
RIPK1	Gene
IRAK1	Gene
IRAK2	Gene
DDX58	Gene
MAP3K1	Gene
MAVS	Gene
IFIH1	Gene
TRAF2	Gene
TRIM25	Gene
RNF135	Gene
IRF7	InflGene
TMEM189-UBE2V1	Gene
MYD88	InflGene
IRAK4	Gene
TLR7	Gene
TLR8	Gene
TLR9	InflGene
UBE2N	Gene
DDOST	Gene
LGALS3	Gene
PRKCSH	Gene
CAPZA1	Gene
CAPZA2	Gene
IL6R	Gene
IL6ST	Gene
JAK1	Gene
JAK2	InflGene
STAT1	Gene
STAT3	InflGene
TYK2	Gene
CBL	Gene
SOCS3	Gene
TXNIP	Gene
PANX1	Gene
P2RX7	Gene
TXN	Gene
MASP2	InflGene
CRP	InflGene
MBL2	InflGene
MASP1	Gene
C1QA	Gene
C1QB	Gene
C1QC	Gene
C1S	Gene
SHMT2	Gene
PLG	Gene
MMAB	Gene
F7	Gene
HBB	Gene
HBA1	Gene
F2	Gene
CBS	Gene
INS	Gene
MTHFR	Gene
TCN2	Gene
TCN1	Gene
SERPINA3	InflGene
MAT1A	Gene
SAA2	Gene
CUBN	Gene
ABCA1	Gene
INSR	Gene
MMUT	Gene
MPO	InflGene
MTRR	Gene
LRP2	Gene
CBLIF	Gene
ICAM1	InflGene
SAA4	Gene
IFNG	InflGene
ALB	Gene
APOA1	InflGene
APOB	Gene
SOD1	InflGene
SOD3	Gene
MTR	Gene
SERPINE1	InflGene
CTH	Gene
LDLR	Gene
APOE	Gene
MCEE	Gene
PLAT	Gene
SCARB1	Gene
TOX	Gene
GFI1	Gene
AHR	InflGene
RORA	Gene
GATA3	InflGene
AREG	Gene
HNF1A	InflGene
IL25	InflGene
IL9	Gene
IL23A	InflGene
TBX21	InflGene
IL22	Gene
TSLP	InflGene
EOMES	Gene
NFIL3	Gene
ID2	Gene
IL7	Gene
IL13	InflGene
IL12B	Gene
IL12A	Gene
BCL11B	Gene
IL15	InflGene
IL5	Gene
IL4	Gene
IL33	InflGene
ZBTB16	Gene
IL17A	InflGene
ROS1	Gene
HIF1A	Gene
TFAM	Gene
PPARG	InflGene
SIRT3	Gene
SIRT1	Gene
NAMPT	Gene
FOXO3	Gene
FOXO1	Gene
PARP1	InflGene
ITGAD	Gene
COL4A1	Gene
HMOX1	InflGene
BAX	Gene
PIK3CD	Gene
BCL2	Gene
FN1	Gene
CCND3	Gene
CDH3	Gene
LAMA3	Gene
PTGS1	Gene
AKT3	Gene
PTGS2	InflGene
NFRKB	Gene
PTK2	Gene
TLR4	InflGene
TLR5	Gene
TIFA	Gene
UBE2V1	Gene
IL1A	InflGene
TLR2	InflGene
TLR1	Gene
TLR10	Gene
TLR6	InflGene
JUN	Gene
VEGFA	InflGene
CSF2	InflGene
CCND1	Gene
IL2	Gene
BIRC5	Gene
BCL2A1	Gene
BCL2L2	Gene
CD40LG	InflGene
TNFRSF1A	InflGene
SELE	Gene
RELB	Gene
EGLN2	Gene
VCAM1	Gene
MMP1	Gene
MMP2	InflGene
MMP3	InflGene
REL	Gene
CFLAR	Gene
MMP9	InflGene
CHI3L1	Gene
MYC	Gene
TP53	InflGene
CDH1	Gene
E2F1	Gene
TIMP2	Gene
TEK	Gene
SMAD1	Gene
TIMP3	Gene
PDGFB	Gene
KDR	Gene
PDGFRA	Gene
FGFR2	Gene
PIK3CA	Gene
ANGPT1	InflGene
FGF2	InflGene
CREBBP	Gene
FLT1	Gene
PLCG1	Gene
ARNT	Gene
AKT1	InflGene
SRC	Gene
NOS3	InflGene
TRAF3	Gene
IKBKE	Gene
TIRAP	Gene
IRF3	Gene
TOLLIP	Gene
TICAM2	Gene
TBK1	Gene
ITGB3	Gene
SPP1	InflGene
MAP3K14	Gene
ITGAV	Gene
PLAU	InflGene
MAP2K1	Gene
HEPHL1	Gene
ACO1	Gene
TFRC	InflGene
SLC11A2	Gene
TFR2	Gene
HAMP	InflGene
TF	InflGene
FTH1	Gene
SLC40A1	Gene
MCOLN1	Gene
STEAP3	Gene
IREB2	Gene
MAS1	Gene
REN	Gene
ACE2	Gene
AGT	InflGene
AGTR1	Gene
AGTR2	Gene
KNG1	InflGene
CMA1	Gene
CTSG	Gene
CYP11B2	Gene
BDKRB1	InflGene
BDKRB2	InflGene
NR3C2	InflGene
ACE	Gene
ATP6AP2	Gene
CD14	Gene
LTF	InflGene
IFNA1	Gene
TREM1	Gene
IFNB1	Gene
CSF3	Gene
HLA-DRB1	Gene
IL3	Gene
HLA-DRA	Gene
CSF1	Gene
PDGFA	Gene
IL11	Gene
IL10	InflGene
CD4	Gene
ITGAL	Gene
C7	Gene
SELP	InflGene
ITGA4	Gene
SELPLG	InflGene
ITGB1	Gene
C5	InflGene
ITGB2	Gene
C3	Gene
C6	Gene
STAT2	Gene
IL10RB	Gene
BLVRA	Gene
IL10RA	Gene
BLVRB	Gene
TGFB3	Gene
TGFB2	Gene
IL1RN	InflGene
IL1RAP	Gene
IL1R1	Gene
MAP2K6	Gene
ECSIT	Gene
IRAK3	Gene
MAP2K3	Gene
PF4	Gene
CD40	InflGene
