nodes	type
NFkB	Process
Inflammation	Process
Cytokines	Process
Complement	Process
Vitamin B12	Process
Immune cells	Process
Metabolism	Process
Development	Process
Angiogenesis	Process
7205	Gene
841	Gene
1147	Gene
257397	Gene
2919	InflGene
8767	Gene
7124	InflGene
330	Gene
6347	InflGene
331	Gene
6352	InflGene
10392	InflGene
84674	Gene
6357	Gene
6356	InflGene
6355	Gene
22900	Gene
6354	Gene
4210	Gene
3576	InflGene
5601	Gene
5602	Gene
5600	Gene
55914	Gene
5603	Gene
838	Gene
3551	Gene
64127	InflGene
6885	Gene
834	InflGene
59082	Gene
7128	InflGene
10910	Gene
5595	Gene
9051	Gene
4790	InflGene
4793	Gene
4792	Gene
5594	Gene
8517	Gene
64170	Gene
5599	Gene
1432	InflGene
6300	Gene
3606	InflGene
5970	InflGene
260434	Gene
7189	Gene
3320	Gene
29108	Gene
23118	Gene
58484	Gene
3553	InflGene
7184	Gene
114548	InflGene
22861	Gene
4671	Gene
329	Gene
2920	InflGene
3326	Gene
10454	Gene
3569	InflGene
11035	Gene
148022	Gene
177	InflGene
3146	InflGene
351	InflGene
4791	Gene
6283	Gene
6285	InflGene
6288	InflGene
7098	Gene
81030	Gene
8737	Gene
3654	Gene
3656	Gene
23586	Gene
4214	Gene
57506	Gene
64135	Gene
7186	Gene
7706	Gene
84282	Gene
3665	InflGene
387522	Gene
4615	InflGene
51135	Gene
51284	Gene
51311	Gene
54106	InflGene
7334	Gene
1650	Gene
3958	Gene
5589	Gene
829	Gene
830	Gene
3570	Gene
3572	Gene
3716	Gene
3717	InflGene
6772	Gene
6774	InflGene
7297	Gene
867	Gene
9021	Gene
10628	Gene
24145	Gene
5027	Gene
7295	Gene
10747	InflGene
1401	InflGene
4153	InflGene
5648	Gene
712	Gene
713	Gene
714	Gene
716	Gene
6472	Gene
5340	Gene
326625	Gene
2155	Gene
3043	Gene
3039	Gene
2147	Gene
875	Gene
3630	Gene
4524	Gene
6948	Gene
6947	Gene
12	InflGene
4143	Gene
6289	Gene
8029	Gene
19	Gene
3643	Gene
4594	Gene
4353	InflGene
4552	Gene
4036	Gene
2694	Gene
3383	InflGene
6291	Gene
3458	InflGene
213	Gene
335	InflGene
338	Gene
6647	InflGene
6649	Gene
4548	Gene
6648	Gene
5054	InflGene
1491	Gene
3949	Gene
348	Gene
84693	Gene
5327	Gene
949	Gene
9760	Gene
2672	Gene
196	InflGene
6095	Gene
2625	InflGene
374	Gene
6927	InflGene
64806	InflGene
3578	Gene
51561	InflGene
30009	InflGene
50616	Gene
85480	InflGene
8320	Gene
4783	Gene
3398	Gene
3574	Gene
3596	InflGene
3593	Gene
3592	Gene
64919	Gene
3600	InflGene
3567	Gene
3565	Gene
90865	InflGene
7704	Gene
3605	InflGene
6098	Gene
3091	Gene
7019	Gene
5468	InflGene
23410	Gene
23411	Gene
10135	Gene
2309	Gene
2308	Gene
142	InflGene
3681	Gene
1282	Gene
3162	InflGene
581	Gene
5293	Gene
596	Gene
2335	Gene
896	Gene
1001	Gene
3909	Gene
5742	Gene
10000	Gene
5743	InflGene
4798	Gene
5747	Gene
7099	InflGene
7100	Gene
92610	Gene
7335	Gene
3552	InflGene
7097	InflGene
7096	Gene
81793	Gene
10333	InflGene
3725	Gene
7422	InflGene
1437	InflGene
595	Gene
3558	Gene
332	Gene
597	Gene
599	Gene
959	InflGene
7132	InflGene
6401	Gene
5971	Gene
112398	Gene
7412	Gene
4312	Gene
4313	InflGene
4314	InflGene
5966	Gene
8837	Gene
4318	InflGene
1116	Gene
4609	Gene
7157	InflGene
999	Gene
1869	Gene
7077	Gene
7010	Gene
4086	Gene
7078	Gene
5155	Gene
3791	Gene
5156	Gene
2263	Gene
5290	Gene
284	InflGene
2247	InflGene
1387	Gene
2321	Gene
5335	Gene
405	Gene
207	InflGene
6714	Gene
4846	InflGene
7187	Gene
9641	Gene
114609	Gene
3661	Gene
54472	Gene
353376	Gene
29110	Gene
3690	Gene
6696	InflGene
9020	Gene
3685	Gene
5328	InflGene
5604	Gene
341208	Gene
48	Gene
7037	InflGene
4891	Gene
7036	Gene
57817	InflGene
7018	InflGene
2495	Gene
30061	Gene
57192	Gene
55240	Gene
3658	Gene
4142	Gene
5972	Gene
7040	InflGene
59272	Gene
183	InflGene
185	Gene
186	Gene
3827	InflGene
1215	Gene
1511	Gene
1585	Gene
623	InflGene
624	InflGene
4306	InflGene
1636	Gene
10159	Gene
929	Gene
4057	InflGene
3439	Gene
54210	Gene
3456	Gene
1440	Gene
3123	Gene
3562	Gene
3122	Gene
1435	Gene
5154	Gene
3589	Gene
3586	InflGene
920	Gene
3683	Gene
730	Gene
6403	InflGene
3676	Gene
6404	InflGene
3688	Gene
727	InflGene
3689	Gene
718	Gene
729	Gene
6773	Gene
3588	Gene
644	Gene
3587	Gene
645	Gene
7043	Gene
7042	Gene
3557	InflGene
3556	Gene
3554	Gene
5608	Gene
51295	Gene
11213	Gene
5606	Gene
5196	Gene
958	InflGene
