source	target
GNG2	CCL4
GNG2	GNB1
GNG2	CCL5
GNG2	AKT1
GNG2	BDKRB2
GNG2	ADM
GNG2	PIK3R1
GNG2	CXCL2
GNG2	AGTR1
GNG2	SAA1
GNG2	POMC
GNG2	LTB4R
GNG2	CCK
GNG2	CXCL1
GNG2	HLA-DRA
GNG2	EDN1
GNG2	ANXA1
GNG2	CNR2
GNG2	CXCR3
GNG2	SRC
GNG2	AGTR2
GNG2	AGT
GNG2	CD3E
GNG2	HLA-DRB1
GNG2	CCL20
GNG2	PTK2
GNG2	PTPN11
GNG2	CRHR2
SHC1	GNB1
SHC1	VEGFC
SHC1	VEGFA
SHC1	ITGB3
SHC1	AKT1
SHC1	ANGPT1
SHC1	PIK3R1
SHC1	BDNF
SHC1	FGFR2
STAT6	MYC
STAT6	VEGFA
STAT6	AKT1
STAT6	HIF1A
STAT6	TYK2
STAT6	PIK3R1
STAT6	IL10
STAT6	FOXO3
STAT6	IL6
STAT6	SAA1
STAT6	POMC
STAT6	BCL2
STAT6	ITGB2
STAT6	ITGB1
STAT6	HLA-DRA
STAT6	JAK2
STAT6	FOXO1
STAT6	GATA3
STAT6	LCN2
STAT6	MMP9
STAT6	IL6R
STAT6	PTGS2
STAT6	STAT1
STAT6	HLA-DRB1
STAT6	IL17A
STAT6	JAK1
STAT6	HSP90AA1
STAT6	PDGFB
STAT6	SOCS3
STAT6	TBK1
STAT6	NOS2
STAT6	RORC
STAT6	MMP1
STAT6	STAT2
STAT6	IL13
STAT6	IL12A
STAT6	CCL11
STAT6	BIRC5
GNB1	CCL4
PTPN11	GNB1
PTPN11	FGF1
PTPN11	VEGFA
PTPN11	IRF3
PTPN11	IKBKE
PTPN11	TXNIP
PTPN11	TRAF3
PTPN11	AKT1
PTPN11	IL22
PTPN11	UBC
PTPN11	TYK2
PTPN11	ANGPT1
PTPN11	PIK3R1
PTPN11	TICAM2
PTPN11	BDNF
PTPN11	FGFR2
PTPN11	SHC1
PTPN11	NTF3
PTPN11	UBA52
PTPN11	IL6
PTPN11	IRF7
PTPN11	INS
PTPN11	HLA-DRA
PTPN11	JAK2
PTPN11	IL6ST
PTPN11	IFNB1
PTPN11	TEK
PTPN11	TLR4
PTPN11	SRC
PTPN11	NGF
PTPN11	IL6R
PTPN11	CD3E
PTPN11	STAT1
PTPN11	HLA-DRB1
PTPN11	FN1
PTPN11	JAK1
PTPN11	PTK2
UBB	IKBKG
UBB	MAP3K14
UBB	TNFAIP3
UBB	FGF1
UBB	BIRC2
UBB	IRF3
UBB	IKBKE
UBB	TRAF3
UBB	LDLR
UBB	UBC
UBB	HIF1A
UBB	NFRKB
UBB	TRAF6
UBB	IKBKB
UBB	ERBB2IP
UBB	SMAD1
UBB	AGTR1
UBB	TICAM2
UBB	TNF
UBB	UBA52
UBB	TF
UBB	RELA
UBB	VIMP
UBB	PLAA
UBB	DDX58
UBB	TAB3
UBB	TP73
UBB	TLR4
UBB	SRC
UBB	XIAP
UBB	ZBP1
UBB	CHUK
UBB	IRAK1
UBB	NFKB2
UBB	NGF
UBB	MAP3K7
UBB	TAB2
UBB	PARP1
UBB	TFRC
UBB	PTPN11
UBB	UBE2V1
UBB	ZBTB16
UBB	HSP90AA1
UBB	SOCS3
UBB	TBK1
UBB	NOS2
UBB	TRIM25
UBB	UBE2N
UBB	NFKBIB
UBA52	IKBKG
UBA52	MAP3K14
UBA52	TNFAIP3
UBA52	FGF1
UBA52	BIRC2
UBA52	IRF3
UBA52	IKBKE
UBA52	TRAF3
UBA52	LDLR
UBA52	UBC
UBA52	HIF1A
UBA52	NFRKB
UBA52	TRAF6
UBA52	IKBKB
UBA52	ERBB2IP
UBA52	SMAD1
UBA52	AGTR1
UBA52	TICAM2
UBA52	DDOST
UBA52	TNF
RPS27A	IKBKG
RPS27A	MAP3K14
RPS27A	TNFAIP3
RPS27A	FGF1
RPS27A	BIRC2
RPS27A	IRF3
RPS27A	IKBKE
RPS27A	TRAF3
RPS27A	LDLR
RPS27A	UBC
RPS27A	HIF1A
RPS27A	NFRKB
RPS27A	TRAF6
RPS27A	IKBKB
RPS27A	ERBB2IP
RPS27A	SMAD1
RPS27A	AGTR1
RPS27A	TICAM2
RPS27A	DDOST
RPS27A	TNF
RPS27A	UBA52
RPS27A	TF
RPS27A	RELA
RPS27A	VIMP
RPS27A	DDX58
RPS27A	TAB3
RPS27A	TP73
RPS27A	TLR4
RPS27A	SRC
RPS27A	XIAP
RPS27A	ZBP1
RPS27A	CHUK
RPS27A	IRAK1
RPS27A	NFKB2
RPS27A	NGF
RPS27A	MAP3K7
RPS27A	TAB2
RPS27A	PARP1
