source_id	target_id	common_neighbors
Cytokines	IKBKG	18
Cytokines	GNB1	12
Cytokines	PIK3CD	6
Cytokines	PTPN11	11
Cytokines	CXCL8	11
Cytokines	STAT1	13
Cytokines	IL10	25
Cytokines	SHC1	18
Cytokines	STAT2	3
Cytokines	IKBKB	15
Cytokines	PIK3R1	21
Cytokines	JAK1	18
Cytokines	ITGB1	6
Cytokines	IL6	26
Cytokines	JAK2	20
Cytokines	TNF	30
Cytokines	IRF7	13
Cytokines	IRAK4	12
Cytokines	TIRAP	6
Cytokines	UBC	15
Cytokines	MAP2K6	15
Cytokines	UBA52	12
Cytokines	MYD88	19
Cytokines	TAB3	10
Cytokines	MAP3K1	17
Cytokines	TLR7	2
Cytokines	IL33	3
Cytokines	TLR6	4
Cytokines	TRAF6	27
Cytokines	TICAM2	8
Cytokines	TLR4	9
Cytokines	RELA	27
Cytokines	IL1R1	15
Cytokines	CHUK	8
Cytokines	PDGFB	4
Cytokines	TF	4
Cytokines	INSR	1
Cytokines	GNG2	4
Cytokines	HLA-DRB1	4
Cytokines	FGFR2	4
Cytokines	RPS27A	6
Cytokines	INS	1
Cytokines	TFRC	2
Cytokines	VEGFA	9
Cytokines	SOCS3	6
Cytokines	LDLR	2
Cytokines	CD3E	4
Cytokines	UBB	6
Cytokines	FGF2	1
Cytokines	ITGB3	4
Cytokines	TYK2	22
Cytokines	HSP90AA1	4
Cytokines	HLA-DRA	5
Cytokines	SRC	9
Cytokines	CSF1	2
Cytokines	FLT1	1
Cytokines	FGF1	1
Cytokines	IL6R	5
Cytokines	AGTR1	2
Cytokines	IL6ST	7
Cytokines	CAPZA2	1
Cytokines	IRF3	10
Cytokines	CD44	4
Cytokines	IRAK1	13
Cytokines	IL1B	11
Cytokines	TOLLIP	7
Cytokines	IL1RAP	7
Cytokines	IL1A	6
Cytokines	IL10RB	2
Cytokines	IL22	6
Cytokines	STAT3	10
Cytokines	NOD2	2
Cytokines	MAPK11	4
Cytokines	TGFB3	1
Cytokines	MAPK14	5
Cytokines	TNFAIP3	7
Cytokines	MAP3K7	10
Cytokines	TGFB2	3
Cytokines	RIPK2	1
Cytokines	MAP3K14	7
Cytokines	MAP2K1	5
Cytokines	BMP4	1
Cytokines	UBE2V1	4
Cytokines	TGFB1	1
Cytokines	IRAK2	3
Cytokines	UBE2N	3
Cytokines	TAB2	7
Cytokines	NFKBIA	1
Cytokines	TLR3	1
Cytokines	CD14	2
Cytokines	NOD1	1
Cytokines	BIRC3	2
Cytokines	RIPK1	4
Cytokines	MAP2K3	4
Cytokines	BIRC2	9
Cytokines	NFKB1	2
Cytokines	TRAF2	4
Cytokines	XIAP	4
Cytokines	SELP	1
Cytokines	SELE	3
Cytokines	ITGB2	9
Cytokines	CCL5	7
Cytokines	CCL4	9
Cytokines	CCL3	4
Cytokines	CXCL2	8
Cytokines	ITGA4	1
Cytokines	TRIM25	4
Cytokines	PTK2	1
Cytokines	STAT6	5
Cytokines	ITGAD	1
Cytokines	IL13	10
Cytokines	CSF2	7
Cytokines	VCAM1	4
Cytokines	ITGAL	1
Cytokines	BLVRA	2
Cytokines	IL4	6
Cytokines	NFE2L2	2
Cytokines	BLVRB	1
Cytokines	JUN	12
Cytokines	AKT1	11
Cytokines	IKBKE	2
Cytokines	TRAF3	8
Cytokines	IFNB1	5
Cytokines	DDX58	5
Cytokines	IL15	4
Cytokines	MAPK9	10
Cytokines	FOXP3	5
Cytokines	MAPK3	4
Cytokines	IL3	2
Cytokines	IL5	3
Cytokines	IFNG	1
Cytokines	CBL	4
Cytokines	PIK3CA	9
Cytokines	MAPK8	10
Cytokines	IL7	1
Cytokines	IL17A	6
Cytokines	ANXA1	3
Cytokines	CCL11	3
Cytokines	GATA3	6
Cytokines	FN1	5
Cytokines	IL9	3
Cytokines	IL18	5
Cytokines	CD40LG	4
Cytokines	IL12A	4
Cytokines	VEGFC	3
Cytokines	SMAD1	2
Cytokines	CASP1	3
Cytokines	CASP8	2
Cytokines	ICAM1	3
Cytokines	NFKB2	5
Cytokines	CCL20	3
Cytokines	NLRC4	1
Cytokines	CXCL1	6
Cytokines	PTGS2	2
Cytokines	NLRP3	2
Cytokines	DEFB4A	1
Cytokines	MMP9	2
Cytokines	CST3	2
Cytokines	ELANE	3
Cytokines	SAA1	5
Cytokines	POMC	3
Cytokines	BDKRB2	3
Cytokines	SH2B3	1
Cytokines	ZBTB16	1
Cytokines	MAVS	6
Cytokines	SPP1	1
Cytokines	PRKCSH	2
Cytokines	PTPN1	4
Cytokines	TLR5	3
Cytokines	MYC	6
Cytokines	ANGPT1	4
Cytokines	PPARA	3
Cytokines	ADIPOQ	1
Cytokines	TXN	2
Cytokines	MAPK10	2
Cytokines	CXCR3	2
Cytokines	IL23A	2
Cytokines	RELB	1
Cytokines	CD40	5
Cytokines	NGF	3
Cytokines	REL	2
Cytokines	IL12B	2
Cytokines	RNF135	2
Cytokines	ZBP1	3
Cytokines	NOS2	3
Cytokines	CREBBP	3
Cytokines	IFIH1	2
Cytokines	NFKBIB	2
Cytokines	LTF	1
Cytokines	HMGB1	3
Cytokines	APP	2
Cytokines	BCL2A1	1
Cytokines	TEK	2
Cytokines	TBK1	1
Cytokines	AGER	1
Cytokines	LCN2	3
Cytokines	TIMP2	1
Cytokines	EPO	3
Cytokines	TLR2	2
Cytokines	TCN1	1
Cytokines	S100B	1
Cytokines	CHI3L1	1
Cytokines	PPARG	1
Cytokines	S100A12	1
Cytokines	HIF1A	2
Cytokines	EDN1	2
Cytokines	IL1RN	1
Cytokines	TLR8	1
Cytokines	IRAK3	2
Cytokines	TLR1	2
Cytokines	FOXO3	3
Cytokines	BDNF	2
Cytokines	FOXO1	3
Cytokines	NTF3	1
Cytokines	MMP1	1
Cytokines	CXCL10	4
Cytokines	BCL2	3
Cytokines	TSLP	2
Cytokines	TP53	2
Cytokines	RORC	1
Cytokines	LEP	2
