source_id	target_id	common_neighbors
Cytokines	GNB1	12
Cytokines	PTPN11	11
Cytokines	SHC1	18
Cytokines	PIK3R1	21
Cytokines	UBC	15
Cytokines	UBA52	12
Cytokines	GNG2	4
Cytokines	RPS27A	6
Cytokines	CD3E	4
Cytokines	UBB	6
Cytokines	FGF1	1
Cytokines	CD44	4
Cytokines	BMP4	1
Cytokines	TGFB1	1
Cytokines	CCL4	9
Cytokines	CCL3	4
Cytokines	STAT6	5
Cytokines	NFE2L2	2
Cytokines	FOXP3	5
Cytokines	ANXA1	3
Cytokines	VEGFC	3
Cytokines	CCL20	3
Cytokines	DEFB4A	1
Cytokines	CST3	2
Cytokines	ELANE	3
Cytokines	POMC	3
Cytokines	SH2B3	1
Cytokines	PTPN1	4
Cytokines	PPARA	3
Cytokines	ADIPOQ	1
Cytokines	CXCR3	2
Cytokines	NGF	3
Cytokines	NOS2	3
Cytokines	LCN2	3
Cytokines	EPO	3
Cytokines	EDN1	2
Cytokines	BDNF	2
Cytokines	NTF3	1
Cytokines	CXCL10	4
Cytokines	RORC	1
Cytokines	LEP	2
Cytokines	THBS1	1
Cytokines	VWF	1
Cytokines	TNFSF14	2
Cytokines	IFNL3	2
Cytokines	TNFSF13B	1
Cytokines	CNR2	1
Cytokines	DUSP10	1
Cytokines	TP73	1
Inflammation	S100A9	1
Inflammation	EGR1	1
Inflammation	VWF	1
Inflammation	SHC1	5
Inflammation	TNFSF10	1
Inflammation	PTPN11	3
Inflammation	EDN1	3
Inflammation	TSC2	1
Inflammation	FGF1	2
Inflammation	PPARA	2
Inflammation	GALNS	2
Inflammation	DUSP10	2
Inflammation	ELANE	4
Inflammation	CCL4	7
Inflammation	F2R	3
Inflammation	HGF	1
Inflammation	NGF	3
Inflammation	PRTN3	1
Inflammation	EIF4EBP1	2
Inflammation	TGFB1	1
Inflammation	RETN	1
Inflammation	NFE2L2	1
Inflammation	COL2A1	1
Inflammation	TP73	1
Inflammation	CST3	3
Inflammation	TNFAIP6	1
Inflammation	LCN2	2
Inflammation	UBC	7
Inflammation	ADIPOQ	2
Inflammation	LEP	1
Inflammation	TNFSF14	1
Inflammation	PIK3R1	7
Inflammation	GNG2	3
Inflammation	GNB1	5
Inflammation	CXCR3	2
Inflammation	POMC	2
Inflammation	CNR2	2
Inflammation	ANXA1	2
Inflammation	CCL20	3
Inflammation	VEGFC	2
Inflammation	PTPN1	1
Inflammation	UBA52	4
Inflammation	UBB	2
Inflammation	EPO	1
Inflammation	RPS27A	1
Inflammation	CCL3	2
Inflammation	DEFB4A	1
Inflammation	CCK	1
Inflammation	LTB4R	1
Inflammation	F2RL1	1
Inflammation	TAC1	1
Inflammation	CXCL10	1
Inflammation	CALCA	1
NFkB	RPS27A	10
NFkB	TNFSF14	5
NFkB	UBB	14
NFkB	UBC	35
NFkB	UBA52	31
NFkB	TNFSF13B	3
NFkB	BMP4	1
NFkB	TGFB1	2
NFkB	FOXP3	2
NFkB	CD3E	1
NFkB	SHC1	11
NFkB	PTPN11	6
NFkB	PIK3R1	12
NFkB	CCL21	1
NFkB	CXCL10	4
NFkB	GNG2	6
NFkB	GAL	1
NFkB	CXCR3	4
NFkB	CCL20	4
NFkB	GNB1	11
NFkB	CNR2	3
NFkB	CCL4	14
NFkB	ANXA1	3
NFkB	POMC	4
NFkB	CD44	6
NFkB	EIF4EBP1	2
NFkB	DUSP10	4
NFkB	F2R	3
NFkB	NGF	6
NFkB	EDN1	9
NFkB	FGF1	2
NFkB	PPARA	7
NFkB	TNFSF10	2
NFkB	ELANE	6
NFkB	GALNS	2
NFkB	CST3	5
NFkB	TP73	2
NFkB	LCN2	3
NFkB	EPO	2
NFkB	BDNF	4
NFkB	CCL3	2
NFkB	DEFB4A	1
NFkB	COL2A1	2
NFkB	VWF	2
NFkB	PLAUR	1
NFkB	CCK	1
NFkB	LTB4R	1
NFkB	F2RL1	1
NFkB	TAC1	1
NFkB	VEGFC	2
NFkB	CALCA	1
NFkB	NOS2	1
NFkB	TPSAB1	1
NFkB	STAT6	5
NFkB	THBS1	1
NFkB	EGR1	1
NFkB	TSC2	1
NFkB	HGF	1
NFkB	PRTN3	1
NFkB	RETN	1
NFkB	S100A9	1
NFkB	HSPA4	1
NFkB	ADIPOQ	1
NFkB	NFE2L2	1
Angiogenesis	EPO	2
Angiogenesis	GNB1	13
Angiogenesis	EDN1	12
Angiogenesis	GNG2	5
Angiogenesis	DUSP10	2
Angiogenesis	SHC1	12
Angiogenesis	TP73	1
Angiogenesis	PTPN11	8
