hgnc_symbol	entrezgene	ensembl_gene_id	logFC_LC	PValue_LC
AASS	10157	ENSG00000008311	-0.460415812	0.396120755
ABCB4	5244	ENSG00000005471	1.551337724	0.042166049
ABCB5	340273	ENSG00000004846	-0.694300352	0.553165608
ABCC2	1244	ENSG00000023839	6.218266388	0.000596398
ABCC8	6833	ENSG00000006071	1.255168867	0.32752564
ABHD5	51099	ENSG00000011198	-1.422824036	0.000431674
ACPP	55	ENSG00000014257	-1.118141345	0.064821308
ACSM3	6296	ENSG00000005187	-0.718633739	0.170931969
ADAM22	53616	ENSG00000008277	0.517406249	0.35275687
ADGRA2	25960	ENSG00000020181	-0.938558344	0.119446999
ADIPOR2	79602	ENSG00000006831	-1.229260098	0.004712136
AGK	55750	ENSG00000006530	0.535479622	0.077589433
AGPAT4	56895	ENSG00000026652	-1.087198341	0.014077384
AGPS	8540	ENSG00000018510	-0.16627311	0.583814843
AK2	204	ENSG00000004455	0.643558272	0.217531293
AKAP11	11215	ENSG00000023516	-0.503275388	0.142075193
AKAP8L	26993	ENSG00000011243	0.022351878	0.956827338
ALAS1	211	ENSG00000023330	-1.261829148	0.007117133
ALDH3B1	221	ENSG00000006534	-1.014225124	0.140693656
ALG1	56052	ENSG00000033011	0.30800294	0.504534441
ALOX5	240	ENSG00000012779	-2.778444321	4.94e-06
ALS2	57679	ENSG00000003393	-0.097545042	0.779008262
ANGEL1	23357	ENSG00000013523	-0.409161014	0.218031346
ANK1	286	ENSG00000029534	3.332564901	0.006033798
ANKIB1	54467	ENSG00000001629	0.594455574	0.080838503
ANLN	54443	ENSG00000011426	3.619405624	8.1e-05
ANOS1	3730	ENSG00000011201	-2.78462246	5.06e-05
AOC1	26	ENSG00000002726	5.816108901	0.002271389
AP2B1	163	ENSG00000006125	-0.449312715	0.224679868
APBA3	9546	ENSG00000011132	0.218800959	0.629793494
AQR	9716	ENSG00000021776	0.005287855	0.987656254
ARF5	381	ENSG00000004059	0.418803884	0.502131058
ARHGAP31	57514	ENSG00000031081	-2.66291886	1.43e-05
ARHGAP33	115703	ENSG00000004777	2.041190721	0.010341318
ARHGAP44	9912	ENSG00000006740	-1.986730313	0.009023523
ARID4A	5926	ENSG00000032219	-0.643239477	0.068839717
ARNTL2	56938	ENSG00000029153	3.245957512	0.00087208
ARSD	414	ENSG00000006756	-0.520821133	0.160298098
ARX	170302	ENSG00000004848	-0.542001019	0.67273464
ASB4	51666	ENSG00000005981	0.171649877	0.839107057
ATP1A2	477	ENSG00000018625	-2.787058328	0.009608562
ATP2C1	27032	ENSG00000017260	-0.366445279	0.354270129
B4GALT7	11285	ENSG00000027847	0.431979282	0.343868108
BAD	572	ENSG00000002330	-0.236439281	0.678109901
BAIAP2L1	55971	ENSG00000006453	0.621680331	0.138808413
BAIAP3	8938	ENSG00000007516	0.632563217	0.557959301
BAK1	578	ENSG00000030110	0.404453851	0.456531512
BAZ1B	9031	ENSG00000009954	-0.139516645	0.7023221
BCLAF1	9774	ENSG00000029363	0.02825361	0.928177871
BID	637	ENSG00000015475	0.03111624	0.952273491
BIRC3	330	ENSG00000023445	-0.141714488	0.813926853
BRCA1	672	ENSG00000012048	1.758800124	0.003524266
BRD9	65980	ENSG00000028310	0.179711426	0.564000976
BTBD7	55727	ENSG00000011114	-0.412114997	0.255946523
BTK	695	ENSG00000010671	-1.861648921	0.000451733
BTN3A1	11119	ENSG00000026950	-0.340297937	0.326127682
C1orf112	55732	ENSG00000000460	1.437688699	0.004173094
C8B	732	ENSG00000021852	-2.880777564	0.018673253
CACNA1G	8913	ENSG00000006283	-0.005333706	0.994349098
CACNA2D2	9254	ENSG00000007402	-2.299193024	0.037991625
CACNG3	10368	ENSG00000006116	3.926915081	0.046384339
CALCOCO1	57658	ENSG00000012822	-1.705851744	0.000324408
CALCR	799	ENSG00000004948	-1.271875446	0.175245419
CAMK1G	57172	ENSG00000008118	-1.14838266	0.073045795
CAMKK1	84254	ENSG00000004660	-0.195019638	0.664041536
CAPN1	823	ENSG00000014216	-0.40769497	0.410630452
CASP10	843	ENSG00000003400	-0.63617437	0.08489941
CCDC124	115098	ENSG00000007080	0.192131995	0.750116685
CCDC28A	25901	ENSG00000024862	-0.302439812	0.561990536
CCDC88C	440193	ENSG00000015133	0.057561765	0.917495683
CCL26	10344	ENSG00000006606	3.320924798	0.007400378
CD22	933	ENSG00000012124	-1.733592016	0.002788077
CD38	952	ENSG00000004468	-0.2409749	0.699900583
CD4	920	ENSG00000010610	-1.569597008	0.001103406
CD44	960	ENSG00000026508	-1.531767378	0.003420511
CD6	923	ENSG00000013725	-0.524104065	0.18349833
CD74	972	ENSG00000019582	-1.946478416	0.002294487
CD79B	974	ENSG00000007312	0.679388363	0.258826708
CD9	928	ENSG00000010278	-1.121188527	0.059915701
CD99	4267	ENSG00000002586	-0.326129267	0.515192666
CDC27	996	ENSG00000004897	0.060669777	0.84056019
CDK11A	728642	ENSG00000008128	0.108684244	0.822200563
CDKL3	51265	ENSG00000006837	0.883651748	0.146561885
CDKL5	6792	ENSG00000008086	-1.478186186	0.011935751
CEACAM21	90273	ENSG00000007129	-2.450566091	0.000325606
CEACAM7	1087	ENSG00000007306	1.524876929	0.173220057
CELSR3	1951	ENSG00000008300	4.106894937	2.28e-05
CENPQ	55166	ENSG00000031691	0.488356923	0.326616808
CEP68	23177	ENSG00000011523	-0.136885281	0.652072415
CFH	3075	ENSG00000000971	-0.254214495	0.609656364
CFLAR	8837	ENSG00000003402	-0.900324803	0.03505172
CFTR	1080	ENSG00000001626	-3.00270701	0.005160998
CHDH	55349	ENSG00000016391	-0.516080179	0.309690329
CIAPIN1	57019	ENSG00000005194	0.082436163	0.862231403
CLCA1	1179	ENSG00000016490	-0.118517252	0.922607615
CLCA4	22802	ENSG00000016602	0.611629927	0.684303054
CLCN6	1185	ENSG00000011021	-0.261836382	0.51482322
CLDN11	5010	ENSG00000013297	-0.615003538	0.382917809
CLK1	1195	ENSG00000013441	0.116577408	0.748824291
CNTN1	1272	ENSG00000018236	-1.77471991	0.002458104
COPZ2	51226	ENSG00000005243	-0.82130529	0.138692611
COX10	1352	ENSG00000006695	0.170205063	0.67417779
COX15	1355	ENSG00000014919	-0.026321221	0.925129759
CPS1	1373	ENSG00000021826	4.779337973	0.00454173
CRAMP1	57585	ENSG00000007545	0.113602837	0.783606807
CREBBP	1387	ENSG00000005339	-0.272897387	0.40892436
CRLF1	9244	ENSG00000006016	1.746464529	0.09389594
CROT	54677	ENSG00000005469	-0.118465089	0.80503148
CRY1	1407	ENSG00000008405	-0.793740154	0.054730316
CSDE1	7812	ENSG00000009307	-0.811938561	0.023160917
CX3CL1	6376	ENSG00000006210	-2.232716991	0.000872033
CXorf56	63932	ENSG00000018610	0.124095477	0.751963541
CYB561	1534	ENSG00000008283	0.045183817	0.925007814
CYP24A1	1591	ENSG00000019186	4.462981144	0.003047309
CYP26B1	56603	ENSG00000003137	0.282559115	0.667077036
CYP3A43	64816	ENSG00000021461	0.773312321	0.510770178
CYP51A1	1595	ENSG00000001630	-1.457544045	0.012225936
CYTH3	9265	ENSG00000008256	-0.405536372	0.22008902
DBF4	10926	ENSG00000006634	1.728910415	0.001350567
DBNDD1	79007	ENSG00000003249	1.36888683	0.025386406
DCN	1634	ENSG00000011465	-1.446943986	0.014962947
DDX11	1663	ENSG00000013573	2.031850231	0.006016325
DEF6	50619	ENSG00000023892	0.040793958	0.919899707
DEPDC1	55635	ENSG00000024526	4.192988774	8.86e-05
DERA	51071	ENSG00000023697	-0.213484712	0.598174793
DHX33	56919	ENSG00000005100	0.490247825	0.221087668
DLEC1	9940	ENSG00000008226	1.675585399	0.242707864
DLX6	1750	ENSG00000006377	6.502303246	0.000818952
DNAH9	1770	ENSG00000007174	0.82251331	0.632233374
DNAJC11	55735	ENSG00000007923	0.314996466	0.452688047
DNASE1L1	1774	ENSG00000013563	-0.405298022	0.34542731
DPEP1	1800	ENSG00000015413	2.258369746	0.01725037
DPF1	8193	ENSG00000011332	2.296490182	0.021738148
DPM1	8813	ENSG00000000419	0.467464851	0.294138
DVL2	1856	ENSG00000004975	0.002623687	0.994571014
DYRK4	8798	ENSG00000010219	-0.429479772	0.323989721
E2F2	1870	ENSG00000007968	2.218863741	0.006642705
EHD2	30846	ENSG00000024422	-2.309961935	0.000171319
EHD3	30845	ENSG00000013016	-0.210503596	0.710007705
EIPR1	7260	ENSG00000032389	0.251936974	0.485453432
ELAC2	60528	ENSG00000006744	-0.043481089	0.91370473
ELOA	6924	ENSG00000011007	-0.602163504	0.126097825
ELOVL5	60481	ENSG00000012660	-0.083922986	0.81725645
ENPP4	22875	ENSG00000001561	-1.030708775	0.005522045
ERCC1	2067	ENSG00000012061	-0.056882268	0.892685298
ERP44	23071	ENSG00000023318	-0.426890821	0.237520655
ETV1	2115	ENSG00000006468	-1.321849161	0.029023771
ETV7	51513	ENSG00000010030	0.257811526	0.590540037
EXTL3	2137	ENSG00000012232	0.787886594	0.132886805
FAM13B	51306	ENSG00000031003	-0.870132267	0.028958005
FAM214B	80256	ENSG00000005238	-0.573700618	0.130031042
FAM76A	199870	ENSG00000009780	-0.735637095	0.054395663
FARP2	9855	ENSG00000006607	0.10844682	0.747206274
FAS	355	ENSG00000026103	-0.282282353	0.577410325
FBXL3	26224	ENSG00000005812	-0.96848807	0.014188036
FGR	2268	ENSG00000000938	-2.995942893	4.94e-06
FHL1	2273	ENSG00000022267	-3.29259548	3.47e-05
FKBP4	2288	ENSG00000004478	0.811360705	0.085735204
FMO1	2326	ENSG00000010932	2.761527391	0.00220057
FMO3	2328	ENSG00000007933	-1.817664971	0.001284539
FUCA2	2519	ENSG00000001036	-0.069719123	0.881438634
FUZ	80199	ENSG00000010361	-0.154949535	0.788382123
FYN	2534	ENSG00000010810	-0.728557457	0.096801883
GABRA1	2554	ENSG00000022355	4.789956716	0.015087308
GABRA3	2556	ENSG00000011677	7.806725438	0.000490616
GAS7	8522	ENSG00000007237	-1.590012537	0.004276741
GCFC2	6936	ENSG00000005436	0.255221104	0.455607543
GCLC	2729	ENSG00000001084	1.779399529	0.001231812
GCLM	2730	ENSG00000023909	1.414147743	0.003377073
GDE1	51573	ENSG00000006007	-0.578283907	0.108289035
GGCT	79017	ENSG00000006625	1.003461749	0.021594552
GIPR	2696	ENSG00000010310	1.595426135	0.09251331
GLRX2	51022	ENSG00000023572	0.457571964	0.381328651
GLT8D1	55830	ENSG00000016864	-0.118318604	0.719641604
GPRC5A	9052	ENSG00000013588	-2.371748154	0.003174472
GRAMD1B	100128242	ENSG00000023171	2.466829015	0.009758773
GRAMD1B	57476	ENSG00000023171	2.466829015	0.009758773
GRN	2896	ENSG00000030582	-1.750009616	0.009303453
GTF2IRD1	9569	ENSG00000006704	0.210028713	0.597960478
HCCS	3052	ENSG00000004961	-0.355543867	0.337105041
HEATR5B	54497	ENSG00000008869	-0.8197102	0.035977303
HEBP1	50865	ENSG00000013583	-1.380374387	0.002452843
HECW1	23072	ENSG00000002746	3.329508988	0.002126349
HFE	3077	ENSG00000010704	-0.003958463	0.992534188
HGF	3082	ENSG00000019991	1.439092703	0.168862465
HHATL	57467	ENSG00000010282	1.648932269	0.302771676
HIVEP2	3097	ENSG00000010818	-0.504194205	0.252257605
HMGB3	3149	ENSG00000029993	2.357185768	1.73e-05
HOXA11	3207	ENSG00000005073	5.987265435	0.00307188
HS3ST1	9957	ENSG00000002587	0.652635371	0.322788744
HSD17B6	8630	ENSG00000025423	-4.016310905	2.02e-06
HSF2	3298	ENSG00000025156	0.19550376	0.620192602
HSPB6	126393	ENSG00000004776	-2.793340533	0.000968351
IBSP	3381	ENSG00000029559	0.576267504	0.745718198
IBTK	25998	ENSG00000005700	0.037708492	0.902651242
ICA1	3382	ENSG00000003147	0.705220755	0.172992156
