GeneID	GeneName	logFC	logCPM	F	PValue	FDR
ENSG00000000003	TSPAN6	-0.196774723	5.878281404	0.12159179	0.733608386	0.82208427
ENSG00000000005	TNMD	-8.222427261	3.044306454	53.86632165	1.14E-05	0.00081797
ENSG00000000419	DPM1	0.068483939	4.849708479	0.04650132	0.833040252	0.892648753
ENSG00000000457	SCYL3	0.887680395	4.612369059	4.535506969	0.055529182	0.137126409
ENSG00000000460	C1orf112	1.271758902	2.944843091	7.299909367	0.019866978	0.068869167
ENSG00000000938	FGR	-3.093053359	3.656324664	29.46189716	0.000177035	0.003730564
ENSG00000000971	CFH	-4.502833152	6.948559207	102.4991182	4.46E-07	0.000175151
ENSG00000001036	FUCA2	-0.075380131	6.008684135	0.0617705	0.808097254	0.875902178
ENSG00000001084	GCLC	-0.857113389	5.512685444	5.108230161	0.044074749	0.117001091
ENSG00000001167	NFYA	1.075849852	5.511522646	10.62805687	0.007181866	0.036055156
ENSG00000001460	STPG1	0.110193259	3.384565549	0.11411289	0.74158918	0.827875766
ENSG00000001461	NIPAL3	0.697348427	5.589010349	1.543312303	0.238836555	0.379876654
ENSG00000001497	LAS1L	0.994097401	5.622654775	10.87764286	0.006702209	0.034537749
ENSG00000001561	ENPP4	-1.385012109	4.78607859	5.015225877	0.045725763	0.120081731
ENSG00000001617	SEMA3F	1.678875565	6.323599425	15.92898317	0.001938955	0.01592713
ENSG00000001626	CFTR	-3.27638822	-0.721915928	8.13229647	0.015118093	0.057567446
ENSG00000001629	ANKIB1	0.156158926	6.121979065	0.135175684	0.719795159	0.812089223
ENSG00000001630	CYP51A1	1.552357724	1.980915154	4.507619884	0.056173564	0.138183752
ENSG00000001631	KRIT1	-0.241514271	5.025453694	0.657416681	0.433915973	0.577892401
ENSG00000002016	RAD52	0.769808046	3.183866746	1.937403587	0.19025716	0.32297345
ENSG00000002079	MYH16	1.429842741	-2.200366007	4.224377485	0.063260139	0.150103482
ENSG00000002330	BAD	1.300126572	5.241778759	8.987242742	0.011579067	0.048400946
ENSG00000002549	LAP3	-0.759806842	6.665230827	3.755792247	0.077536121	0.172457001
ENSG00000002586	CD99	-1.572878029	7.713535748	11.47693246	0.005696975	0.031053884
ENSG00000002587	HS3ST1	-1.421587074	1.86289708	9.638306123	0.009531653	0.042927108
ENSG00000002726	AOC1	-0.545088826	-1.131075996	0.426907443	0.526344993	0.660100429
ENSG00000002745	WNT16	-0.38281797	-2.756371684	0.103316257	0.753646284	0.836576474
ENSG00000002746	HECW1	0.485017195	-0.623265063	0.381797444	0.548671404	0.678241982
ENSG00000002822	MAD1L1	0.67880634	4.332465759	3.778003109	0.076775889	0.171371659
ENSG00000002834	LASP1	0.318800764	8.231127835	0.85110794	0.375169532	0.523953156
ENSG00000002919	SNX11	-0.36249839	4.830625666	1.465287855	0.250357305	0.39242186
ENSG00000002933	TMEM176A	-0.647875688	5.284493218	0.828863804	0.381268298	0.52956905
ENSG00000003056	M6PR	-0.245437115	6.037664865	0.352029541	0.564441376	0.6913565
ENSG00000003096	KLHL13	-2.323336775	3.813742474	5.5131805	0.037671036	0.10545358
ENSG00000003137	CYP26B1	-4.77308002	4.536221147	111.0393319	2.94E-07	0.000156717
ENSG00000003147	ICA1	1.065002968	5.24090975	9.572667005	0.009717431	0.043510041
ENSG00000003249	DBNDD1	3.630688735	5.092888944	33.28268124	0.00010456	0.002729937
ENSG00000003393	ALS2	-0.354283255	4.720899696	2.190057675	0.165742293	0.293593508
ENSG00000003400	CASP10	-2.46773046	4.08335913	15.34976342	0.002205917	0.017162148
ENSG00000003402	CFLAR	-2.363410684	6.890908274	28.99476678	0.000189463	0.00390372
ENSG00000003436	TFPI	-0.584377024	6.426091396	0.246452564	0.628926993	0.742927711
ENSG00000003509	NDUFAF7	0.217254447	3.490833279	0.462269148	0.510006464	0.645734834
ENSG00000003756	RBM5	-0.58674755	6.146669071	3.478246812	0.087859632	0.188156188
ENSG00000003987	MTMR7	0.732407958	1.045654853	1.811884998	0.204190158	0.339957664
ENSG00000003989	SLC7A2	1.1365956	6.848112535	0.779336361	0.395404524	0.542348655
ENSG00000004059	ARF5	1.38651703	7.108895072	10.07048087	0.008408209	0.039734894
ENSG00000004139	SARM1	1.344847842	3.395630411	3.050127551	0.107326603	0.216130498
ENSG00000004142	POLDIP2	0.807362225	6.992797307	11.10967551	0.006289921	0.033141636
ENSG00000004399	PLXND1	-0.577290375	7.619908467	1.680515493	0.220240196	0.358559218
ENSG00000004455	AK2	0.441797723	6.778011452	2.334939042	0.15349802	0.277673291
ENSG00000004468	CD38	-2.753071585	1.683558188	14.25312634	0.002840031	0.02000563
ENSG00000004478	FKBP4	2.677692619	8.348614983	45.92179017	2.43E-05	0.001214313
ENSG00000004487	KDM1A	0.824752306	6.443908486	5.059895533	0.044923657	0.118592506
ENSG00000004534	RBM6	-0.429896421	5.795475951	1.397042731	0.261058535	0.404707022
ENSG00000004660	CAMKK1	0.563292186	3.662358911	1.028005804	0.33146323	0.479264816
ENSG00000004700	RECQL	-1.231199679	4.75801677	9.303517925	0.01052549	0.045662161
