Gene Symbol	Description	Category	Gifts	GC Id	Relevance score	 GeneCards Link
TNF	Tumor Necrosis Factor	Protein Coding	60	GC06P032174	79.95	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
IL6	Interleukin 6	Protein Coding	55	GC07P022765	79.59	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
IL10	Interleukin 10	Protein Coding	54	GC01M206767	64.81	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10
CRP	C-Reactive Protein	Protein Coding	53	GC01M159682	50.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP
TLR4	Toll Like Receptor 4	Protein Coding	59	GC09P117704	45.72	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4
NOD2	Nucleotide Binding Oligomerization Domain Containing 2	Protein Coding	54	GC16P050693	44.97	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2
CXCL8	C-X-C Motif Chemokine Ligand 8	Protein Coding	45	GC04P073740	43.88	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8
NLRP3	NLR Family Pyrin Domain Containing 3	Protein Coding	54	GC01P247415	43.83	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3
IL1B	Interleukin 1 Beta	Protein Coding	55	GC02M112829	40.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
MEFV	MEFV, Pyrin Innate Immunity Regulator	Protein Coding	49	GC16M003243	39.89	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV
IL1RN	Interleukin 1 Receptor Antagonist	Protein Coding	55	GC02P113612	39.44	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN
ELANE	Elastase, Neutrophil Expressed	Protein Coding	53	GC19P000854	38.16	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE
HLA-DRB1	Major Histocompatibility Complex, Class II, DR Beta 1	Protein Coding	52	GC06M032578	36.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1
IL13	Interleukin 13	Protein Coding	51	GC05P132656	36.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13
HLA-B	Major Histocompatibility Complex, Class I, B	Protein Coding	50	GC06M031277	35.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B
PRTN3	Proteinase 3	Protein Coding	50	GC19P000840	33.8	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3
CCL11	C-C Motif Chemokine Ligand 11	Protein Coding	49	GC17P034285	33.54	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL11
IFNG	Interferon Gamma	Protein Coding	55	GC12M068064	32.83	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
CCL2	C-C Motif Chemokine Ligand 2	Protein Coding	55	GC17P034255	32.79	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2
TNFRSF1A	TNF Receptor Superfamily Member 1A	Protein Coding	57	GC12M006308	32.17	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A
CTLA4	Cytotoxic T-Lymphocyte Associated Protein 4	Protein Coding	54	GC02P203867	31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4
IL10RA	Interleukin 10 Receptor Subunit Alpha	Protein Coding	52	GC11P117987	30.04	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RA
IL23R	Interleukin 23 Receptor	Protein Coding	52	GC01P067138	29.59	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23R
